Open Time,Open,High,Low,Close,Volume
2024-01-01 00:00:00,21.93,22.14,21.86,21.93,42586.11
2024-01-01 01:00:00,21.93,22.13,21.9,22.11,25900.78
2024-01-01 02:00:00,22.11,22.11,21.91,21.94,29154.82
2024-01-01 03:00:00,21.94,21.94,21.68,21.76,31837.29
2024-01-01 04:00:00,21.75,21.82,21.55,21.65,44928.26
2024-01-01 05:00:00,21.64,21.74,21.49,21.53,31878.56
2024-01-01 06:00:00,21.52,21.72,21.5,21.71,22428.04
2024-01-01 07:00:00,21.71,22.02,21.71,21.96,61037.44
2024-01-01 08:00:00,21.96,22.06,21.89,22.04,22301.87
2024-01-01 09:00:00,22.03,22.08,21.99,22.03,29768.62
2024-01-01 10:00:00,22.03,22.05,21.96,22.02,17691.23
2024-01-01 11:00:00,22.02,22.04,21.88,21.96,39117.9
2024-01-01 12:00:00,21.96,22.0,21.9,21.92,15165.45
2024-01-01 13:00:00,21.92,22.01,21.88,21.99,22643.63
2024-01-01 14:00:00,21.99,22.0,21.84,21.89,28740.98
2024-01-01 15:00:00,21.9,22.13,21.85,22.11,32866.25
2024-01-01 16:00:00,22.11,22.16,22.02,22.1,24421.86
2024-01-01 17:00:00,22.1,22.29,22.09,22.21,24394.73
2024-01-01 18:00:00,22.2,22.38,22.2,22.32,27856.33
2024-01-01 19:00:00,22.33,22.48,22.29,22.47,35100.96
2024-01-01 20:00:00,22.47,22.5,22.37,22.4,95334.93000000001
2024-01-01 21:00:00,22.4,22.41,22.31,22.37,18328.92
2024-01-01 22:00:00,22.37,22.38,22.25,22.3,19763.62
2024-01-01 23:00:00,22.3,22.51,22.29,22.5,32909.03
2024-01-02 00:00:00,22.49,22.99,22.41,22.85,197853.86000000002
2024-01-02 01:00:00,22.85,22.95,22.66,22.7,71451.66
2024-01-02 02:00:00,22.71,22.77,22.63,22.76,41154.21
2024-01-02 03:00:00,22.77,22.82,22.64,22.76,44754.22
2024-01-02 04:00:00,22.76,22.82,22.67,22.77,39481.42
2024-01-02 05:00:00,22.76,22.8,22.67,22.7,38472.42
2024-01-02 06:00:00,22.7,22.75,22.63,22.64,43008.98
2024-01-02 07:00:00,22.63,22.79,22.62,22.75,28820.96
2024-01-02 08:00:00,22.76,23.01,22.68,22.96,57156.1
2024-01-02 09:00:00,22.97,23.04,22.85,22.87,35414.28
2024-01-02 10:00:00,22.88,22.89,22.61,22.73,43450.8
2024-01-02 11:00:00,22.72,22.79,22.54,22.64,64791.85
