Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
2023-01-01 00:00:00,15425.08,15431.58,15395.66,15408.91,40.60795,2023-01-01 00:59:59.999,625901.2942299,3023,21.41834,330132.4661821,0
2023-01-01 01:00:00,15409.48,15428.85,15403.3,15425.19,25.26067,2023-01-01 01:59:59.999,389371.9683392,1613,11.75955,181267.1835789,0
2023-01-01 02:00:00,15425.2,15440.53,15417.1,15421.09,17.50986,2023-01-01 02:59:59.999,270114.3083853,1412,8.71032,134372.2228266,0
2023-01-01 03:00:00,15420.75,15421.15,15394.72,15409.2,17.83736,2023-01-01 03:59:59.999,274783.8213847,1458,8.54635,131654.3333528,0
2023-01-01 04:00:00,15409.23,15411.54,15390.52,15396.42,15.84152,2023-01-01 04:59:59.999,243959.6244927,1381,7.83524,120660.5015613,0
2023-01-01 05:00:00,15396.41,15415.59,15389.21,15412.33,13.53507,2023-01-01 05:59:59.999,208440.5976439,1142,7.13835,109937.1781551,0
2023-01-01 06:00:00,15411.48,15429.64,15410.08,15418.98,14.45499,2023-01-01 06:59:59.999,222917.7825004,1244,6.90278,106451.5435248,0
2023-01-01 07:00:00,15418.24,15422.82,15377.15,15403.41,36.57321,2023-01-01 07:59:59.999,563186.7706799,2009,17.10122,263336.0398708,0
2023-01-01 08:00:00,15403.4,15410.42,15380.42,15389.61,30.30412,2023-01-01 08:59:59.999,466513.424628,1917,11.47282,176633.5797201,0
2023-01-01 09:00:00,15390.43,15421.13,15384.3,15417.35,50.91301,2023-01-01 09:59:59.999,784151.231399,2373,32.50431,500656.8649059,0
2023-01-01 10:00:00,15416.33,15422.86,15408.73,15418.18,23.11634,2023-01-01 10:59:59.999,356336.7358771,2153,10.34367,159451.8796324,0
2023-01-01 11:00:00,15419.29,15434.42,15413.71,15432.34,29.33749,2023-01-01 11:59:59.999,452465.2810219,2206,14.82204,228600.7798489,0
2023-01-01 12:00:00,15434.17,15450.65,15425.09,15443.04,26.42855,2023-01-01 12:59:59.999,408007.8405219,1972,12.45528,192289.0619765,0
2023-01-01 13:00:00,15443.44,15448.46,15420.48,15429.03,23.18256,2023-01-01 13:59:59.999,357685.5087005,2152,10.62723,163972.8170915,0
2023-01-01 14:00:00,15429.03,15439.98,15421.04,15423.85,20.09263,2023-01-01 14:59:59.999,310051.2607807,2081,9.77194,150791.9567161,0
2023-01-01 15:00:00,15423.38,15440.9,15416.07,15439.75,21.14341,2023-01-01 15:59:59.999,326176.4168275,1556,10.33708,159472.885738,0
2023-01-01 16:00:00,15440.03,15462.75,15437.74,15446.41,31.2309,2023-01-01 16:59:59.999,482499.9739829,1969,15.75937,243477.1269862,0
2023-01-01 17:00:00,15446.19,15478.04,15444.49,15462.54,40.2604,2023-01-01 17:59:59.999,622555.6572989,2436,21.05511,325598.4099485,0
2023-01-01 18:00:00,15462.35,15487.35,15462.35,15474.99,68.25125,2023-01-01 18:59:59.999,1056285.3402149,3112,42.00294,650122.6298135,0
2023-01-01 19:00:00,15474.99,15484.9,15452.37,15461.25,42.69342,2023-01-01 19:59:59.999,660600.9499042,2805,21.23836,328620.3570146,0
2023-01-01 20:00:00,15461.81,15479.49,15453.0,15455.53,30.60579,2023-01-01 20:59:59.999,473373.3054167,2120,15.40577,238282.1767236,0
2023-01-01 21:00:00,15455.37,15461.48,15446.69,15461.05,20.02238,2023-01-01 21:59:59.999,309414.9069192,1483,10.35023,159947.8258636,0
2023-01-01 22:00:00,15459.95,15468.0,15441.28,15454.69,34.63041,2023-01-01 22:59:59.999,535069.4906704,2481,17.48415,270160.3986671,0
2023-01-01 23:00:00,15452.47,15475.74,15450.04,15469.8,32.52819,2023-01-01 23:59:59.999,502943.1941931,1869,13.2467,204829.6649292,0
2023-01-02 00:00:00,15467.46,15481.19,15441.63,15448.9,27.65587,2023-01-02 00:59:59.999,427478.2477595,2398,11.78298,182136.93696,0
2023-01-02 01:00:00,15447.54,15448.66,15416.11,15437.88,41.42998,2023-01-02 01:59:59.999,639313.6031896,3092,20.44374,315479.0884267,0
2023-01-02 02:00:00,15437.87,15460.61,15429.46,15455.46,22.3287,2023-01-02 02:59:59.999,344886.5189243,1623,12.43717,192107.1302584,0
2023-01-02 03:00:00,15454.6,15549.81,15445.0,15509.07,66.09434,2023-01-02 03:59:59.999,1023622.8514373,3005,40.83407,632530.2540699,0
2023-01-02 04:00:00,15509.79,15519.5,15476.64,15485.18,38.59754,2023-01-02 04:59:59.999,598054.7360205,2703,19.58924,303541.2436147,0
2023-01-02 05:00:00,15485.18,15510.13,15470.0,15493.67,33.73731,2023-01-02 05:59:59.999,522460.7242594,2031,18.00384,278837.8902096,0
2023-01-02 06:00:00,15494.17,15511.58,15489.3,15493.35,25.74061,2023-01-02 06:59:59.999,398969.6159724,1941,11.48231,177975.4845964,0
2023-01-02 07:00:00,15494.32,15622.38,15482.25,15574.05,129.76574,2023-01-02 07:59:59.999,2020649.6810238,7481,68.71635,1070102.1530999,0
2023-01-02 08:00:00,15578.53,15615.75,15560.9,15574.54,73.85427,2023-01-02 08:59:59.999,1151056.840675,5073,39.88941,621682.7885429,0
2023-01-02 09:00:00,15574.54,15578.42,15527.35,15540.29,95.40105,2023-01-02 09:59:59.999,1483656.6382535,5947,49.29848,766702.6001359,0
2023-01-02 10:00:00,15540.57,15585.18,15533.73,15567.33,89.68112,2023-01-02 10:59:59.999,1395345.0603738,5821,45.34638,705592.8918808,0
2023-01-02 11:00:00,15566.79,15583.61,15555.8,15566.49,61.9758,2023-01-02 11:59:59.999,964891.1404882,4693,29.318,456470.2869411,0
2023-01-02 12:00:00,15565.44,15611.64,15564.31,15610.77,85.38918,2023-01-02 12:59:59.999,1330880.4792459,5499,41.11588,640801.2924612,0
2023-01-02 13:00:00,15611.01,15620.0,15580.0,15596.76,114.16101,2023-01-02 13:59:59.999,1781015.7088161,6651,54.81541,855319.377109,0
2023-01-02 14:00:00,15596.4,15609.44,15573.29,15604.33,49.80331,2023-01-02 14:59:59.999,776797.1658188,3143,23.01251,358942.0340687,0
2023-01-02 15:00:00,15604.33,15669.13,15600.0,15659.4,82.22674,2023-01-02 15:59:59.999,1285850.8972962,4712,40.79187,637885.4516286,0
2023-01-02 16:00:00,15663.06,15685.2,15642.76,15654.7,54.17758,2023-01-02 16:59:59.999,848804.8547053,3316,29.42162,461023.5322583,0
2023-01-02 17:00:00,15655.48,15657.98,15642.79,15649.02,42.66421,2023-01-02 17:59:59.999,667697.6503371,2446,23.30634,364759.7155707,0
2023-01-02 18:00:00,15649.03,15672.61,15637.84,15662.09,36.58634,2023-01-02 18:59:59.999,572795.3579201,2143,14.05854,220082.6390595,0
2023-01-02 19:00:00,15664.95,15679.37,15656.9,15673.54,26.67902,2023-01-02 19:59:59.999,417939.2304699,1725,14.13356,221428.7842633,0
2023-01-02 20:00:00,15672.69,15673.3,15642.06,15648.32,49.34592,2023-01-02 20:59:59.999,772504.3708932,2652,27.81528,435474.1336169,0
2023-01-02 21:00:00,15648.55,15700.33,15637.6,15664.49,101.90664,2023-01-02 21:59:59.999,1594844.047274,3425,76.10651,1191080.5051853,0
2023-01-02 22:00:00,15663.68,15675.08,15612.27,15618.0,62.86038,2023-01-02 22:59:59.999,983606.2787124,2205,21.00841,328687.9221763,0
2023-01-02 23:00:00,15619.7,15655.92,15576.1,15586.86,69.3768,2023-01-02 23:59:59.999,1083567.8250058,2543,27.58419,430944.7162294,0
