timestamp,BTC/USDT_2024_30m,BCH/USDT_2024_30m
2024-01-01 00:00:00,42419.73,258.6
2024-01-01 00:30:00,42475.23,259.9
2024-01-01 01:00:00,42493.16,258.8
2024-01-01 01:30:00,42613.56,260.6
2024-01-01 02:00:00,42546.01,261.2
2024-01-01 02:30:00,42581.1,260.0
2024-01-01 03:00:00,42429.47,258.0
2024-01-01 03:30:00,42330.49,258.3
2024-01-01 04:00:00,42307.39,257.5
2024-01-01 04:30:00,42399.99,257.2
2024-01-01 05:00:00,42297.91,258.2
2024-01-01 05:30:00,42234.01,255.9
2024-01-01 06:00:00,42321.1,256.8
2024-01-01 06:30:00,42396.69,259.4
2024-01-01 07:00:00,42487.7,267.0
2024-01-01 07:30:00,42492.46,266.0
2024-01-01 08:00:00,42482.0,262.5
2024-01-01 08:30:00,42549.99,264.9
2024-01-01 09:00:00,42588.01,264.8
2024-01-01 09:30:00,42649.69,263.9
2024-01-01 10:00:00,42666.42,265.7
2024-01-01 10:30:00,42691.1,265.0
2024-01-01 11:00:00,42681.1,264.7
2024-01-01 11:30:00,42690.2,264.3
2024-01-01 12:00:00,42684.15,263.4
2024-01-01 12:30:00,42648.38,262.4
2024-01-01 13:00:00,42717.27,263.0
2024-01-01 13:30:00,42715.54,264.4
2024-01-01 14:00:00,42621.09,264.7
2024-01-01 14:30:00,42612.24,266.0
2024-01-01 15:00:00,42683.2,264.6
2024-01-01 15:30:00,42783.05,264.2
2024-01-01 16:00:00,42723.04,262.6
2024-01-01 16:30:00,42725.15,263.5
2024-01-01 17:00:00,42731.11,263.2
2024-01-01 17:30:00,42812.7,264.2
2024-01-01 18:00:00,43063.05,265.4
2024-01-01 18:30:00,43111.1,265.5
2024-01-01 19:00:00,43262.01,265.8
2024-01-01 19:30:00,43517.99,266.8
2024-01-01 20:00:00,43699.56,266.8
2024-01-01 20:30:00,43687.86,265.9
2024-01-01 21:00:00,43656.15,265.7
2024-01-01 21:30:00,43619.21,265.3
2024-01-01 22:00:00,43471.1,265.0
2024-01-01 22:30:00,43529.93,265.7
2024-01-01 23:00:00,43989.99,266.2
2024-01-01 23:30:00,44179.55,267.8
2024-01-02 00:00:00,44609.79,269.4
2024-01-02 00:30:00,45056.0,269.6
2024-01-02 01:00:00,44930.24,268.5
2024-01-02 01:30:00,44855.96,267.4
2024-01-02 02:00:00,45099.99,266.7
2024-01-02 02:30:00,45378.96,267.3
2024-01-02 03:00:00,45316.71,265.8
2024-01-02 03:30:00,45402.38,266.6
2024-01-02 04:00:00,45362.27,268.2
2024-01-02 04:30:00,45179.8,267.4
2024-01-02 05:00:00,45261.08,267.7
2024-01-02 05:30:00,45179.48,268.3
2024-01-02 06:00:00,45250.2,266.9
2024-01-02 06:30:00,45168.75,266.4
2024-01-02 07:00:00,45461.1,266.8
2024-01-02 07:30:00,45455.53,266.4
2024-01-02 08:00:00,45748.52,268.0
2024-01-02 08:30:00,45759.3,268.0
2024-01-02 09:00:00,45831.12,268.3
2024-01-02 09:30:00,45673.48,267.1
2024-01-02 10:00:00,45647.92,263.8
2024-01-02 10:30:00,45584.99,264.1
2024-01-02 11:00:00,45496.57,263.5
2024-01-02 11:30:00,45433.99,262.7
2024-01-02 12:00:00,45450.0,263.2
2024-01-02 12:30:00,45301.99,262.0
2024-01-02 13:00:00,45525.12,263.1
2024-01-02 13:30:00,45637.93,263.6
2024-01-02 14:00:00,45638.03,262.4
2024-01-02 14:30:00,45258.73,259.5
2024-01-02 15:00:00,45004.01,257.9
2024-01-02 15:30:00,45184.82,258.0
2024-01-02 16:00:00,45189.19,257.0
2024-01-02 16:30:00,45357.84,257.2
2024-01-02 17:00:00,45208.01,258.1
2024-01-02 17:30:00,44966.15,257.8
2024-01-02 18:00:00,45125.89,258.1
2024-01-02 18:30:00,45154.69,258.6
2024-01-02 19:00:00,44873.99,256.7
2024-01-02 19:30:00,45039.49,257.4
2024-01-02 20:00:00,44954.41,257.7
2024-01-02 20:30:00,44788.28,256.5
2024-01-02 21:00:00,44805.11,255.4
2024-01-02 21:30:00,45119.74,257.3
2024-01-02 22:00:00,45061.34,256.3
2024-01-02 22:30:00,44981.73,257.0
2024-01-02 23:00:00,44967.48,257.0
2024-01-02 23:30:00,44946.91,257.1
2024-01-03 00:00:00,44898.01,256.0
2024-01-03 00:30:00,45135.61,256.9
2024-01-03 01:00:00,45162.3,257.7
2024-01-03 01:30:00,45317.58,258.5
2024-01-03 02:00:00,45322.78,258.1
2024-01-03 02:30:00,45274.57,258.3
2024-01-03 03:00:00,45233.3,258.3
2024-01-03 03:30:00,45262.69,258.5
2024-01-03 04:00:00,45206.89,259.5
2024-01-03 04:30:00,45183.45,259.1
2024-01-03 05:00:00,45289.06,259.6
2024-01-03 05:30:00,45172.13,259.1
2024-01-03 06:00:00,45286.33,259.9
2024-01-03 06:30:00,45326.93,259.6
2024-01-03 07:00:00,45359.1,266.7
2024-01-03 07:30:00,45011.77,261.2
2024-01-03 08:00:00,45164.67,262.1
2024-01-03 08:30:00,45200.0,263.6
2024-01-03 09:00:00,45354.38,263.4
2024-01-03 09:30:00,45344.67,262.7
2024-01-03 10:00:00,45284.12,261.0
2024-01-03 10:30:00,45151.91,259.0
2024-01-03 11:00:00,44358.36,253.4
2024-01-03 11:30:00,43702.88,250.2
2024-01-03 12:00:00,42316.43,229.9
2024-01-03 12:30:00,42789.38,234.2
2024-01-03 13:00:00,42468.28,231.5
2024-01-03 13:30:00,42529.4,232.6
2024-01-03 14:00:00,42101.72,228.6
2024-01-03 14:30:00,42179.99,230.0
2024-01-03 15:00:00,42419.83,232.7
2024-01-03 15:30:00,43000.01,236.1
2024-01-03 16:00:00,43434.39,235.8
2024-01-03 16:30:00,42992.67,234.0
2024-01-03 17:00:00,42785.6,233.4
2024-01-03 17:30:00,42906.0,234.1
2024-01-03 18:00:00,42749.12,234.4
2024-01-03 18:30:00,42255.72,232.3
2024-01-03 19:00:00,42673.55,234.5
2024-01-03 19:30:00,42596.67,232.3
2024-01-03 20:00:00,42720.0,234.0
2024-01-03 20:30:00,42721.02,234.2
2024-01-03 21:00:00,42816.0,234.9
2024-01-03 21:30:00,42917.62,234.3
2024-01-03 22:00:00,42688.81,232.9
