Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
2024-01-01 00:00:00,3.651,3.787,3.648,3.77,929586.2,2024-01-01 00:59:59.999,3464675.9193,10581,464384.3,1730970.3635,0
2024-01-01 01:00:00,3.77,3.79,3.72,3.754,604211.1,2024-01-01 01:59:59.999,2266565.2941,6848,305987.1,1147745.2341,0
2024-01-01 02:00:00,3.755,3.757,3.707,3.719,453710.8,2024-01-01 02:59:59.999,1693428.341,4702,202717.0,756812.4187,0
2024-01-01 03:00:00,3.718,3.724,3.653,3.659,444755.4,2024-01-01 03:59:59.999,1640955.5512,5037,210505.0,776912.8354,0
2024-01-01 04:00:00,3.658,3.687,3.603,3.622,531728.4,2024-01-01 04:59:59.999,1935113.3005,6119,238556.6,868554.1142,0
2024-01-01 05:00:00,3.624,3.66,3.59,3.592,390367.6,2024-01-01 05:59:59.999,1414869.3272,3810,182035.6,659849.6378,0
2024-01-01 06:00:00,3.593,3.619,3.567,3.608,482692.6,2024-01-01 06:59:59.999,1731884.1546,4502,216576.7,777239.445,0
2024-01-01 07:00:00,3.608,3.613,3.577,3.604,430600.4,2024-01-01 07:59:59.999,1547125.6051,3466,201707.3,724557.6055,0
2024-01-01 08:00:00,3.604,3.605,3.57,3.6,444073.9,2024-01-01 08:59:59.999,1592042.9309,3990,193030.5,691916.8415,0
2024-01-01 09:00:00,3.599,3.642,3.578,3.638,483414.9,2024-01-01 09:59:59.999,1748219.864,4287,239232.1,865174.3259,0
2024-01-01 10:00:00,3.636,3.642,3.601,3.61,327274.4,2024-01-01 10:59:59.999,1184662.4198,3076,157371.0,569340.4447,0
2024-01-01 11:00:00,3.61,3.622,3.595,3.602,309924.2,2024-01-01 11:59:59.999,1117443.0938,2610,131426.8,473956.4337,0
2024-01-01 12:00:00,3.603,3.629,3.591,3.612,320231.2,2024-01-01 12:59:59.999,1155840.3573,3019,148822.1,537021.3036,0
2024-01-01 13:00:00,3.612,3.645,3.604,3.633,348774.0,2024-01-01 13:59:59.999,1266494.5917,3341,185869.5,674770.367,0
2024-01-01 14:00:00,3.634,3.636,3.58,3.598,554210.0,2024-01-01 14:59:59.999,1995469.7609,5064,258196.0,929235.3735,0
2024-01-01 15:00:00,3.596,3.635,3.582,3.63,371415.3,2024-01-01 15:59:59.999,1341792.0589,3843,197700.8,714164.7671,0
2024-01-01 16:00:00,3.63,3.674,3.625,3.656,653832.0,2024-01-01 16:59:59.999,2383915.6419,5861,340565.9,1242039.406,0
2024-01-01 17:00:00,3.657,3.677,3.641,3.673,441780.0,2024-01-01 17:59:59.999,1617983.8911,3464,225277.5,825125.6264,0
2024-01-01 18:00:00,3.674,3.795,3.67,3.793,1311856.2,2024-01-01 18:59:59.999,4905081.9851,11380,694945.6,2597155.5384,0
2024-01-01 19:00:00,3.793,3.83,3.757,3.808,993848.4,2024-01-01 19:59:59.999,3775827.6523,8225,521063.4,1980230.8424,0
2024-01-01 20:00:00,3.809,3.834,3.777,3.806,947794.5,2024-01-01 20:59:59.999,3607301.087,7627,441146.2,1678694.7188,0
2024-01-01 21:00:00,3.807,3.809,3.752,3.797,794520.4,2024-01-01 21:59:59.999,3000863.0872,5729,382576.2,1444985.8159,0
2024-01-01 22:00:00,3.797,3.808,3.763,3.774,569340.3,2024-01-01 22:59:59.999,2154382.917,3832,270001.2,1021195.1664,0
2024-01-01 23:00:00,3.774,3.817,3.757,3.794,822564.1,2024-01-01 23:59:59.999,3112233.5384,6051,466871.1,1765445.5138,0
2024-01-02 00:00:00,3.793,3.873,3.737,3.855,1763459.1,2024-01-02 00:59:59.999,6725073.6569,14822,986945.9,3765677.471,0
2024-01-02 01:00:00,3.855,3.969,3.851,3.875,2377398.6,2024-01-02 01:59:59.999,9279744.2629,22588,1321110.2,5156276.9177,0
2024-01-02 02:00:00,3.876,3.937,3.871,3.905,681881.7,2024-01-02 02:59:59.999,2662153.0972,6853,341908.9,1335045.1633,0
2024-01-02 03:00:00,3.905,3.931,3.876,3.916,585034.6,2024-01-02 03:59:59.999,2285525.1476,5829,298766.8,1167193.7201,0
2024-01-02 04:00:00,3.917,3.966,3.91,3.96,899842.3,2024-01-02 04:59:59.999,3540944.0205,7979,464365.3,1827140.8152,0
2024-01-02 05:00:00,3.959,4.013,3.934,3.958,1430102.9,2024-01-02 05:59:59.999,5678265.5163,12160,779308.5,3094965.1855,0
2024-01-02 06:00:00,3.957,4.024,3.93,4.012,1321390.3,2024-01-02 06:59:59.999,5263675.6347,10640,689913.0,2749022.7211,0
2024-01-02 07:00:00,4.011,4.21,4.001,4.164,3398263.7,2024-01-02 07:59:59.999,13980112.9273,33769,1893433.7,7790302.2587,0
2024-01-02 08:00:00,4.164,4.199,4.093,4.161,2073403.1,2024-01-02 08:59:59.999,8590637.5316,19721,1022331.9,4236460.6022,0
2024-01-02 09:00:00,4.16,4.296,4.144,4.271,2892645.5,2024-01-02 09:59:59.999,12221852.7187,29394,1637387.1,6922268.2443,0
2024-01-02 10:00:00,4.27,4.331,4.212,4.251,2592479.2,2024-01-02 10:59:59.999,11052078.8318,27123,1275675.2,5441537.0599,0
2024-01-02 11:00:00,4.251,4.27,4.103,4.154,2991032.7,2024-01-02 11:59:59.999,12492922.3847,42564,1214224.2,5071645.5402,0
2024-01-02 12:00:00,4.153,4.153,4.062,4.076,3251511.9,2024-01-02 12:59:59.999,13327650.68,61818,1528660.2,6267503.8171,0
2024-01-02 13:00:00,4.075,4.157,4.053,4.128,4447690.1,2024-01-02 13:59:59.999,18287192.1361,68192,2248489.5,9246113.9734,0
2024-01-02 14:00:00,4.127,4.142,3.933,3.963,6321784.9,2024-01-02 14:59:59.999,25507199.5187,78191,2700326.9,10907500.8338,0
2024-01-02 15:00:00,3.962,3.99,3.877,3.906,3925999.0,2024-01-02 15:59:59.999,15349325.9817,34247,2101675.4,8216651.0719,0
2024-01-02 16:00:00,3.906,3.968,3.836,3.961,6124694.9,2024-01-02 16:59:59.999,23989521.8924,68982,3248402.3,12727453.2208,0
2024-01-02 17:00:00,3.961,3.961,3.877,3.904,1164265.5,2024-01-02 17:59:59.999,4562597.7865,9250,520656.3,2040258.1262,0
2024-01-02 18:00:00,3.906,3.929,3.89,3.912,677142.2,2024-01-02 18:59:59.999,2644889.4419,4879,361643.2,1412347.7001,0
2024-01-02 19:00:00,3.912,3.938,3.864,3.894,909486.3,2024-01-02 19:59:59.999,3540038.2471,7150,390730.8,1522095.3891,0
2024-01-02 20:00:00,3.895,3.933,3.871,3.874,482737.6,2024-01-02 20:59:59.999,1885443.3123,5052,249024.7,972797.8114,0
2024-01-02 21:00:00,3.876,3.952,3.852,3.935,855718.7,2024-01-02 21:59:59.999,3350686.431,7579,427233.6,1673377.3783,0
2024-01-02 22:00:00,3.934,3.992,3.924,3.948,833761.2,2024-01-02 22:59:59.999,3298779.0728,8847,421758.9,1669189.3122,0
2024-01-02 23:00:00,3.949,3.952,3.904,3.923,452620.3,2024-01-02 23:59:59.999,1776915.9599,4831,242026.7,950370.0121,0
2024-01-03 00:00:00,3.924,4.037,3.908,3.978,1496460.6,2024-01-03 00:59:59.999,5961721.6286,18982,752170.7,2995782.644,0
2024-01-03 01:00:00,3.979,4.034,3.958,3.995,849661.7,2024-01-03 01:59:59.999,3391105.0206,9338,428849.4,1711248.0647,0
2024-01-03 02:00:00,3.995,4.019,3.975,3.976,736652.1,2024-01-03 02:59:59.999,2943704.7437,7372,376322.9,1503884.4667,0
2024-01-03 03:00:00,3.976,3.978,3.904,3.929,618036.1,2024-01-03 03:59:59.999,2430185.4973,6208,284959.2,1120581.7477,0
2024-01-03 04:00:00,3.929,3.971,3.902,3.97,712465.5,2024-01-03 04:59:59.999,2802994.4548,5465,361986.2,1425129.7662,0
2024-01-03 05:00:00,3.97,4.089,3.961,4.066,1952492.6,2024-01-03 05:59:59.999,7902364.0442,17943,1073117.8,4342713.4062,0
2024-01-03 06:00:00,4.067,4.069,3.983,4.0,1207946.5,2024-01-03 06:59:59.999,4856933.9885,10316,553903.5,2227988.2265,0
2024-01-03 07:00:00,4.0,4.011,3.929,3.957,761982.8,2024-01-03 07:59:59.999,3027179.5789,6921,354111.1,1407072.1365,0
2024-01-03 08:00:00,3.957,4.042,3.957,4.033,1133370.8,2024-01-03 08:59:59.999,4545435.1145,9351,588722.0,2360135.1804,0
2024-01-03 09:00:00,4.033,4.044,4.005,4.037,1065474.3,2024-01-03 09:59:59.999,4288729.4287,8056,547143.7,2202255.5292,0
2024-01-03 10:00:00,4.037,4.048,3.973,3.987,1055109.0,2024-01-03 10:59:59.999,4229239.2166,7959,441008.4,1768271.853,0
2024-01-03 11:00:00,3.987,3.991,3.777,3.818,2404758.7,2024-01-03 11:59:59.999,9330580.4321,22341,1170842.9,4544821.7826,0
2024-01-03 12:00:00,3.819,3.821,2.905,3.665,8269699.7,2024-01-03 12:59:59.999,28584556.9292,92788,3595208.4,12440579.0154,0
2024-01-03 13:00:00,3.664,3.667,3.453,3.475,3198930.5,2024-01-03 13:59:59.999,11408774.8122,30723,1390035.9,4949573.2653,0
2024-01-03 14:00:00,3.475,3.502,3.39,3.439,2247338.9,2024-01-03 14:59:59.999,7747836.9421,22685,1093377.2,3770135.8915,0
2024-01-03 15:00:00,3.438,3.62,3.437,3.613,1916040.3,2024-01-03 15:59:59.999,6729269.1426,17483,1005346.5,3531034.4389,0
2024-01-03 16:00:00,3.614,3.67,3.543,3.605,2009613.0,2024-01-03 16:59:59.999,7238696.9159,19630,1005978.9,3624723.5838,0
2024-01-03 17:00:00,3.606,3.71,3.587,3.709,1021632.6,2024-01-03 17:59:59.999,3715211.2834,11549,542605.6,1973753.0836,0
2024-01-03 18:00:00,3.708,3.755,3.578,3.617,1235127.5,2024-01-03 18:59:59.999,4548796.3463,12888,595952.7,2195623.1012,0
2024-01-03 19:00:00,3.618,3.695,3.612,3.623,543142.1,2024-01-03 19:59:59.999,1984762.9275,6122,256513.9,937717.6177,0
2024-01-03 20:00:00,3.622,3.836,3.62,3.818,924009.2,2024-01-03 20:59:59.999,3470234.3416,9692,494842.4,1859685.7175,0
2024-01-03 21:00:00,3.819,3.984,3.804,3.892,1803313.7,2024-01-03 21:59:59.999,7056694.3889,19985,925085.0,3618342.0927,0
2024-01-03 22:00:00,3.893,3.902,3.818,3.831,663692.8,2024-01-03 22:59:59.999,2563485.4637,7908,313076.9,1209069.7346,0
2024-01-03 23:00:00,3.831,3.831,3.716,3.771,811258.3,2024-01-03 23:59:59.999,3047052.1885,9720,392208.2,1472608.5688,0
2024-01-04 00:00:00,3.771,3.802,3.72,3.73,1002775.3,2024-01-04 00:59:59.999,3766783.1718,11204,427049.9,1605718.0522,0
2024-01-04 01:00:00,3.732,3.753,3.63,3.656,984355.9,2024-01-04 01:59:59.999,3608619.3007,10294,404658.1,1483311.8308,0
2024-01-04 02:00:00,3.655,3.718,3.62,3.716,775371.3,2024-01-04 02:59:59.999,2844472.6643,9847,387096.1,1421588.5869,0
2024-01-04 03:00:00,3.717,3.732,3.661,3.703,602735.2,2024-01-04 03:59:59.999,2229582.6231,6982,247653.8,915778.0715,0
2024-01-04 04:00:00,3.703,3.708,3.661,3.685,410991.8,2024-01-04 04:59:59.999,1514564.74,4699,215018.6,792154.1006,0
2024-01-04 05:00:00,3.686,3.728,3.64,3.697,609746.0,2024-01-04 05:59:59.999,2247644.4465,6603,315367.5,1162527.783,0
2024-01-04 06:00:00,3.697,3.717,3.635,3.661,757259.0,2024-01-04 06:59:59.999,2778599.1312,7181,351045.6,1288222.9166,0
2024-01-04 07:00:00,3.661,3.686,3.612,3.615,800057.1,2024-01-04 07:59:59.999,2915109.9377,7628,387089.3,1410873.0596,0
2024-01-04 08:00:00,3.616,3.666,3.571,3.634,910285.1,2024-01-04 08:59:59.999,3298246.0431,8908,428396.1,1553339.2173,0
2024-01-04 09:00:00,3.636,3.718,3.634,3.693,937836.3,2024-01-04 09:59:59.999,3459532.0612,7715,454000.4,1674535.6996,0
2024-01-04 10:00:00,3.694,3.695,3.605,3.649,790683.1,2024-01-04 10:59:59.999,2880414.6082,7604,349350.6,1272848.0501,0
2024-01-04 11:00:00,3.649,3.714,3.627,3.69,799924.0,2024-01-04 11:59:59.999,2943371.8111,8216,460230.5,1694448.2145,0
2024-01-04 12:00:00,3.692,3.742,3.666,3.724,979403.4,2024-01-04 12:59:59.999,3628956.2207,8547,558654.5,2069542.1886,0
2024-01-04 13:00:00,3.725,3.748,3.667,3.721,734676.7,2024-01-04 13:59:59.999,2720441.3407,6336,343242.4,1271373.6399,0
2024-01-04 14:00:00,3.721,3.843,3.691,3.835,1204923.2,2024-01-04 14:59:59.999,4532177.8714,11166,634358.5,2387470.4348,0
2024-01-04 15:00:00,3.835,4.013,3.822,3.927,3366434.1,2024-01-04 15:59:59.999,13179628.8002,36366,1712034.4,6703409.2082,0
2024-01-04 16:00:00,3.927,3.957,3.819,3.849,1129154.8,2024-01-04 16:59:59.999,4366369.8025,14030,493072.9,1905682.6937,0
2024-01-04 17:00:00,3.85,3.914,3.823,3.853,969868.6,2024-01-04 17:59:59.999,3749743.486,9517,483043.1,1868758.0557,0
2024-01-04 18:00:00,3.854,3.906,3.854,3.884,499860.1,2024-01-04 18:59:59.999,1940261.3986,4821,253151.6,982418.3824,0
2024-01-04 19:00:00,3.884,3.99,3.883,3.986,1207277.9,2024-01-04 19:59:59.999,4761192.4027,10963,590900.8,2330273.315,0
2024-01-04 20:00:00,3.987,4.048,3.938,3.942,1678498.6,2024-01-04 20:59:59.999,6717076.1892,14844,803904.8,3218975.3421,0
2024-01-04 21:00:00,3.943,3.99,3.929,3.948,987669.9,2024-01-04 21:59:59.999,3910954.4343,8499,471415.3,1867166.2939,0
2024-01-04 22:00:00,3.948,3.963,3.889,3.919,645477.5,2024-01-04 22:59:59.999,2535845.9643,6158,287001.7,1127857.3353,0
2024-01-04 23:00:00,3.919,3.954,3.903,3.91,344415.9,2024-01-04 23:59:59.999,1351711.657,3744,170337.4,668563.5857,0
2024-01-05 00:00:00,3.91,3.95,3.85,3.896,725213.6,2024-01-05 00:59:59.999,2830940.0306,8715,352680.5,1377105.4154,0
2024-01-05 01:00:00,3.896,3.923,3.716,3.808,1350609.3,2024-01-05 01:59:59.999,5155310.2411,16508,601923.8,2295703.7441,0
