Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
2024-01-01 00:00:00,3.707,3.796,3.7,3.754,882139.92,2024-01-01 00:29:59.999,3318071.79041,7310,501147.16,1884803.85138,0
2024-01-01 00:30:00,3.753,3.761,3.685,3.731,850639.87,2024-01-01 00:59:59.999,3167278.51726,7178,431150.16,1603961.82385,0
2024-01-01 01:00:00,3.731,3.745,3.705,3.724,462971.88,2024-01-01 01:29:59.999,1725141.07345,3623,220570.35,821880.54945,0
2024-01-01 01:30:00,3.727,3.775,3.727,3.769,578129.24,2024-01-01 01:59:59.999,2172801.57124,4557,351820.04,1322242.39926,0
2024-01-01 02:00:00,3.769,3.816,3.763,3.792,721038.85,2024-01-01 02:29:59.999,2734257.53072,5703,337282.37,1279268.00386,0
2024-01-01 02:30:00,3.792,3.8,3.701,3.702,776049.49,2024-01-01 02:59:59.999,2900008.20327,6161,337510.02,1261124.06694,0
2024-01-01 03:00:00,3.702,3.713,3.645,3.651,932152.66,2024-01-01 03:29:59.999,3431969.86374,6208,351195.74,1292973.70537,0
2024-01-01 03:30:00,3.651,3.663,3.59,3.596,1054624.65,2024-01-01 03:59:59.999,3812105.70394,8359,477773.76,1727270.73591,0
2024-01-01 04:00:00,3.599,3.63,3.531,3.566,1122839.08,2024-01-01 04:29:59.999,4020485.25176,10195,508376.55,1821641.63775,0
2024-01-01 04:30:00,3.566,3.628,3.564,3.622,774297.99,2024-01-01 04:59:59.999,2791634.61084,6175,483232.55,1742306.43207,0
2024-01-01 05:00:00,3.622,3.628,3.591,3.616,408909.08,2024-01-01 05:29:59.999,1476280.30897,3389,169505.45,612231.21646,0
2024-01-01 05:30:00,3.615,3.631,3.591,3.616,395402.15,2024-01-01 05:59:59.999,1428090.24734,3415,200593.94,724727.28297,0
2024-01-01 06:00:00,3.617,3.62,3.59,3.606,387290.16,2024-01-01 06:29:59.999,1395801.4237,3190,126533.98,455977.29166,0
2024-01-01 06:30:00,3.606,3.632,3.597,3.606,278289.25,2024-01-01 06:59:59.999,1005958.99692,2106,114826.19,415336.45873,0
2024-01-01 07:00:00,3.605,3.63,3.598,3.601,545902.35,2024-01-01 07:29:59.999,1970167.27531,3001,246934.86,891388.00165,0
2024-01-01 07:30:00,3.602,3.63,3.586,3.617,449720.28,2024-01-01 07:59:59.999,1622338.26261,2879,176654.09,637630.93747,0
2024-01-01 08:00:00,3.617,3.637,3.602,3.604,396612.39,2024-01-01 08:29:59.999,1436595.58111,2464,200623.32,726975.52541,0
2024-01-01 08:30:00,3.604,3.612,3.591,3.611,232360.02,2024-01-01 08:59:59.999,836821.55629,1892,102186.29,368087.69119,0
2024-01-01 09:00:00,3.611,3.657,3.602,3.643,547138.04,2024-01-01 09:29:59.999,1983197.64117,3616,340408.35,1233808.13102,0
2024-01-01 09:30:00,3.643,3.676,3.643,3.676,577592.2,2024-01-01 09:59:59.999,2114837.74951,3990,341437.66,1250361.1891,0
2024-01-01 10:00:00,3.677,3.754,3.669,3.729,1198400.28,2024-01-01 10:29:59.999,4459854.83321,8584,611691.63,2275174.51778,0
2024-01-01 10:30:00,3.728,3.748,3.704,3.731,563048.92,2024-01-01 10:59:59.999,2094811.97934,4568,233320.04,868301.78715,0
2024-01-01 11:00:00,3.731,3.768,3.729,3.763,638496.87,2024-01-01 11:29:59.999,2395663.04932,4614,332471.54,1247750.2399,0
2024-01-01 11:30:00,3.763,3.771,3.724,3.767,424580.67,2024-01-01 11:59:59.999,1591368.58536,3883,170057.83,637513.72173,0
2024-01-01 12:00:00,3.767,3.799,3.738,3.793,687778.53,2024-01-01 12:29:59.999,2595259.99508,5640,315852.85,1192037.33935,0
2024-01-01 12:30:00,3.793,3.848,3.763,3.764,1402894.65,2024-01-01 12:59:59.999,5342309.14553,10434,612364.54,2332266.96762,0
2024-01-01 13:00:00,3.764,3.793,3.751,3.775,538756.9,2024-01-01 13:29:59.999,2032075.78629,4359,262745.13,991145.91399,0
2024-01-01 13:30:00,3.774,3.778,3.727,3.728,458107.56,2024-01-01 13:59:59.999,1716379.49889,3330,182349.33,682865.25173,0
2024-01-01 14:00:00,3.728,3.734,3.694,3.706,619757.85,2024-01-01 14:29:59.999,2301994.15668,4770,357032.76,1326659.25883,0
2024-01-01 14:30:00,3.705,3.71,3.673,3.675,372025.55,2024-01-01 14:59:59.999,1371603.54875,3049,192311.6,709241.14867,0
2024-01-01 15:00:00,3.675,3.72,3.652,3.715,680045.87,2024-01-01 15:29:59.999,2508639.4905,4912,409501.37,1510567.05488,0
2024-01-01 15:30:00,3.714,3.776,3.714,3.739,908147.44,2024-01-01 15:59:59.999,3400673.57352,6583,508021.93,1902375.68204,0
2024-01-01 16:00:00,3.738,3.776,3.718,3.736,516974.43,2024-01-01 16:29:59.999,1935434.40796,4404,276539.87,1035239.17502,0
2024-01-01 16:30:00,3.737,3.737,3.68,3.704,501283.14,2024-01-01 16:59:59.999,1856518.67315,4010,247973.7,917781.08857,0
2024-01-01 17:00:00,3.706,3.725,3.688,3.718,486883.13,2024-01-01 17:29:59.999,1803834.49773,3384,243758.34,903133.61876,0
