Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
2024-01-01 00:00:00,0.307,0.3105,0.3068,0.3093,734462.0,2024-01-01 00:29:59.999,226987.0857,856,455053.0,140571.8607,0
2024-01-01 00:30:00,0.309,0.3107,0.3087,0.3104,289418.0,2024-01-01 00:59:59.999,89556.3222,371,153056.0,47374.8287,0
2024-01-01 01:00:00,0.3105,0.3115,0.3091,0.3108,265875.0,2024-01-01 01:29:59.999,82491.8697,391,126665.0,39286.6181,0
2024-01-01 01:30:00,0.311,0.3125,0.3109,0.3123,353524.0,2024-01-01 01:59:59.999,110302.0307,432,144189.0,44987.7752,0
2024-01-01 02:00:00,0.3123,0.3124,0.311,0.3116,424271.0,2024-01-01 02:29:59.999,132315.2785,407,125576.0,39147.6616,0
2024-01-01 02:30:00,0.3116,0.3126,0.309,0.3091,697364.0,2024-01-01 02:59:59.999,216758.2843,707,304724.0,94749.1098,0
2024-01-01 03:00:00,0.309,0.3093,0.3025,0.3038,2577051.0,2024-01-01 03:29:59.999,786833.6584,2195,974563.0,297696.7711,0
2024-01-01 03:30:00,0.3038,0.3051,0.3018,0.304,1000948.0,2024-01-01 03:59:59.999,303759.8258,1054,488110.0,148221.8106,0
2024-01-01 04:00:00,0.304,0.306,0.3004,0.3022,2048670.0,2024-01-01 04:29:59.999,620517.149,1706,678712.0,205699.6272,0
2024-01-01 04:30:00,0.3019,0.3044,0.3015,0.3043,454563.0,2024-01-01 04:59:59.999,137740.2252,564,237605.0,72018.5846,0
2024-01-01 05:00:00,0.3043,0.3049,0.302,0.3023,945727.0,2024-01-01 05:29:59.999,286624.5792,780,324059.0,98200.7092,0
2024-01-01 05:30:00,0.3023,0.3029,0.3007,0.3015,815088.0,2024-01-01 05:59:59.999,245953.6568,820,469671.0,141720.8131,0
2024-01-01 06:00:00,0.3015,0.3025,0.3013,0.3021,325668.0,2024-01-01 06:29:59.999,98343.7367,354,140454.0,42429.3965,0
2024-01-01 06:30:00,0.302,0.3042,0.3019,0.3037,225482.0,2024-01-01 06:59:59.999,68327.1733,294,122361.0,37067.6855,0
2024-01-01 07:00:00,0.3036,0.3047,0.3024,0.3033,494739.0,2024-01-01 07:29:59.999,150234.3688,587,210685.0,63992.1184,0
2024-01-01 07:30:00,0.3033,0.3045,0.3027,0.3041,283255.0,2024-01-01 07:59:59.999,86080.0505,427,166636.0,50640.0978,0
2024-01-01 08:00:00,0.3041,0.3045,0.3023,0.3024,229877.0,2024-01-01 08:29:59.999,69785.115,343,58629.0,17790.0296,0
2024-01-01 08:30:00,0.3025,0.3032,0.3016,0.3032,463782.0,2024-01-01 08:59:59.999,140168.5522,691,250945.0,75842.937,0
2024-01-01 09:00:00,0.3031,0.3043,0.3027,0.3041,666858.0,2024-01-01 09:29:59.999,202271.5037,631,364484.0,110552.7767,0
2024-01-01 09:30:00,0.3041,0.3061,0.3041,0.3056,597603.0,2024-01-01 09:59:59.999,182493.0525,608,224480.0,68557.1943,0
2024-01-01 10:00:00,0.3055,0.3058,0.301,0.3037,1474250.0,2024-01-01 10:29:59.999,448071.7454,855,532122.0,161934.134,0
2024-01-01 10:30:00,0.3039,0.305,0.3033,0.3045,573137.0,2024-01-01 10:59:59.999,174273.8822,485,346336.0,105308.9024,0
2024-01-01 11:00:00,0.3045,0.3066,0.3043,0.3057,789087.0,2024-01-01 11:29:59.999,241321.5474,874,501036.0,153221.9041,0
2024-01-01 11:30:00,0.3058,0.3065,0.3039,0.3064,338437.0,2024-01-01 11:59:59.999,103249.6743,544,178608.0,54507.3252,0
2024-01-01 12:00:00,0.3063,0.3066,0.3047,0.3049,234692.0,2024-01-01 12:29:59.999,71659.5922,387,100993.0,30831.8217,0
2024-01-01 12:30:00,0.305,0.3074,0.3048,0.3057,456834.0,2024-01-01 12:59:59.999,140048.0776,523,288090.0,88305.7023,0
2024-01-01 13:00:00,0.3056,0.3075,0.3048,0.3071,416179.0,2024-01-01 13:29:59.999,127609.7872,499,222495.0,68229.6453,0
2024-01-01 13:30:00,0.3073,0.308,0.3067,0.307,275244.0,2024-01-01 13:59:59.999,84579.982,378,139959.0,43007.7111,0
2024-01-01 14:00:00,0.3069,0.3069,0.3042,0.3049,546141.0,2024-01-01 14:29:59.999,166584.2904,586,187510.0,57209.4816,0
2024-01-01 14:30:00,0.3049,0.306,0.3043,0.3052,355332.0,2024-01-01 14:59:59.999,108299.1325,410,166311.0,50688.5257,0
2024-01-01 15:00:00,0.3051,0.307,0.3044,0.3067,599921.0,2024-01-01 15:29:59.999,183246.2156,526,282107.0,86174.0872,0
2024-01-01 15:30:00,0.3067,0.31,0.3067,0.309,1085400.0,2024-01-01 15:59:59.999,335066.1755,1177,622608.0,192256.648,0
2024-01-01 16:00:00,0.309,0.3101,0.3073,0.3086,609514.0,2024-01-01 16:29:59.999,188260.5765,825,267237.0,82512.0685,0
2024-01-01 16:30:00,0.3086,0.3095,0.308,0.3082,455941.0,2024-01-01 16:59:59.999,140803.4025,538,167510.0,51747.9518,0
2024-01-01 17:00:00,0.3082,0.3096,0.3077,0.3094,409508.0,2024-01-01 17:29:59.999,126357.5634,481,224898.0,69401.7795,0
2024-01-01 17:30:00,0.3095,0.3105,0.3083,0.3097,392334.0,2024-01-01 17:59:59.999,121484.043,520,177296.0,54899.9286,0
2024-01-01 18:00:00,0.3098,0.3149,0.3095,0.3139,1271240.0,2024-01-01 18:29:59.999,398086.6484,1392,504632.0,158061.6014,0
2024-01-01 18:30:00,0.3139,0.3185,0.3139,0.3167,2072937.0,2024-01-01 18:59:59.999,656086.7409,2369,876197.0,277312.2995,0
2024-01-01 19:00:00,0.3167,0.3187,0.3146,0.316,1028600.0,2024-01-01 19:29:59.999,325510.2428,1147,519602.0,164424.7522,0
2024-01-01 19:30:00,0.3164,0.3185,0.3158,0.3176,476321.0,2024-01-01 19:59:59.999,151092.1748,626,283903.0,90052.781,0
2024-01-01 20:00:00,0.3177,0.319,0.3161,0.3174,536238.0,2024-01-01 20:29:59.999,170229.8424,617,304328.0,96616.1782,0
2024-01-01 20:30:00,0.3173,0.3179,0.3156,0.3159,349362.0,2024-01-01 20:59:59.999,110575.1916,401,154513.0,48932.354,0
2024-01-01 21:00:00,0.316,0.317,0.315,0.3159,493318.0,2024-01-01 21:29:59.999,155898.4937,454,247808.0,78291.7706,0
2024-01-01 21:30:00,0.3158,0.3164,0.3146,0.3163,382327.0,2024-01-01 21:59:59.999,120661.046,429,218220.0,68878.9122,0
2024-01-01 22:00:00,0.3163,0.3168,0.3137,0.3144,392716.0,2024-01-01 22:29:59.999,123727.2365,496,168802.0,53240.7474,0
2024-01-01 22:30:00,0.3146,0.3159,0.3144,0.3155,326545.0,2024-01-01 22:59:59.999,102918.8141,299,172557.0,54389.9298,0
2024-01-01 23:00:00,0.3157,0.3183,0.3157,0.3181,642917.0,2024-01-01 23:29:59.999,203760.8303,718,399128.0,126541.5229,0
2024-01-01 23:30:00,0.3181,0.3193,0.3171,0.3187,908933.0,2024-01-01 23:59:59.999,289414.7638,949,483219.0,153876.8437,0
2024-01-02 00:00:00,0.3188,0.3237,0.3168,0.323,2002700.0,2024-01-02 00:29:59.999,642457.5302,2240,1094457.0,351458.9723,0
2024-01-02 00:30:00,0.3227,0.3262,0.3223,0.3254,1838997.0,2024-01-02 00:59:59.999,596973.5515,1867,913767.0,296547.1842,0
