Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
2024-01-01 00:00:00,72.83,73.19,72.76,73.04,13220.945,2024-01-01 00:29:59.999,965138.78113,1977,5820.125,424946.39633,0
2024-01-01 00:30:00,73.03,73.1,72.9,73.06,8117.582,2024-01-01 00:59:59.999,592488.45976,1821,3681.659,268694.27471,0
2024-01-01 01:00:00,73.06,73.21,72.87,73.18,7556.375,2024-01-01 01:29:59.999,552383.87944,1111,3519.249,257287.19347,0
2024-01-01 01:30:00,73.19,73.39,73.12,73.34,8184.228,2024-01-01 01:59:59.999,599703.01632,1472,4624.215,338853.8423,0
2024-01-01 02:00:00,73.34,73.37,73.16,73.27,3795.776,2024-01-01 02:29:59.999,278026.53786,880,1495.795,109572.28079,0
2024-01-01 02:30:00,73.27,73.4,73.1,73.16,4029.199,2024-01-01 02:59:59.999,295191.67512,878,2326.177,170468.46437,0
2024-01-01 03:00:00,73.15,73.15,72.64,72.67,7717.78,2024-01-01 03:29:59.999,562416.5746,1327,2706.624,197214.14159,0
2024-01-01 03:30:00,72.67,72.87,72.47,72.67,12645.634,2024-01-01 03:59:59.999,918622.35404,1994,6423.076,466732.22922,0
2024-01-01 04:00:00,72.66,72.77,72.11,72.42,11119.316,2024-01-01 04:29:59.999,805630.38906,2214,5723.168,414658.36714,0
2024-01-01 04:30:00,72.41,72.57,72.28,72.53,9402.784,2024-01-01 04:59:59.999,680966.41223,1493,5828.062,422116.06826,0
2024-01-01 05:00:00,72.53,72.67,72.37,72.58,4513.701,2024-01-01 05:29:59.999,327481.24456,894,2647.279,192057.78977,0
2024-01-01 05:30:00,72.58,72.65,72.06,72.18,6009.053,2024-01-01 05:59:59.999,434383.34471,1239,1897.733,137136.58143,0
2024-01-01 06:00:00,72.18,72.58,72.14,72.57,6865.332,2024-01-01 06:29:59.999,496673.69478,1156,4471.701,323500.74325,0
2024-01-01 06:30:00,72.56,72.89,72.55,72.85,4552.319,2024-01-01 06:59:59.999,331258.76393,1038,3620.456,263487.18108,0
2024-01-01 07:00:00,72.85,73.04,72.8,73.02,4665.76,2024-01-01 07:29:59.999,340226.60266,1012,2651.495,193370.05521,0
2024-01-01 07:30:00,73.02,73.25,72.98,73.19,6465.195,2024-01-01 07:59:59.999,472809.49452,1229,3844.206,281080.60845,0
2024-01-01 08:00:00,73.19,73.26,73.02,73.08,6365.955,2024-01-01 08:29:59.999,465589.5521,965,1301.028,95126.86233,0
2024-01-01 08:30:00,73.07,73.22,73.04,73.22,4940.411,2024-01-01 08:59:59.999,361234.77668,848,2458.913,179813.68301,0
2024-01-01 09:00:00,73.21,73.42,73.21,73.41,4577.824,2024-01-01 09:29:59.999,335671.54831,988,2900.687,212682.47795,0
2024-01-01 09:30:00,73.41,73.47,73.27,73.32,5245.171,2024-01-01 09:59:59.999,384688.85629,1233,1703.725,124966.95242,0
2024-01-01 10:00:00,73.33,73.43,73.28,73.31,2578.22,2024-01-01 10:29:59.999,189085.50843,892,1340.611,98327.00947,0
2024-01-01 10:30:00,73.3,73.44,73.3,73.35,3478.443,2024-01-01 10:59:59.999,255146.03043,793,1658.137,121618.8521,0
2024-01-01 11:00:00,73.35,73.41,73.2,73.27,5918.805,2024-01-01 11:29:59.999,433864.70116,1023,2395.748,175649.65692,0
2024-01-01 11:30:00,73.26,73.31,73.11,73.24,4158.5,2024-01-01 11:59:59.999,304409.36567,1039,1634.598,119640.85788,0
2024-01-01 12:00:00,73.24,73.36,73.21,73.34,5774.612,2024-01-01 12:29:59.999,423220.22525,1010,4006.697,293608.48863,0
2024-01-01 12:30:00,73.34,73.56,73.24,73.24,5832.418,2024-01-01 12:59:59.999,428157.38112,1406,3139.105,230502.04203,0
2024-01-01 13:00:00,73.25,73.64,73.17,73.58,6560.53,2024-01-01 13:29:59.999,481846.05933,1317,4286.082,314860.26484,0
2024-01-01 13:30:00,73.57,73.69,73.52,73.62,6921.245,2024-01-01 13:59:59.999,509677.02684,1440,3681.739,271098.98498,0
2024-01-01 14:00:00,73.62,73.62,73.28,73.33,6723.858,2024-01-01 14:29:59.999,493907.10727,1404,2403.266,176551.00968,0
2024-01-01 14:30:00,73.35,73.44,73.16,73.33,6555.027,2024-01-01 14:59:59.999,480528.07011,1317,2405.321,176311.51646,0
2024-01-01 15:00:00,73.32,73.58,73.27,73.53,5591.144,2024-01-01 15:29:59.999,410472.35521,1362,2625.82,192795.6917,0
2024-01-01 15:30:00,73.52,73.77,73.43,73.69,4175.201,2024-01-01 15:59:59.999,307395.49066,1720,2164.123,159290.43616,0
2024-01-01 16:00:00,73.69,73.75,73.38,73.48,7708.819,2024-01-01 16:29:59.999,567580.35937,1665,4361.603,321169.49163,0
2024-01-01 16:30:00,73.49,73.6,73.41,73.48,6972.141,2024-01-01 16:59:59.999,512776.38365,1419,2526.607,185827.4647,0
2024-01-01 17:00:00,73.5,73.65,73.49,73.55,6038.748,2024-01-01 17:29:59.999,444211.10874,1337,3151.69,231846.62077,0
2024-01-01 17:30:00,73.55,73.68,73.51,73.65,2127.603,2024-01-01 17:59:59.999,156573.90367,844,1142.807,84086.83711,0
2024-01-01 18:00:00,73.66,74.13,73.64,74.0,9652.402,2024-01-01 18:29:59.999,713513.71985,2365,5420.607,400773.47623,0
2024-01-01 18:30:00,74.0,74.06,73.89,73.98,6622.971,2024-01-01 18:59:59.999,490049.33661,1721,3609.381,267064.00206,0
2024-01-01 19:00:00,73.99,74.16,73.99,74.12,3343.794,2024-01-01 19:29:59.999,247708.78902,1159,2340.491,173383.72313,0
2024-01-01 19:30:00,74.12,74.41,74.09,74.15,12146.869,2024-01-01 19:59:59.999,901353.33613,2496,6412.129,475823.36735,0
2024-01-01 20:00:00,74.16,74.49,74.12,74.25,10520.715,2024-01-01 20:29:59.999,781466.92621,1995,6193.777,460070.58759,0
2024-01-01 20:30:00,74.24,74.37,74.17,74.21,9046.339,2024-01-01 20:59:59.999,671894.50197,1681,4979.697,369901.43907,0
2024-01-01 21:00:00,74.2,74.25,73.99,74.01,4770.548,2024-01-01 21:29:59.999,353482.51792,1329,1916.838,142038.2855,0
2024-01-01 21:30:00,74.01,74.26,73.98,74.24,3793.109,2024-01-01 21:59:59.999,281050.19684,1335,2197.423,162799.54167,0
2024-01-01 22:00:00,74.24,74.34,74.04,74.31,5384.916,2024-01-01 22:29:59.999,399722.13535,1297,2470.809,183437.57049,0
2024-01-01 22:30:00,74.32,74.4,74.2,74.39,3589.029,2024-01-01 22:59:59.999,266729.74893,1168,1361.42,101186.41082,0
2024-01-01 23:00:00,74.4,74.66,74.39,74.57,6530.991,2024-01-01 23:29:59.999,486290.23274,1364,4232.468,315152.84426,0
2024-01-01 23:30:00,74.56,74.78,74.56,74.72,5869.613,2024-01-01 23:59:59.999,438316.12497,1964,3289.608,245651.70223,0
2024-01-02 00:00:00,74.72,75.05,74.49,74.93,28428.787,2024-01-02 00:29:59.999,2126767.3766,4666,14048.97,1051451.4304,0
2024-01-02 00:30:00,74.94,75.4,74.88,75.38,27783.141,2024-01-02 00:59:59.999,2088831.18868,4857,16337.57,1228347.9698,0
2024-01-02 01:00:00,75.37,75.9,75.16,75.21,31471.115,2024-01-02 01:29:59.999,2377053.37177,6892,16497.112,1246814.69203,0
2024-01-02 01:30:00,75.21,75.27,74.82,75.09,19388.268,2024-01-02 01:59:59.999,1453979.03547,3295,7501.292,562556.6885,0
2024-01-02 02:00:00,75.08,75.22,74.92,75.01,7659.371,2024-01-02 02:29:59.999,574950.41878,1419,3414.22,256369.5656,0
2024-01-02 02:30:00,75.01,75.29,75.0,75.26,10378.527,2024-01-02 02:59:59.999,780217.18875,1588,5522.696,415215.62392,0
2024-01-02 03:00:00,75.26,75.32,74.8,75.01,8601.602,2024-01-02 03:29:59.999,645339.02584,1649,5319.239,399112.28526,0
2024-01-02 03:30:00,75.01,75.25,74.86,75.09,8888.707,2024-01-02 03:59:59.999,667051.78233,1810,4532.64,340168.56818,0
2024-01-02 04:00:00,75.09,75.19,74.94,74.99,7980.626,2024-01-02 04:29:59.999,599066.41204,1541,4346.421,326265.02796,0
2024-01-02 04:30:00,74.99,75.18,74.93,75.02,15524.167,2024-01-02 04:59:59.999,1164974.57147,2260,10279.052,771417.91578,0
2024-01-02 05:00:00,75.02,75.18,74.94,74.99,7654.239,2024-01-02 05:29:59.999,574331.10218,1152,4181.465,313784.8754,0
2024-01-02 05:30:00,74.99,74.99,74.63,74.68,8050.095,2024-01-02 05:59:59.999,602045.11882,1768,2989.861,223632.71416,0
2024-01-02 06:00:00,74.67,74.71,74.49,74.71,12562.378,2024-01-02 06:29:59.999,937021.88418,1541,5975.346,445781.19571,0
2024-01-02 06:30:00,74.71,74.87,74.63,74.66,5003.654,2024-01-02 06:59:59.999,374081.11345,1457,2869.633,214540.83751,0
2024-01-02 07:00:00,74.65,74.93,74.64,74.69,12504.48,2024-01-02 07:29:59.999,935117.31747,1834,6575.147,491757.44747,0
2024-01-02 07:30:00,74.69,75.01,74.63,74.71,19477.26,2024-01-02 07:59:59.999,1456777.40956,2435,10031.17,750454.15741,0
2024-01-02 08:00:00,74.71,75.08,74.6,75.04,12853.883,2024-01-02 08:29:59.999,961760.56646,2334,6757.871,505798.36074,0
2024-01-02 08:30:00,75.03,75.48,75.03,75.39,14073.347,2024-01-02 08:59:59.999,1058753.67875,2810,8201.451,617046.80035,0
2024-01-02 09:00:00,75.39,75.44,75.09,75.26,9825.24,2024-01-02 09:29:59.999,739301.20747,1751,4546.631,342077.27358,0
2024-01-02 09:30:00,75.26,75.32,75.02,75.29,13073.436,2024-01-02 09:59:59.999,983346.81722,2601,6294.814,473501.9865,0
2024-01-02 10:00:00,75.29,75.32,75.01,75.18,8161.741,2024-01-02 10:29:59.999,613722.90951,1849,4972.731,373955.23472,0
2024-01-02 10:30:00,75.19,75.29,74.84,75.27,10494.719,2024-01-02 10:59:59.999,787772.69708,2137,4490.963,337213.86133,0
2024-01-02 11:00:00,75.27,75.36,74.91,74.96,13135.683,2024-01-02 11:29:59.999,986790.87535,1843,5169.681,388491.46873,0
2024-01-02 11:30:00,74.96,74.96,74.55,74.85,14508.502,2024-01-02 11:59:59.999,1084971.74601,2772,7237.979,541239.82419,0
2024-01-02 12:00:00,74.87,74.97,74.67,74.84,13157.438,2024-01-02 12:29:59.999,984234.54595,2255,7858.405,587798.26607,0
2024-01-02 12:30:00,74.83,74.85,74.36,74.36,10180.816,2024-01-02 12:59:59.999,759662.07588,2447,4041.649,301534.31024,0
2024-01-02 13:00:00,74.37,74.72,74.28,74.64,13116.431,2024-01-02 13:29:59.999,978107.0453,2382,7647.125,570296.58978,0
2024-01-02 13:30:00,74.64,74.81,74.58,74.63,6560.339,2024-01-02 13:59:59.999,490065.11258,2121,2813.188,210133.78188,0
2024-01-02 14:00:00,74.63,74.65,74.14,74.2,9399.853,2024-01-02 14:29:59.999,699670.33344,2842,3890.793,289667.77418,0
2024-01-02 14:30:00,74.21,74.26,73.22,73.52,33395.425,2024-01-02 14:59:59.999,2460787.47193,7562,16153.556,1190101.81272,0
2024-01-02 15:00:00,73.51,73.68,73.0,73.29,18635.664,2024-01-02 15:29:59.999,1366778.54717,4654,11169.719,819440.30834,0
2024-01-02 15:30:00,73.28,73.68,73.15,73.39,12251.582,2024-01-02 15:59:59.999,900798.24393,2832,5620.605,413344.20846,0
