timestamp,LTC/USDT_2024_30m,DOGE/USDT_2024_30m
2024-01-01 00:00:00,73.04,0.08983
2024-01-01 00:30:00,73.06,0.08983
2024-01-01 01:00:00,73.18,0.08992
2024-01-01 01:30:00,73.34,0.09016
2024-01-01 02:00:00,73.27,0.08998
2024-01-01 02:30:00,73.16,0.0898
2024-01-01 03:00:00,72.67,0.08948
2024-01-01 03:30:00,72.67,0.08921
2024-01-01 04:00:00,72.42,0.089
2024-01-01 04:30:00,72.53,0.0891
2024-01-01 05:00:00,72.58,0.08926
2024-01-01 05:30:00,72.18,0.089
2024-01-01 06:00:00,72.57,0.08917
2024-01-01 06:30:00,72.85,0.08948
2024-01-01 07:00:00,73.02,0.08969
2024-01-01 07:30:00,73.19,0.08965
2024-01-01 08:00:00,73.08,0.08959
2024-01-01 08:30:00,73.22,0.08957
2024-01-01 09:00:00,73.41,0.08968
2024-01-01 09:30:00,73.32,0.08974
2024-01-01 10:00:00,73.31,0.08984
2024-01-01 10:30:00,73.35,0.09003
2024-01-01 11:00:00,73.27,0.08997
2024-01-01 11:30:00,73.24,0.08995
2024-01-01 12:00:00,73.34,0.09021
2024-01-01 12:30:00,73.24,0.09023
2024-01-01 13:00:00,73.58,0.09037
2024-01-01 13:30:00,73.62,0.09055
2024-01-01 14:00:00,73.33,0.09032
2024-01-01 14:30:00,73.33,0.0906
2024-01-01 15:00:00,73.53,0.09098
2024-01-01 15:30:00,73.69,0.09106
2024-01-01 16:00:00,73.48,0.09094
2024-01-01 16:30:00,73.48,0.09112
2024-01-01 17:00:00,73.55,0.09112
2024-01-01 17:30:00,73.65,0.09119
2024-01-01 18:00:00,74.0,0.09168
2024-01-01 18:30:00,73.98,0.09127
2024-01-01 19:00:00,74.12,0.09165
2024-01-01 19:30:00,74.15,0.09181
2024-01-01 20:00:00,74.25,0.09175
2024-01-01 20:30:00,74.21,0.09153
2024-01-01 21:00:00,74.01,0.09144
2024-01-01 21:30:00,74.24,0.09175
2024-01-01 22:00:00,74.31,0.09153
2024-01-01 22:30:00,74.39,0.0915
2024-01-01 23:00:00,74.57,0.09198
2024-01-01 23:30:00,74.72,0.09199
2024-01-02 00:00:00,74.93,0.09239
2024-01-02 00:30:00,75.38,0.09324
2024-01-02 01:00:00,75.21,0.09288
2024-01-02 01:30:00,75.09,0.09274
2024-01-02 02:00:00,75.01,0.09264
2024-01-02 02:30:00,75.26,0.09294
2024-01-02 03:00:00,75.01,0.0928
2024-01-02 03:30:00,75.09,0.09309
2024-01-02 04:00:00,74.99,0.09298
2024-01-02 04:30:00,75.02,0.09311
2024-01-02 05:00:00,74.99,0.09298
2024-01-02 05:30:00,74.68,0.09282
2024-01-02 06:00:00,74.71,0.093
2024-01-02 06:30:00,74.66,0.09265
2024-01-02 07:00:00,74.69,0.09293
2024-01-02 07:30:00,74.71,0.09348
2024-01-02 08:00:00,75.04,0.09391
2024-01-02 08:30:00,75.39,0.0942
2024-01-02 09:00:00,75.26,0.094
2024-01-02 09:30:00,75.29,0.09332
2024-01-02 10:00:00,75.18,0.09315
2024-01-02 10:30:00,75.27,0.09305
2024-01-02 11:00:00,74.96,0.09301
2024-01-02 11:30:00,74.85,0.09291
2024-01-02 12:00:00,74.84,0.09293
2024-01-02 12:30:00,74.36,0.09225
2024-01-02 13:00:00,74.64,0.0926
2024-01-02 13:30:00,74.63,0.09267
2024-01-02 14:00:00,74.2,0.0926
2024-01-02 14:30:00,73.52,0.09164
2024-01-02 15:00:00,73.29,0.09105
2024-01-02 15:30:00,73.39,0.09149
2024-01-02 16:00:00,73.24,0.09157
2024-01-02 16:30:00,73.39,0.09192
2024-01-02 17:00:00,73.39,0.09156
2024-01-02 17:30:00,73.08,0.09162
2024-01-02 18:00:00,73.08,0.09167
2024-01-02 18:30:00,73.15,0.09158
2024-01-02 19:00:00,73.05,0.09126
2024-01-02 19:30:00,73.08,0.09133
2024-01-02 20:00:00,73.27,0.09137
2024-01-02 20:30:00,72.94,0.0907
2024-01-02 21:00:00,72.56,0.09088
2024-01-02 21:30:00,72.97,0.09121
2024-01-02 22:00:00,73.0,0.09118
2024-01-02 22:30:00,73.08,0.09134
2024-01-02 23:00:00,73.23,0.09136
2024-01-02 23:30:00,72.97,0.0911
2024-01-03 00:00:00,72.94,0.09118
2024-01-03 00:30:00,73.2,0.09151
2024-01-03 01:00:00,73.33,0.09151
2024-01-03 01:30:00,73.45,0.09184
2024-01-03 02:00:00,73.38,0.09161
2024-01-03 02:30:00,73.21,0.09157
2024-01-03 03:00:00,73.19,0.09136
2024-01-03 03:30:00,73.13,0.09137
2024-01-03 04:00:00,73.33,0.09151
2024-01-03 04:30:00,73.2,0.09149
2024-01-03 05:00:00,73.25,0.09155
2024-01-03 05:30:00,73.26,0.09152
2024-01-03 06:00:00,73.35,0.09173
2024-01-03 06:30:00,73.35,0.09171
2024-01-03 07:00:00,73.58,0.09187
2024-01-03 07:30:00,72.99,0.09165
2024-01-03 08:00:00,73.16,0.0917
2024-01-03 08:30:00,73.32,0.09185
2024-01-03 09:00:00,73.4,0.0919
2024-01-03 09:30:00,73.39,0.09188
2024-01-03 10:00:00,73.29,0.09185
2024-01-03 10:30:00,73.06,0.09172
2024-01-03 11:00:00,72.31,0.09057
2024-01-03 11:30:00,71.81,0.08955
2024-01-03 12:00:00,64.47,0.08227
2024-01-03 12:30:00,65.71,0.0842
2024-01-03 13:00:00,64.57,0.08249
2024-01-03 13:30:00,64.75,0.08312
2024-01-03 14:00:00,64.06,0.08121
2024-01-03 14:30:00,64.89,0.0811
2024-01-03 15:00:00,65.69,0.08153
2024-01-03 15:30:00,65.89,0.08244
2024-01-03 16:00:00,66.1,0.08253
2024-01-03 16:30:00,65.43,0.08199
2024-01-03 17:00:00,65.03,0.0818
2024-01-03 17:30:00,65.21,0.08233
2024-01-03 18:00:00,65.19,0.08213
2024-01-03 18:30:00,64.78,0.08114
2024-01-03 19:00:00,65.15,0.08191
2024-01-03 19:30:00,64.99,0.08167
2024-01-03 20:00:00,65.36,0.08219
2024-01-03 20:30:00,65.43,0.08213
2024-01-03 21:00:00,65.61,0.08263
2024-01-03 21:30:00,65.77,0.08282
2024-01-03 22:00:00,65.17,0.08219
2024-01-03 22:30:00,65.28,0.08222
2024-01-03 23:00:00,65.17,0.08193
2024-01-03 23:30:00,65.24,0.08201
2024-01-04 00:00:00,65.42,0.0822
2024-01-04 00:30:00,65.46,0.08236
2024-01-04 01:00:00,64.95,0.08145
2024-01-04 01:30:00,64.95,0.08127
2024-01-04 02:00:00,65.39,0.08184
2024-01-04 02:30:00,65.77,0.08231
2024-01-04 03:00:00,65.44,0.08188
2024-01-04 03:30:00,65.07,0.08209
2024-01-04 04:00:00,65.39,0.08226
2024-01-04 04:30:00,65.58,0.08218
2024-01-04 05:00:00,65.44,0.08238
2024-01-04 05:30:00,65.51,0.08225
2024-01-04 06:00:00,65.58,0.08237
2024-01-04 06:30:00,65.65,0.08265
2024-01-04 07:00:00,65.67,0.08279
2024-01-04 07:30:00,64.98,0.08225
2024-01-04 08:00:00,64.9,0.08226
2024-01-04 08:30:00,64.97,0.0821
2024-01-04 09:00:00,65.18,0.08238
2024-01-04 09:30:00,65.15,0.08247
2024-01-04 10:00:00,64.73,0.08176
2024-01-04 10:30:00,65.21,0.08217
2024-01-04 11:00:00,65.15,0.08251
2024-01-04 11:30:00,65.18,0.08262
2024-01-04 12:00:00,65.15,0.08251
2024-01-04 12:30:00,65.37,0.08268
2024-01-04 13:00:00,65.28,0.08272
2024-01-04 13:30:00,65.5,0.08298
2024-01-04 14:00:00,65.62,0.08325
2024-01-04 14:30:00,66.31,0.0839
2024-01-04 15:00:00,66.35,0.08443
2024-01-04 15:30:00,66.32,0.08406
2024-01-04 16:00:00,65.89,0.08325
2024-01-04 16:30:00,66.02,0.08358
2024-01-04 17:00:00,66.23,0.0837
2024-01-04 17:30:00,66.18,0.084
2024-01-04 18:00:00,66.14,0.08384
2024-01-04 18:30:00,66.4,0.08383
2024-01-04 19:00:00,66.5,0.08426
2024-01-04 19:30:00,66.11,0.08381
2024-01-04 20:00:00,66.57,0.08417
2024-01-04 20:30:00,66.58,0.08419
2024-01-04 21:00:00,66.44,0.08442
2024-01-04 21:30:00,66.54,0.08407
2024-01-04 22:00:00,66.54,0.08422
2024-01-04 22:30:00,66.37,0.08424
2024-01-04 23:00:00,66.52,0.08414
2024-01-04 23:30:00,66.41,0.08401
2024-01-05 00:00:00,66.65,0.08458
2024-01-05 00:30:00,66.44,0.08455
2024-01-05 01:00:00,66.06,0.08364
2024-01-05 01:30:00,65.37,0.08248
2024-01-05 02:00:00,65.07,0.08241
2024-01-05 02:30:00,65.13,0.08261
2024-01-05 03:00:00,65.31,0.08305
2024-01-05 03:30:00,65.21,0.08295
2024-01-05 04:00:00,65.14,0.08275
2024-01-05 04:30:00,65.27,0.08275
2024-01-05 05:00:00,65.4,0.08311
2024-01-05 05:30:00,65.47,0.08312
2024-01-05 06:00:00,65.53,0.08278
2024-01-05 06:30:00,65.73,0.0831
2024-01-05 07:00:00,65.74,0.08323
2024-01-05 07:30:00,65.8,0.08282
2024-01-05 08:00:00,65.88,0.08316
2024-01-05 08:30:00,65.69,0.08305
2024-01-05 09:00:00,65.81,0.08359
2024-01-05 09:30:00,65.99,0.08397
2024-01-05 10:00:00,65.75,0.08373
2024-01-05 10:30:00,65.15,0.08278
2024-01-05 11:00:00,65.36,0.08269
2024-01-05 11:30:00,65.1,0.08218
2024-01-05 12:00:00,65.32,0.08231
2024-01-05 12:30:00,65.34,0.08236
2024-01-05 13:00:00,65.47,0.0824
2024-01-05 13:30:00,65.27,0.08246
2024-01-05 14:00:00,64.89,0.08197
2024-01-05 14:30:00,64.52,0.08135
2024-01-05 15:00:00,64.73,0.08154
2024-01-05 15:30:00,64.96,0.08192
2024-01-05 16:00:00,65.03,0.08176
2024-01-05 16:30:00,64.73,0.08138
2024-01-05 17:00:00,64.82,0.08122
2024-01-05 17:30:00,65.16,0.08178
2024-01-05 18:00:00,65.55,0.08144
2024-01-05 18:30:00,65.71,0.08163
2024-01-05 19:00:00,65.88,0.08177
2024-01-05 19:30:00,65.66,0.08157
2024-01-05 20:00:00,65.83,0.08197
2024-01-05 20:30:00,65.86,0.08245
2024-01-05 21:00:00,65.57,0.08203
2024-01-05 21:30:00,65.77,0.08229
2024-01-05 22:00:00,65.47,0.08216
2024-01-05 22:30:00,65.5,0.08234
2024-01-05 23:00:00,65.89,0.08269
2024-01-05 23:30:00,66.0,0.08267
2024-01-06 00:00:00,65.58,0.0823
2024-01-06 00:30:00,65.69,0.08232
2024-01-06 01:00:00,65.27,0.0819
2024-01-06 01:30:00,65.58,0.08207
2024-01-06 02:00:00,65.58,0.08208
2024-01-06 02:30:00,65.5,0.08224
2024-01-06 03:00:00,65.48,0.0822
2024-01-06 03:30:00,65.35,0.0821
2024-01-06 04:00:00,65.28,0.08205
2024-01-06 04:30:00,65.02,0.08152
2024-01-06 05:00:00,64.42,0.07998
2024-01-06 05:30:00,64.36,0.08006
2024-01-06 06:00:00,63.9,0.07921
2024-01-06 06:30:00,63.52,0.07885
2024-01-06 07:00:00,64.16,0.07948
2024-01-06 07:30:00,64.47,0.0802
2024-01-06 08:00:00,64.62,0.08032
2024-01-06 08:30:00,64.78,0.08062
2024-01-06 09:00:00,64.81,0.08067
2024-01-06 09:30:00,64.73,0.08043
2024-01-06 10:00:00,64.92,0.0806
2024-01-06 10:30:00,64.87,0.0805
2024-01-06 11:00:00,65.01,0.08046
2024-01-06 11:30:00,65.15,0.08064
2024-01-06 12:00:00,65.11,0.08061
2024-01-06 12:30:00,65.23,0.08047
