Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
2024-01-01 00:00:00,45.1,45.52,45.05,45.21,2804.79,2024-01-01 00:29:59.999,127092.8837,622,1760.424,79730.36607,0
2024-01-01 00:30:00,45.17,45.46,45.08,45.23,2595.813,2024-01-01 00:59:59.999,117522.39349,478,967.754,43795.60481,0
2024-01-01 01:00:00,45.18,45.34,45.0,45.28,1733.875,2024-01-01 01:29:59.999,78330.87585,440,804.584,36367.11206,0
2024-01-01 01:30:00,45.27,45.32,45.13,45.21,1200.862,2024-01-01 01:59:59.999,54312.90866,342,580.624,26264.93971,0
2024-01-01 02:00:00,45.2,45.2,44.86,45.0,2417.725,2024-01-01 02:29:59.999,108782.39813,607,1214.093,54628.40987,0
2024-01-01 02:30:00,44.98,45.2,44.81,44.96,2046.281,2024-01-01 02:59:59.999,92184.76303,458,1449.536,65356.994,0
2024-01-01 03:00:00,44.95,44.97,44.34,44.39,7942.093,2024-01-01 03:29:59.999,354644.12749,1750,2970.506,132599.39776,0
2024-01-01 03:30:00,44.41,44.68,44.29,44.46,4306.134,2024-01-01 03:59:59.999,191275.64852,842,1675.588,74473.27829,0
2024-01-01 04:00:00,44.43,44.64,43.97,44.32,4345.607,2024-01-01 04:29:59.999,192383.22262,1127,2507.679,110938.3291,0
2024-01-01 04:30:00,44.36,44.43,44.21,44.42,3164.036,2024-01-01 04:59:59.999,140266.9023,1029,1126.074,49915.82993,0
2024-01-01 05:00:00,44.42,44.77,44.35,44.56,1982.847,2024-01-01 05:29:59.999,88389.50316,844,854.736,38124.91728,0
2024-01-01 05:30:00,44.57,44.71,44.51,44.58,2184.351,2024-01-01 05:59:59.999,97441.68784,915,1060.651,47320.6477,0
2024-01-01 06:00:00,44.59,44.94,44.57,44.77,1774.715,2024-01-01 06:29:59.999,79343.29335,626,833.872,37284.25886,0
2024-01-01 06:30:00,44.73,45.05,44.72,45.02,897.734,2024-01-01 06:59:59.999,40293.8079,337,457.358,20530.1197,0
2024-01-01 07:00:00,45.02,45.28,44.89,45.0,1345.353,2024-01-01 07:29:59.999,60643.24876,508,620.91,28002.57375,0
2024-01-01 07:30:00,45.01,45.17,44.88,45.09,1272.362,2024-01-01 07:59:59.999,57291.36175,430,579.661,26092.53112,0
2024-01-01 08:00:00,45.09,45.34,45.08,45.17,2127.031,2024-01-01 08:29:59.999,96192.83275,596,1018.952,46061.84415,0
2024-01-01 08:30:00,45.19,45.35,45.11,45.31,2335.329,2024-01-01 08:59:59.999,105630.35688,414,1542.404,69760.46357,0
2024-01-01 09:00:00,45.32,45.44,45.14,45.38,2268.787,2024-01-01 09:29:59.999,102743.41795,534,904.01,40938.98827,0
2024-01-01 09:30:00,45.4,46.25,45.39,45.97,3180.875,2024-01-01 09:59:59.999,145890.065,1253,1864.426,85462.18469,0
2024-01-01 10:00:00,45.94,46.3,45.78,45.81,4305.846,2024-01-01 10:29:59.999,198056.74728,1160,2474.575,113899.13914,0
2024-01-01 10:30:00,45.82,46.56,45.68,46.51,6075.765,2024-01-01 10:59:59.999,280694.96704,1509,3811.432,176019.03456,0
2024-01-01 11:00:00,46.52,46.52,46.1,46.16,2734.959,2024-01-01 11:29:59.999,126591.63924,860,1259.62,58278.5347,0
2024-01-01 11:30:00,46.16,46.99,46.09,46.76,2314.841,2024-01-01 11:59:59.999,107476.71244,850,1456.124,67547.30054,0
2024-01-01 12:00:00,46.77,46.99,46.47,46.69,4008.696,2024-01-01 12:29:59.999,187242.07485,1179,1607.466,75140.74586,0
2024-01-01 12:30:00,46.71,47.55,46.57,47.16,4115.357,2024-01-01 12:59:59.999,193570.14326,1502,2215.974,104330.53549,0
2024-01-01 13:00:00,47.21,48.22,46.76,47.61,10378.7,2024-01-01 13:29:59.999,493098.46897,2741,6940.29,329943.28119,0
2024-01-01 13:30:00,47.59,48.38,47.32,48.18,4878.935,2024-01-01 13:59:59.999,233509.74245,1892,2785.528,133365.14574,0
2024-01-01 14:00:00,48.19,48.67,47.34,48.28,12793.188,2024-01-01 14:29:59.999,615029.226,5883,6468.284,310994.38939,0
2024-01-01 14:30:00,48.27,48.71,47.16,47.42,10487.96,2024-01-01 14:59:59.999,500295.43455,3415,4497.629,215158.85624,0
2024-01-01 15:00:00,47.43,48.36,47.41,48.14,4133.301,2024-01-01 15:29:59.999,197948.34234,1473,2198.158,105271.77179,0
2024-01-01 15:30:00,48.15,48.16,47.27,47.72,6651.636,2024-01-01 15:59:59.999,317443.30756,2159,3677.112,175558.72907,0
2024-01-01 16:00:00,47.78,48.31,47.68,48.29,4356.863,2024-01-01 16:29:59.999,209633.75286,1346,2283.283,109865.95679,0
2024-01-01 16:30:00,48.29,48.74,47.93,48.37,4149.612,2024-01-01 16:59:59.999,200537.25029,1567,2676.798,129376.47242,0
2024-01-01 17:00:00,48.36,49.7,48.26,49.53,9465.392,2024-01-01 17:29:59.999,463365.54168,4326,5222.319,255705.93426,0
2024-01-01 17:30:00,49.53,49.53,48.23,49.27,6917.002,2024-01-01 17:59:59.999,337581.08237,2545,3216.33,157086.99421,0
2024-01-01 18:00:00,49.27,49.31,48.6,49.18,3645.458,2024-01-01 18:29:59.999,178557.12831,1139,1655.417,81079.43477,0
2024-01-01 18:30:00,49.19,49.29,48.63,48.75,3267.255,2024-01-01 18:59:59.999,159938.28181,841,1155.536,56535.34875,0
2024-01-01 19:00:00,48.78,49.16,48.6,49.11,2576.388,2024-01-01 19:29:59.999,125747.76987,812,1572.844,76781.86897,0
2024-01-01 19:30:00,49.11,49.64,49.0,49.58,4458.166,2024-01-01 19:59:59.999,219896.24765,1440,2659.617,131282.65375,0
2024-01-01 20:00:00,49.57,49.78,49.08,49.57,6422.995,2024-01-01 20:29:59.999,317291.45727,1895,3925.749,194015.27166,0
2024-01-01 20:30:00,49.56,50.59,49.54,49.74,13668.942,2024-01-01 20:59:59.999,682952.5716,4199,8490.011,424197.55777,0
2024-01-01 21:00:00,49.75,49.83,49.03,49.2,3160.761,2024-01-01 21:29:59.999,156069.83057,1198,1209.613,59722.84862,0
2024-01-01 21:30:00,49.17,49.56,49.02,49.51,3188.86,2024-01-01 21:59:59.999,157358.3358,718,1387.267,68503.19551,0
2024-01-01 22:00:00,49.5,50.24,49.15,49.67,11203.811,2024-01-01 22:29:59.999,556928.97312,2353,7881.582,391869.64769,0
2024-01-01 22:30:00,49.68,50.65,49.53,50.37,8723.179,2024-01-01 22:59:59.999,437525.29097,2241,4813.416,241570.50476,0
2024-01-01 23:00:00,50.37,52.74,50.23,52.02,39313.953,2024-01-01 23:29:59.999,2035521.82128,9531,18603.346,961537.23084,0
2024-01-01 23:30:00,52.02,52.06,50.66,51.21,9599.677,2024-01-01 23:59:59.999,492268.37489,2528,4606.875,236020.13575,0
2024-01-02 00:00:00,51.18,51.85,50.5,50.59,9674.262,2024-01-02 00:29:59.999,494780.80604,3804,4584.464,234670.34928,0
2024-01-02 00:30:00,50.62,52.32,50.54,50.85,14988.17,2024-01-02 00:59:59.999,771415.04614,4348,5145.85,265019.11914,0
2024-01-02 01:00:00,50.84,51.46,50.7,51.32,6775.069,2024-01-02 01:29:59.999,346004.35269,2583,2783.639,142229.94559,0
2024-01-02 01:30:00,51.34,51.41,50.8,51.03,3867.284,2024-01-02 01:59:59.999,197360.56431,1379,1555.317,79395.65913,0
2024-01-02 02:00:00,51.02,51.51,50.73,51.04,5443.284,2024-01-02 02:29:59.999,278421.59125,1112,3591.471,183734.82405,0
2024-01-02 02:30:00,51.06,51.13,50.7,51.01,2801.198,2024-01-02 02:59:59.999,142610.86566,737,1594.375,81184.87751,0
2024-01-02 03:00:00,51.0,51.05,50.0,50.16,5441.176,2024-01-02 03:29:59.999,273680.53508,1430,2080.807,104697.76225,0
2024-01-02 03:30:00,50.22,50.23,49.79,49.99,4353.985,2024-01-02 03:59:59.999,217531.70744,1463,1131.159,56521.23536,0
2024-01-02 04:00:00,49.99,50.04,49.6,49.88,4471.735,2024-01-02 04:29:59.999,222806.69635,1189,1701.702,84804.16397,0
2024-01-02 04:30:00,49.92,49.99,49.6,49.89,2048.011,2024-01-02 04:59:59.999,102054.94279,763,1116.219,55653.7205,0
2024-01-02 05:00:00,49.89,50.13,49.7,49.8,2496.445,2024-01-02 05:29:59.999,124624.79956,767,1514.024,75611.81259,0
2024-01-02 05:30:00,49.76,49.86,49.5,49.53,2173.951,2024-01-02 05:59:59.999,107889.86152,656,630.38,31289.60544,0
2024-01-02 06:00:00,49.56,49.85,49.27,49.77,4303.461,2024-01-02 06:29:59.999,213136.08062,1228,1611.346,79933.82384,0
2024-01-02 06:30:00,49.8,49.81,49.27,49.28,2176.242,2024-01-02 06:59:59.999,107902.9029,557,1006.332,49937.3456,0
2024-01-02 07:00:00,49.31,49.4,47.79,48.56,23599.266,2024-01-02 07:29:59.999,1141698.54902,3190,15674.428,755524.88614,0
2024-01-02 07:30:00,48.57,48.82,48.0,48.66,8849.877,2024-01-02 07:59:59.999,429015.76608,3309,3310.566,160623.44957,0
