timestamp,DOT/USDT_2024_30m,KSM/USDT_2024_30m
2024-01-01 00:00:00,8.227,45.21
2024-01-01 00:30:00,8.267,45.23
2024-01-01 01:00:00,8.276,45.28
2024-01-01 01:30:00,8.294,45.21
2024-01-01 02:00:00,8.266,45.0
2024-01-01 02:30:00,8.253,44.96
2024-01-01 03:00:00,8.186,44.39
2024-01-01 03:30:00,8.148,44.46
2024-01-01 04:00:00,8.112,44.32
2024-01-01 04:30:00,8.14,44.42
2024-01-01 05:00:00,8.155,44.56
2024-01-01 05:30:00,8.095,44.58
2024-01-01 06:00:00,8.126,44.77
2024-01-01 06:30:00,8.138,45.02
2024-01-01 07:00:00,8.136,45.0
2024-01-01 07:30:00,8.17,45.09
2024-01-01 08:00:00,8.152,45.17
2024-01-01 08:30:00,8.185,45.31
2024-01-01 09:00:00,8.194,45.38
2024-01-01 09:30:00,8.237,45.97
2024-01-01 10:00:00,8.232,45.81
2024-01-01 10:30:00,8.248,46.51
2024-01-01 11:00:00,8.233,46.16
2024-01-01 11:30:00,8.24,46.76
2024-01-01 12:00:00,8.237,46.69
2024-01-01 12:30:00,8.242,47.16
2024-01-01 13:00:00,8.265,47.61
2024-01-01 13:30:00,8.269,48.18
2024-01-01 14:00:00,8.248,48.28
2024-01-01 14:30:00,8.263,47.42
2024-01-01 15:00:00,8.365,48.14
2024-01-01 15:30:00,8.382,47.72
2024-01-01 16:00:00,8.34,48.29
2024-01-01 16:30:00,8.313,48.37
2024-01-01 17:00:00,8.353,49.53
2024-01-01 17:30:00,8.38,49.27
2024-01-01 18:00:00,8.533,49.18
2024-01-01 18:30:00,8.512,48.75
2024-01-01 19:00:00,8.567,49.11
2024-01-01 19:30:00,8.594,49.58
2024-01-01 20:00:00,8.56,49.57
2024-01-01 20:30:00,8.555,49.74
2024-01-01 21:00:00,8.508,49.2
2024-01-01 21:30:00,8.536,49.51
2024-01-01 22:00:00,8.499,49.67
2024-01-01 22:30:00,8.522,50.37
2024-01-01 23:00:00,8.608,52.02
2024-01-01 23:30:00,8.595,51.21
2024-01-02 00:00:00,8.635,50.59
2024-01-02 00:30:00,8.684,50.85
2024-01-02 01:00:00,8.715,51.32
2024-01-02 01:30:00,8.663,51.03
2024-01-02 02:00:00,8.668,51.04
2024-01-02 02:30:00,8.713,51.01
2024-01-02 03:00:00,8.648,50.16
2024-01-02 03:30:00,8.677,49.99
2024-01-02 04:00:00,8.672,49.88
2024-01-02 04:30:00,8.69,49.89
2024-01-02 05:00:00,8.677,49.8
2024-01-02 05:30:00,8.651,49.53
2024-01-02 06:00:00,8.675,49.77
2024-01-02 06:30:00,8.622,49.28
2024-01-02 07:00:00,8.668,48.56
2024-01-02 07:30:00,8.703,48.66
2024-01-02 08:00:00,8.749,48.83
2024-01-02 08:30:00,8.729,48.88
2024-01-02 09:00:00,8.741,49.22
2024-01-02 09:30:00,8.772,49.3
2024-01-02 10:00:00,8.793,49.42
2024-01-02 10:30:00,8.71,49.61
2024-01-02 11:00:00,8.7,49.97
2024-01-02 11:30:00,8.646,49.83
2024-01-02 12:00:00,8.663,49.38
2024-01-02 12:30:00,8.619,48.54
2024-01-02 13:00:00,8.727,48.82
2024-01-02 13:30:00,8.713,48.79
2024-01-02 14:00:00,8.637,48.48
2024-01-02 14:30:00,8.493,47.63
2024-01-02 15:00:00,8.436,47.55
2024-01-02 15:30:00,8.419,47.76
2024-01-02 16:00:00,8.445,47.32
2024-01-02 16:30:00,8.486,47.75
2024-01-02 17:00:00,8.461,47.56
2024-01-02 17:30:00,8.427,47.73
2024-01-02 18:00:00,8.466,47.7
2024-01-02 18:30:00,8.461,47.56
2024-01-02 19:00:00,8.416,47.42
2024-01-02 19:30:00,8.437,47.57
2024-01-02 20:00:00,8.434,47.65
2024-01-02 20:30:00,8.354,47.52
2024-01-02 21:00:00,8.371,47.46
2024-01-02 21:30:00,8.41,47.76
2024-01-02 22:00:00,8.437,47.77
2024-01-02 22:30:00,8.442,47.59
2024-01-02 23:00:00,8.438,47.68
2024-01-02 23:30:00,8.411,47.45
2024-01-03 00:00:00,8.408,48.34
2024-01-03 00:30:00,8.463,49.1
2024-01-03 01:00:00,8.476,48.78
2024-01-03 01:30:00,8.53,49.43
2024-01-03 02:00:00,8.491,49.24
2024-01-03 02:30:00,8.458,49.09
2024-01-03 03:00:00,8.421,49.13
2024-01-03 03:30:00,8.441,48.78
2024-01-03 04:00:00,8.482,49.34
2024-01-03 04:30:00,8.478,49.73
2024-01-03 05:00:00,8.565,49.61
2024-01-03 05:30:00,8.521,49.67
2024-01-03 06:00:00,8.545,49.63
2024-01-03 06:30:00,8.535,49.52
2024-01-03 07:00:00,8.542,49.18
2024-01-03 07:30:00,8.448,48.88
2024-01-03 08:00:00,8.474,48.96
2024-01-03 08:30:00,8.503,49.23
2024-01-03 09:00:00,8.524,49.41
2024-01-03 09:30:00,8.511,49.55
2024-01-03 10:00:00,8.508,49.61
2024-01-03 10:30:00,8.461,49.75
2024-01-03 11:00:00,8.256,49.2
2024-01-03 11:30:00,8.135,47.52
2024-01-03 12:00:00,7.308,41.38
2024-01-03 12:30:00,7.658,42.54
2024-01-03 13:00:00,7.555,42.36
2024-01-03 13:30:00,7.588,42.66
