timestamp,BNSOL/USDT_2025_15T,SOL/USDT_2025_15T
2025-01-01 00:00:00,195.0,190.51
2025-01-01 00:15:00,195.3,190.72
2025-01-01 00:30:00,195.8,191.28
2025-01-01 00:45:00,197.0,192.54
2025-01-01 01:00:00,196.2,191.66
2025-01-01 01:15:00,195.7,191.17
2025-01-01 01:30:00,195.8,191.21
2025-01-01 01:45:00,195.5,190.7
2025-01-01 02:00:00,195.5,191.24
2025-01-01 02:15:00,195.2,190.64
2025-01-01 02:30:00,195.8,191.31
2025-01-01 02:45:00,196.2,191.59
2025-01-01 03:00:00,195.8,191.15
2025-01-01 03:15:00,195.2,190.62
2025-01-01 03:30:00,194.8,190.53
2025-01-01 03:45:00,194.8,190.43
2025-01-01 04:00:00,194.5,190.11
2025-01-01 04:15:00,194.3,189.85
2025-01-01 04:30:00,193.9,189.75
2025-01-01 04:45:00,194.0,189.47
2025-01-01 05:00:00,194.6,190.11
2025-01-01 05:15:00,195.0,190.43
2025-01-01 05:30:00,194.6,190.38
2025-01-01 05:45:00,194.7,190.15
2025-01-01 06:00:00,194.1,189.64
2025-01-01 06:15:00,194.5,189.95
2025-01-01 06:30:00,194.7,190.17
2025-01-01 06:45:00,194.7,190.3
2025-01-01 07:00:00,194.5,189.91
2025-01-01 07:15:00,194.5,189.9
2025-01-01 07:30:00,194.7,190.22
2025-01-01 07:45:00,194.6,190.06
2025-01-01 08:00:00,195.0,190.6
2025-01-01 08:15:00,194.1,189.82
2025-01-01 08:30:00,194.6,189.92
2025-01-01 08:45:00,194.0,189.4
2025-01-01 09:00:00,193.2,188.94
2025-01-01 09:15:00,192.9,188.49
2025-01-01 09:30:00,193.0,188.49
2025-01-01 09:45:00,193.5,189.18
2025-01-01 10:00:00,194.1,189.74
2025-01-01 10:15:00,194.8,190.22
2025-01-01 10:30:00,195.0,190.7
2025-01-01 10:45:00,194.6,190.24
2025-01-01 11:00:00,195.0,190.55
2025-01-01 11:15:00,195.5,191.23
2025-01-01 11:30:00,196.0,191.68
2025-01-01 11:45:00,195.9,191.36
2025-01-01 12:00:00,195.3,190.82
2025-01-01 12:15:00,195.9,191.41
2025-01-01 12:30:00,195.8,191.22
2025-01-01 12:45:00,195.6,190.95
2025-01-01 13:00:00,194.6,190.25
2025-01-01 13:15:00,194.3,189.69
2025-01-01 13:30:00,194.5,189.96
