Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
2024-01-01 00:00:00,7.222,7.317,7.211,7.313,107678.07,2024-01-01 00:59:59.999,783652.87199,3758,59925.33,436153.89287,0
2024-01-01 01:00:00,7.309,7.362,7.291,7.352,44027.3,2024-01-01 01:59:59.999,322949.14944,1868,15806.99,115993.20975,0
2024-01-01 02:00:00,7.354,7.355,7.293,7.307,57701.34,2024-01-01 02:59:59.999,422258.556,1973,26955.48,197217.08979,0
2024-01-01 03:00:00,7.309,7.309,7.196,7.218,63797.24,2024-01-01 03:59:59.999,462155.96826,2766,29066.0,210441.4104,0
2024-01-01 04:00:00,7.215,7.235,7.139,7.226,73984.24,2024-01-01 04:59:59.999,531461.08789,3001,34822.19,250284.04361,0
2024-01-01 05:00:00,7.228,7.259,7.191,7.198,43880.31,2024-01-01 05:59:59.999,316934.67833,1807,15466.37,111686.72994,0
2024-01-01 06:00:00,7.2,7.293,7.19,7.262,29212.09,2024-01-01 06:59:59.999,211526.99825,1500,16849.37,122028.25141,0
2024-01-01 07:00:00,7.262,7.306,7.251,7.298,33960.45,2024-01-01 07:59:59.999,247031.49289,1143,17460.48,126943.45231,0
2024-01-01 08:00:00,7.301,7.32,7.25,7.292,38402.98,2024-01-01 08:59:59.999,279797.68433,1448,17707.53,128982.1347,0
2024-01-01 09:00:00,7.289,7.322,7.273,7.305,28864.03,2024-01-01 09:59:59.999,210607.27983,1360,14546.12,106147.61038,0
2024-01-01 10:00:00,7.306,7.32,7.282,7.314,38006.26,2024-01-01 10:59:59.999,277651.8716,1437,14865.26,108603.11386,0
2024-01-01 11:00:00,7.315,7.348,7.297,7.32,50875.47,2024-01-01 11:59:59.999,372248.37477,1793,24268.9,177561.13649,0
2024-01-01 12:00:00,7.318,7.341,7.295,7.296,39049.63,2024-01-01 12:59:59.999,285792.83733,1377,17348.74,126973.81737,0
2024-01-01 13:00:00,7.3,7.352,7.275,7.344,93492.62,2024-01-01 13:59:59.999,684702.3573,2090,53553.52,392365.27971,0
2024-01-01 14:00:00,7.345,7.361,7.292,7.337,147046.57,2024-01-01 14:59:59.999,1078516.04227,2806,83397.0,611626.40257,0
2024-01-01 15:00:00,7.336,7.525,7.324,7.491,289965.97,2024-01-01 15:59:59.999,2157686.36738,7278,165170.49,1227135.61182,0
2024-01-01 16:00:00,7.49,7.54,7.436,7.451,139361.76,2024-01-01 16:59:59.999,1043331.89612,3125,47919.6,359128.02762,0
2024-01-01 17:00:00,7.451,7.495,7.439,7.494,70739.1,2024-01-01 17:59:59.999,527988.72449,1493,45165.66,337061.29311,0
2024-01-01 18:00:00,7.496,7.54,7.493,7.539,56879.24,2024-01-01 18:59:59.999,427785.1682,1752,32720.14,246114.67844,0
2024-01-01 19:00:00,7.54,7.617,7.524,7.61,74220.99,2024-01-01 19:59:59.999,562343.76692,2835,43867.97,332393.73419,0
2024-01-01 20:00:00,7.611,7.644,7.544,7.565,235569.05,2024-01-01 20:59:59.999,1789106.21006,4911,91451.36,694236.26826,0
2024-01-01 21:00:00,7.563,7.574,7.539,7.548,53339.85,2024-01-01 21:59:59.999,402835.78835,1509,25791.46,194792.38837,0
2024-01-01 22:00:00,7.548,7.573,7.514,7.569,46920.3,2024-01-01 22:59:59.999,353993.56246,1370,23803.56,179668.06579,0
2024-01-01 23:00:00,7.569,7.627,7.559,7.6,88851.77,2024-01-01 23:59:59.999,675102.68242,2237,47411.3,360253.22988,0
2024-01-02 00:00:00,7.603,7.668,7.559,7.657,169771.92,2024-01-02 00:59:59.999,1294396.13543,5107,91770.57,699869.20385,0
2024-01-02 01:00:00,7.657,7.685,7.618,7.637,76307.54,2024-01-02 01:59:59.999,584202.98596,3266,34507.16,264129.74081,0
2024-01-02 02:00:00,7.636,7.723,7.618,7.649,229551.21,2024-01-02 02:59:59.999,1760163.88238,6334,112976.15,866085.68752,0
2024-01-02 03:00:00,7.65,7.654,7.6,7.638,42550.77,2024-01-02 03:59:59.999,324630.10714,1738,24668.76,188183.30525,0
2024-01-02 04:00:00,7.638,7.705,7.624,7.703,67885.43,2024-01-02 04:59:59.999,521204.62949,2380,39755.8,305232.6932,0
2024-01-02 05:00:00,7.702,7.703,7.598,7.617,63685.25,2024-01-02 05:59:59.999,486941.84921,2388,21350.74,163144.02096,0
