timestamp,SANDUSDT_2024_5m,MANAUSDT_2024_5m,AXSUSDT_2024_5m
2024-07-01 00:00:00,0.3304,0.3387,6.045
2024-07-01 00:05:00,0.3304,0.3387,6.04
2024-07-01 00:10:00,0.331,0.3392,6.058
2024-07-01 00:15:00,0.3311,0.3389,6.065
2024-07-01 00:20:00,0.3313,0.3391,6.067
2024-07-01 00:25:00,0.3307,0.3385,6.054
2024-07-01 00:30:00,0.3313,0.3389,6.06
2024-07-01 00:35:00,0.331,0.3382,6.054
2024-07-01 00:40:00,0.3311,0.3383,6.061
2024-07-01 00:45:00,0.3308,0.3382,6.05
2024-07-01 00:50:00,0.331,0.3382,6.053
2024-07-01 00:55:00,0.331,0.3379,6.044
2024-07-01 01:00:00,0.3306,0.3376,6.035
2024-07-01 01:05:00,0.3321,0.3391,6.062
2024-07-01 01:10:00,0.3342,0.3415,6.107
2024-07-01 01:15:00,0.335,0.3426,6.107
2024-07-01 01:20:00,0.3351,0.3428,6.13
2024-07-01 01:25:00,0.3355,0.3435,6.138
2024-07-01 01:30:00,0.3358,0.3439,6.185
2024-07-01 01:35:00,0.3361,0.3437,6.206
2024-07-01 01:40:00,0.3358,0.344,6.242
2024-07-01 01:45:00,0.3355,0.3443,6.19
2024-07-01 01:50:00,0.3358,0.3446,6.195
2024-07-01 01:55:00,0.3356,0.3447,6.183
2024-07-01 02:00:00,0.3354,0.3442,6.182
2024-07-01 02:05:00,0.3357,0.3446,6.184
2024-07-01 02:10:00,0.3353,0.3448,6.19
2024-07-01 02:15:00,0.336,0.3452,6.193
2024-07-01 02:20:00,0.336,0.3449,6.173
2024-07-01 02:25:00,0.3361,0.3451,6.176
2024-07-01 02:30:00,0.335,0.3442,6.158
2024-07-01 02:35:00,0.3354,0.3449,6.163
2024-07-01 02:40:00,0.3356,0.3449,6.163
2024-07-01 02:45:00,0.3362,0.3454,6.16
2024-07-01 02:50:00,0.3358,0.3451,6.153
2024-07-01 02:55:00,0.3357,0.345,6.151
2024-07-01 03:00:00,0.3357,0.3448,6.153
2024-07-01 03:05:00,0.3358,0.3446,6.159
2024-07-01 03:10:00,0.3356,0.344,6.156
2024-07-01 03:15:00,0.3356,0.3441,6.151
2024-07-01 03:20:00,0.3353,0.3435,6.138
2024-07-01 03:25:00,0.3354,0.3433,6.136
2024-07-01 03:30:00,0.3352,0.3433,6.136
2024-07-01 03:35:00,0.335,0.3429,6.132
2024-07-01 03:40:00,0.3351,0.3428,6.139
2024-07-01 03:45:00,0.3357,0.3435,6.139
2024-07-01 03:50:00,0.3354,0.3431,6.135
2024-07-01 03:55:00,0.3353,0.3428,6.13
2024-07-01 04:00:00,0.3349,0.3425,6.13
2024-07-01 04:05:00,0.3355,0.3428,6.139
2024-07-01 04:10:00,0.3357,0.3429,6.14
2024-07-01 04:15:00,0.3354,0.3428,6.148
2024-07-01 04:20:00,0.3352,0.3425,6.135
2024-07-01 04:25:00,0.3351,0.3422,6.133
2024-07-01 04:30:00,0.3347,0.3418,6.132
