timestamp,ETH/USDT_2024_15T,ETC/USDT_2024_15T
2024-01-01 00:00:00,2296.71,22.11
2024-01-01 00:15:00,2291.05,21.91
2024-01-01 00:30:00,2293.22,21.91
2024-01-01 00:45:00,2295.51,21.93
2024-01-01 01:00:00,2296.59,21.97
2024-01-01 01:15:00,2299.11,22.03
2024-01-01 01:30:00,2303.27,22.1
2024-01-01 01:45:00,2303.72,22.11
2024-01-01 02:00:00,2299.02,22.07
2024-01-01 02:15:00,2296.74,22.03
2024-01-01 02:30:00,2294.54,22.03
2024-01-01 02:45:00,2293.02,21.94
2024-01-01 03:00:00,2289.04,21.87
2024-01-01 03:15:00,2282.37,21.81
2024-01-01 03:30:00,2276.29,21.74
2024-01-01 03:45:00,2273.81,21.76
2024-01-01 04:00:00,2274.08,21.72
2024-01-01 04:15:00,2271.62,21.65
2024-01-01 04:30:00,2274.41,21.62
2024-01-01 04:45:00,2279.55,21.65
2024-01-01 05:00:00,2283.19,21.73
2024-01-01 05:15:00,2278.55,21.64
2024-01-01 05:30:00,2279.3,21.62
2024-01-01 05:45:00,2275.89,21.53
2024-01-01 06:00:00,2274.99,21.58
2024-01-01 06:15:00,2276.14,21.65
2024-01-01 06:30:00,2280.97,21.69
2024-01-01 06:45:00,2281.9,21.71
2024-01-01 07:00:00,2284.19,21.79
2024-01-01 07:15:00,2285.9,21.96
2024-01-01 07:30:00,2283.61,21.89
2024-01-01 07:45:00,2284.67,21.96
2024-01-01 08:00:00,2284.8,21.97
2024-01-01 08:15:00,2283.01,21.91
2024-01-01 08:30:00,2281.38,21.94
2024-01-01 08:45:00,2287.01,22.04
2024-01-01 09:00:00,2289.82,22.04
2024-01-01 09:15:00,2289.6,21.99
2024-01-01 09:30:00,2296.76,22.02
2024-01-01 09:45:00,2299.8,22.03
2024-01-01 10:00:00,2300.4,22.01
2024-01-01 10:15:00,2299.34,21.99
2024-01-01 10:30:00,2300.93,22.0
2024-01-01 10:45:00,2302.04,22.02
2024-01-01 11:00:00,2303.11,22.02
2024-01-01 11:15:00,2302.2,21.95
2024-01-01 11:30:00,2299.6,21.91
2024-01-01 11:45:00,2304.47,21.96
2024-01-01 12:00:00,2300.94,21.91
2024-01-01 12:15:00,2303.31,21.93
2024-01-01 12:30:00,2306.27,21.98
2024-01-01 12:45:00,2299.43,21.92
2024-01-01 13:00:00,2303.26,21.97
2024-01-01 13:15:00,2306.34,22.0
2024-01-01 13:30:00,2307.49,22.0
2024-01-01 13:45:00,2304.16,21.99
