timestamp,ETC/USDT_2024_30T,ETH/USDT_2024_30T
2024-01-01 00:00:00,21.91,2291.05
2024-01-01 00:30:00,21.93,2295.51
2024-01-01 01:00:00,22.03,2299.11
2024-01-01 01:30:00,22.11,2303.72
2024-01-01 02:00:00,22.03,2296.74
2024-01-01 02:30:00,21.94,2293.02
2024-01-01 03:00:00,21.81,2282.37
2024-01-01 03:30:00,21.76,2273.81
2024-01-01 04:00:00,21.65,2271.62
2024-01-01 04:30:00,21.65,2279.55
2024-01-01 05:00:00,21.64,2278.55
2024-01-01 05:30:00,21.53,2275.89
2024-01-01 06:00:00,21.65,2276.14
2024-01-01 06:30:00,21.71,2281.9
2024-01-01 07:00:00,21.96,2285.9
2024-01-01 07:30:00,21.96,2284.67
2024-01-01 08:00:00,21.91,2283.01
2024-01-01 08:30:00,22.04,2287.01
2024-01-01 09:00:00,21.99,2289.6
2024-01-01 09:30:00,22.03,2299.8
2024-01-01 10:00:00,21.99,2299.34
2024-01-01 10:30:00,22.02,2302.04
2024-01-01 11:00:00,21.95,2302.2
2024-01-01 11:30:00,21.96,2304.47
2024-01-01 12:00:00,21.93,2303.31
2024-01-01 12:30:00,21.92,2299.43
2024-01-01 13:00:00,22.0,2306.34
2024-01-01 13:30:00,21.99,2304.16
2024-01-01 14:00:00,21.9,2299.83
2024-01-01 14:30:00,21.89,2300.99
2024-01-01 15:00:00,22.0,2306.19
2024-01-01 15:30:00,22.11,2314.7
2024-01-01 16:00:00,22.07,2310.76
2024-01-01 16:30:00,22.1,2309.89
2024-01-01 17:00:00,22.17,2314.61
2024-01-01 17:30:00,22.21,2313.76
2024-01-01 18:00:00,22.35,2329.19
2024-01-01 18:30:00,22.32,2326.9
2024-01-01 19:00:00,22.38,2329.04
2024-01-01 19:30:00,22.47,2337.26
2024-01-01 20:00:00,22.43,2342.72
2024-01-01 20:30:00,22.4,2340.98
2024-01-01 21:00:00,22.33,2338.1
2024-01-01 21:30:00,22.37,2337.83
2024-01-01 22:00:00,22.3,2330.25
2024-01-01 22:30:00,22.3,2334.21
2024-01-01 23:00:00,22.46,2347.0
2024-01-01 23:30:00,22.5,2352.04
2024-01-02 00:00:00,22.7,2370.0
2024-01-02 00:30:00,22.85,2387.58
2024-01-02 01:00:00,22.76,2388.03
2024-01-02 01:30:00,22.7,2378.08
2024-01-02 02:00:00,22.67,2380.32
2024-01-02 02:30:00,22.76,2382.95
2024-01-02 03:00:00,22.72,2376.84
2024-01-02 03:30:00,22.76,2386.43
2024-01-02 04:00:00,22.77,2383.23
2024-01-02 04:30:00,22.77,2387.66
2024-01-02 05:00:00,22.73,2389.04
2024-01-02 05:30:00,22.7,2377.48
2024-01-02 06:00:00,22.71,2381.44
2024-01-02 06:30:00,22.64,2373.86
2024-01-02 07:00:00,22.73,2381.44
2024-01-02 07:30:00,22.75,2385.84
2024-01-02 08:00:00,22.93,2418.61
2024-01-02 08:30:00,22.96,2426.49
2024-01-02 09:00:00,22.99,2422.95
2024-01-02 09:30:00,22.87,2413.77
2024-01-02 10:00:00,22.75,2407.27
2024-01-02 10:30:00,22.73,2398.14
2024-01-02 11:00:00,22.75,2397.44
2024-01-02 11:30:00,22.64,2391.24
2024-01-02 12:00:00,22.66,2399.88
2024-01-02 12:30:00,22.52,2386.85
2024-01-02 13:00:00,22.6,2395.1
2024-01-02 13:30:00,22.6,2398.0
2024-01-02 14:00:00,22.52,2391.9
2024-01-02 14:30:00,22.3,2367.28
2024-01-02 15:00:00,22.15,2358.72
2024-01-02 15:30:00,22.2,2357.48
2024-01-02 16:00:00,22.2,2360.74
2024-01-02 16:30:00,22.22,2367.91
2024-01-02 17:00:00,22.16,2362.11
