timestamp,BCH/USDT_2024_5m,BTC/USDT_2024_5m
2024-01-01 00:00:00,259.9,42397.23
2024-01-01 00:05:00,259.9,42409.96
2024-01-01 00:10:00,259.6,42488.0
2024-01-01 00:15:00,259.6,42458.85
2024-01-01 00:20:00,259.9,42473.93
2024-01-01 00:25:00,258.6,42419.73
2024-01-01 00:30:00,258.2,42362.93
2024-01-01 00:35:00,258.8,42447.82
2024-01-01 00:40:00,259.3,42441.32
2024-01-01 00:45:00,259.5,42422.46
2024-01-01 00:50:00,259.6,42459.55
2024-01-01 00:55:00,259.9,42475.23
2024-01-01 01:00:00,258.8,42435.53
2024-01-01 01:05:00,258.9,42436.8
2024-01-01 01:10:00,259.1,42466.33
2024-01-01 01:15:00,258.7,42493.61
2024-01-01 01:20:00,258.0,42478.07
2024-01-01 01:25:00,258.8,42493.16
2024-01-01 01:30:00,259.6,42565.22
2024-01-01 01:35:00,259.8,42717.52
2024-01-01 01:40:00,260.9,42697.5
2024-01-01 01:45:00,260.7,42698.01
2024-01-01 01:50:00,260.5,42664.45
2024-01-01 01:55:00,260.6,42613.56
2024-01-01 02:00:00,260.1,42563.79
2024-01-01 02:05:00,260.7,42548.93
2024-01-01 02:10:00,261.2,42556.63
2024-01-01 02:15:00,260.9,42535.99
2024-01-01 02:20:00,261.1,42546.0
2024-01-01 02:25:00,261.2,42546.01
2024-01-01 02:30:00,262.4,42606.25
2024-01-01 02:35:00,261.9,42572.34
2024-01-01 02:40:00,260.9,42535.75
2024-01-01 02:45:00,260.0,42511.47
2024-01-01 02:50:00,260.0,42566.22
2024-01-01 02:55:00,260.0,42581.1
2024-01-01 03:00:00,259.9,42552.3
2024-01-01 03:05:00,259.5,42538.61
2024-01-01 03:10:00,259.5,42508.24
2024-01-01 03:15:00,258.5,42466.0
2024-01-01 03:20:00,258.7,42439.87
2024-01-01 03:25:00,258.0,42429.47
2024-01-01 03:30:00,259.1,42412.89
2024-01-01 03:35:00,258.9,42388.06
2024-01-01 03:40:00,257.7,42302.19
2024-01-01 03:45:00,258.5,42345.55
2024-01-01 03:50:00,257.7,42316.96
2024-01-01 03:55:00,258.3,42330.49
2024-01-01 04:00:00,258.8,42358.97
2024-01-01 04:05:00,258.8,42355.01
2024-01-01 04:10:00,257.9,42287.5
2024-01-01 04:15:00,256.9,42269.57
2024-01-01 04:20:00,257.4,42315.0
2024-01-01 04:25:00,257.5,42307.39
2024-01-01 04:30:00,257.6,42320.28
2024-01-01 04:35:00,257.6,42339.55
2024-01-01 04:40:00,257.1,42310.98
2024-01-01 04:45:00,257.4,42357.04
2024-01-01 04:50:00,257.4,42366.79
2024-01-01 04:55:00,257.2,42399.99
2024-01-01 05:00:00,257.1,42320.92
2024-01-01 05:05:00,257.8,42339.99
2024-01-01 05:10:00,258.9,42352.0
2024-01-01 05:15:00,258.5,42356.0
2024-01-01 05:20:00,258.4,42338.33
2024-01-01 05:25:00,258.2,42297.91
2024-01-01 05:30:00,257.7,42312.73
2024-01-01 05:35:00,257.5,42280.0
2024-01-01 05:40:00,257.4,42300.02
2024-01-01 05:45:00,256.4,42237.98
2024-01-01 05:50:00,256.2,42227.97
