Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
2024-01-01 00:00:00,2281.87,2297.18,2281.27,2295.51,10771.9183,2024-01-01 00:59:59.999,24687569.068814,24867,5841.5906,13386144.431929,0
2024-01-01 01:00:00,2295.52,2306.6,2292.9,2303.72,8413.426,2024-01-01 01:59:59.999,19362274.430967,20299,4784.8151,11010598.513433,0
2024-01-01 02:00:00,2303.72,2304.72,2291.2,2293.02,5808.2533,2024-01-01 02:59:59.999,13343416.033759,16125,2681.1298,6158898.710627,0
2024-01-01 03:00:00,2293.03,2294.5,2271.0,2273.81,10745.736,2024-01-01 03:59:59.999,24519619.346355,25873,4513.5319,10292961.097999,0
2024-01-01 04:00:00,2273.8,2279.86,2265.24,2279.55,9681.5762,2024-01-01 04:59:59.999,22012912.481689,26019,4588.698,10435044.373631,0
2024-01-01 05:00:00,2279.54,2283.36,2272.62,2275.89,6705.1165,2024-01-01 05:59:59.999,15280361.405577,18317,3817.4099,8700957.410098,0
2024-01-01 06:00:00,2275.89,2283.31,2274.16,2281.9,6056.6319,2024-01-01 06:59:59.999,13797870.477719,15739,2992.7818,6818092.27896,0
2024-01-01 07:00:00,2281.9,2287.88,2281.51,2284.67,5664.1887,2024-01-01 07:59:59.999,12940600.353967,15377,3130.8104,7152583.40058,0
2024-01-01 08:00:00,2284.68,2287.38,2280.0,2287.01,5571.1935,2024-01-01 08:59:59.999,12722726.746587,15895,2533.7188,5786936.385749,0
2024-01-01 09:00:00,2287.01,2300.0,2287.0,2299.8,8083.262,2024-01-01 09:59:59.999,18538201.694726,22171,4591.8667,10530381.621344,0
2024-01-01 10:00:00,2299.8,2303.0,2297.4,2302.04,8188.7741,2024-01-01 10:59:59.999,18837698.667759,19031,4246.2259,9767749.587938,0
2024-01-01 11:00:00,2302.04,2305.05,2299.0,2304.47,6050.8796,2024-01-01 11:59:59.999,13930035.665857,16550,2849.5142,6560252.506474,0
2024-01-01 12:00:00,2304.47,2307.24,2299.04,2299.43,7257.2379,2024-01-01 12:59:59.999,16714387.368878,18997,3493.2274,8046145.740396,0
2024-01-01 13:00:00,2299.42,2308.2,2298.07,2304.16,5288.8224,2024-01-01 13:59:59.999,12187056.128404,17034,2732.4532,6297226.818808,0
2024-01-01 14:00:00,2304.16,2305.11,2294.84,2300.99,7316.2575,2024-01-01 14:59:59.999,16829519.028893,21564,3366.3094,7743561.362712,0
2024-01-01 15:00:00,2300.99,2318.34,2299.2,2314.7,12303.5344,2024-01-01 15:59:59.999,28415498.715988,29378,7078.2994,16347126.026759,0
2024-01-01 16:00:00,2314.69,2319.55,2306.53,2309.89,11755.1864,2024-01-01 16:59:59.999,27186426.410317,28181,5635.8493,13034471.025291,0
2024-01-01 17:00:00,2309.89,2317.09,2306.48,2313.76,8560.8241,2024-01-01 17:59:59.999,19798995.048754,20113,4454.79,10301840.845899,0
2024-01-01 18:00:00,2313.77,2331.77,2313.76,2326.9,15349.3543,2024-01-01 18:59:59.999,35700904.19573,34794,8728.1471,20295987.120089,0
2024-01-01 19:00:00,2326.9,2340.98,2322.0,2337.26,11136.8878,2024-01-01 19:59:59.999,25965660.959658,28688,5996.7472,13982839.200677,0
2024-01-01 20:00:00,2337.27,2348.78,2335.25,2340.98,17493.0377,2024-01-01 20:59:59.999,40981127.125948,33627,8861.0306,20756885.265747,0
2024-01-01 21:00:00,2340.98,2346.55,2332.2,2337.83,10238.9674,2024-01-01 21:59:59.999,23955712.674923,21162,5181.3717,12123770.586132,0
2024-01-01 22:00:00,2337.83,2339.1,2323.66,2334.21,6444.2583,2024-01-01 22:59:59.999,15025206.377175,17545,2961.4453,6905251.846208,0
2024-01-01 23:00:00,2334.22,2352.37,2334.17,2352.04,11817.3671,2024-01-01 23:59:59.999,27717439.204362,29324,7312.6733,17152869.242765,0
2024-01-02 00:00:00,2352.05,2391.43,2346.95,2387.58,40687.4646,2024-01-02 00:59:59.999,96461701.284948,87296,21583.945,51166230.325744,0
2024-01-02 01:00:00,2387.59,2397.56,2370.38,2378.08,29424.4237,2024-01-02 01:59:59.999,70155558.197734,60378,13150.5705,31354012.570312,0
2024-01-02 02:00:00,2378.09,2382.96,2373.65,2382.95,13292.5147,2024-01-02 02:59:59.999,31623459.162026,27684,5972.498,14208526.531355,0
2024-01-02 03:00:00,2382.96,2388.61,2371.47,2386.43,16262.0974,2024-01-02 03:59:59.999,38697436.105067,34356,7971.9437,18973023.930587,0
2024-01-02 04:00:00,2386.42,2390.44,2378.58,2387.66,12124.3336,2024-01-02 04:59:59.999,28902517.921705,27941,6049.0823,14420294.44576,0
2024-01-02 05:00:00,2387.66,2392.4,2377.18,2377.48,14852.3142,2024-01-02 05:59:59.999,35433612.796449,27168,7926.4267,18909256.741538,0
2024-01-02 06:00:00,2377.47,2383.68,2373.86,2373.86,10223.5551,2024-01-02 06:59:59.999,24317745.724628,23255,4274.0657,10165931.086205,0
