Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
2024-01-01 00:00:00,13.296,13.856,13.065,13.853,642126.12,2024-01-01 00:59:59.999,8661502.37959,50128,327825.65,4426235.0744,0
2024-01-01 01:00:00,13.854,13.871,13.5,13.693,304207.64,2024-01-01 01:59:59.999,4149166.56951,21119,138527.42,1888682.94064,0
2024-01-01 02:00:00,13.689,13.857,13.34,13.476,312268.65,2024-01-01 02:59:59.999,4242377.94232,19158,141613.73,1926057.21066,0
2024-01-01 03:00:00,13.48,13.612,13.1,13.313,351290.82,2024-01-01 03:59:59.999,4680791.30894,20952,150049.53,2001960.29989,0
2024-01-01 04:00:00,13.31,13.417,12.65,12.917,602303.41,2024-01-01 04:59:59.999,7811606.34916,37465,287450.99,3733694.87043,0
2024-01-01 05:00:00,12.915,13.2,12.759,13.179,505514.29,2024-01-01 05:59:59.999,6553746.70294,26202,225030.44,2922590.91851,0
2024-01-01 06:00:00,13.185,13.375,13.126,13.245,296756.89,2024-01-01 06:59:59.999,3930628.88094,17357,166738.34,2209947.3151,0
2024-01-01 07:00:00,13.243,13.561,13.242,13.477,495454.88,2024-01-01 07:59:59.999,6640644.19382,24530,275965.21,3698002.61145,0
2024-01-01 08:00:00,13.477,13.616,13.364,13.45,259329.12,2024-01-01 08:59:59.999,3500462.74962,16568,128882.19,1740398.52964,0
2024-01-01 09:00:00,13.46,13.738,13.301,13.733,329540.02,2024-01-01 09:59:59.999,4446413.9109,20245,161758.68,2183616.91337,0
2024-01-01 10:00:00,13.733,13.747,13.41,13.522,221281.23,2024-01-01 10:59:59.999,3006903.13825,16149,107687.66,1463504.2244,0
2024-01-01 11:00:00,13.523,14.078,13.347,13.915,456103.37,2024-01-01 11:59:59.999,6235047.46337,26758,241224.08,3300736.50192,0
2024-01-01 12:00:00,13.915,13.917,13.39,13.397,384364.26,2024-01-01 12:59:59.999,5236874.3373,26259,166776.5,2273416.68307,0
2024-01-01 13:00:00,13.397,13.457,13.25,13.306,340693.02,2024-01-01 13:59:59.999,4550249.47264,19628,169214.48,2259951.2502,0
2024-01-01 14:00:00,13.303,13.879,13.243,13.772,490114.72,2024-01-01 14:59:59.999,6703771.36819,32034,249506.69,3407708.77373,0
