timestamp,SUI/USDT_2024_1h,NEAR/USDT_2024_1h,ICP/USDT_2024_1h,TRX/USDT_2024_1h,BNB/USDT_2024_1h,BTC/USDT_2024_1h,AVAX/USDT_2024_1h,ETH/USDT_2024_1h,SOL/USDT_2024_1h,ADA/USDT_2024_1h
2024-01-01 00:00:00,0.7816,3.77,13.853,0.10832,314.4,42475.23,38.94,2295.51,101.96,0.5979
2024-01-01 01:00:00,0.7862,3.754,13.693,0.1082,315.3,42613.56,39.39,2303.72,104.12,0.6023
2024-01-01 02:00:00,0.7816,3.719,13.476,0.10781,310.9,42581.1,39.04,2293.02,103.69,0.5995
2024-01-01 03:00:00,0.7702,3.659,13.313,0.10711,309.2,42330.49,38.51,2273.81,103.07,0.5956
2024-01-01 04:00:00,0.7634,3.622,12.917,0.10654,309.2,42399.99,38.21,2279.55,102.62,0.5953
2024-01-01 05:00:00,0.7585,3.592,13.179,0.10628,308.7,42234.01,38.11,2275.89,101.64,0.5921
2024-01-01 06:00:00,0.7698,3.608,13.245,0.10662,309.7,42396.69,38.33,2281.9,102.34,0.5977
2024-01-01 07:00:00,0.7703,3.604,13.477,0.10698,310.6,42492.46,38.53,2284.67,102.51,0.5991
2024-01-01 08:00:00,0.7755,3.6,13.45,0.10719,311.3,42549.99,38.77,2287.01,102.48,0.5994
2024-01-01 09:00:00,0.7764,3.638,13.733,0.10702,312.3,42649.69,39.63,2299.8,104.03,0.6015
2024-01-01 10:00:00,0.7828,3.61,13.522,0.10695,309.8,42691.1,39.52,2302.04,104.14,0.6024
2024-01-01 11:00:00,0.7844,3.602,13.915,0.10694,309.5,42690.2,39.52,2304.47,104.32,0.6031
2024-01-01 12:00:00,0.7815,3.612,13.397,0.10691,309.4,42648.38,39.67,2299.43,104.76,0.6047
2024-01-01 13:00:00,0.7825,3.633,13.306,0.10709,310.8,42715.54,39.58,2304.16,105.31,0.6037
2024-01-01 14:00:00,0.7815,3.598,13.772,0.1069,309.9,42612.24,39.53,2300.99,104.39,0.6018
2024-01-01 15:00:00,0.8047,3.63,13.329,0.1072,312.5,42783.05,40.15,2314.7,105.98,0.6059
2024-01-01 16:00:00,0.8186,3.656,13.055,0.10688,311.5,42725.15,39.99,2309.89,106.64,0.6034
2024-01-01 17:00:00,0.8263,3.673,13.073,0.10704,312.5,42812.7,40.06,2313.76,107.09,0.6058
2024-01-01 18:00:00,0.8263,3.793,12.922,0.10729,311.4,43111.1,40.5,2326.9,107.88,0.6097
2024-01-01 19:00:00,0.838,3.808,13.127,0.10755,311.8,43517.99,41.05,2337.26,108.81,0.6185
2024-01-01 20:00:00,0.8416,3.806,12.956,0.10767,312.4,43687.86,41.19,2340.98,107.88,0.6193
2024-01-01 21:00:00,0.8424,3.797,13.048,0.10753,312.2,43619.21,41.18,2337.83,108.04,0.6175
2024-01-01 22:00:00,0.8424,3.774,13.02,0.10758,313.6,43529.93,41.3,2334.21,108.09,0.619
2024-01-01 23:00:00,0.8438,3.794,12.936,0.10772,313.5,44179.55,41.94,2352.04,109.91,0.6232
2024-01-02 00:00:00,0.8417,3.855,12.986,0.10812,317.8,45056.0,42.49,2387.58,110.54,0.6336
2024-01-02 01:00:00,0.8669,3.875,13.221,0.10817,317.5,44855.96,42.14,2378.08,111.05,0.6278
2024-01-02 02:00:00,0.8692,3.905,13.101,0.10816,318.1,45378.96,42.1,2382.95,111.92,0.6321
2024-01-02 03:00:00,0.8773,3.916,12.983,0.10827,319.2,45402.38,42.08,2386.43,111.41,0.6302
2024-01-02 04:00:00,0.911,3.96,13.115,0.10833,318.9,45179.8,42.4,2387.66,112.46,0.6276
2024-01-02 05:00:00,0.8852,3.958,13.408,0.10847,317.6,45179.48,42.76,2377.48,112.61,0.6261
2024-01-02 06:00:00,0.8939,4.012,13.364,0.10842,317.0,45168.75,42.33,2373.86,112.64,0.6218
2024-01-02 07:00:00,0.8891,4.164,13.398,0.10864,317.4,45455.53,43.21,2385.84,114.47,0.6272
2024-01-02 08:00:00,0.9004,4.161,13.505,0.1095,319.6,45759.3,43.13,2426.49,114.49,0.6324
2024-01-02 09:00:00,0.9042,4.271,13.457,0.10984,319.2,45673.48,43.23,2413.77,115.87,0.6314
2024-01-02 10:00:00,0.8928,4.251,13.798,0.11028,318.8,45584.99,42.87,2398.14,115.29,0.6281
2024-01-02 11:00:00,0.8726,4.154,13.595,0.11012,319.8,45433.99,42.28,2391.24,113.86,0.626
2024-01-02 12:00:00,0.8685,4.076,13.422,0.10989,318.0,45301.99,41.75,2386.85,112.94,0.6221
2024-01-02 13:00:00,0.8726,4.128,13.382,0.10962,318.2,45637.93,41.77,2398.0,113.32,0.6251
2024-01-02 14:00:00,0.8536,3.963,13.118,0.10888,312.0,45258.73,40.9,2367.28,110.02,0.6132
2024-01-02 15:00:00,0.8559,3.906,13.213,0.10874,308.4,45184.82,41.15,2357.48,109.61,0.6138
2024-01-02 16:00:00,0.8703,3.961,13.967,0.10958,310.8,45357.84,41.36,2367.91,110.14,0.6178
2024-01-02 17:00:00,0.8628,3.904,14.209,0.10934,310.2,44966.15,41.07,2357.43,107.7,0.6136
2024-01-02 18:00:00,0.8759,3.912,14.92,0.10926,309.7,45154.69,40.94,2365.7,107.84,0.6146
2024-01-02 19:00:00,0.8967,3.894,14.545,0.1091,311.2,45039.49,40.78,2369.19,107.67,0.6146
2024-01-02 20:00:00,0.8881,3.874,14.162,0.10915,310.1,44788.28,40.44,2359.87,107.02,0.6065
2024-01-02 21:00:00,0.8988,3.935,14.569,0.1091,310.7,45119.74,40.71,2366.34,107.98,0.604
2024-01-02 22:00:00,0.9232,3.948,14.426,0.10898,311.9,44981.73,40.76,2359.03,107.98,0.608
2024-01-02 23:00:00,0.9062,3.923,13.967,0.10834,312.2,44946.91,40.61,2355.34,106.73,0.605
2024-01-03 00:00:00,0.9201,3.978,13.983,0.10853,312.9,45135.61,40.74,2361.39,107.31,0.6068
2024-01-03 01:00:00,0.9048,3.995,13.768,0.10882,313.5,45317.58,40.85,2373.08,108.15,0.611
2024-01-03 02:00:00,0.8909,3.976,14.056,0.10898,312.7,45274.57,40.58,2368.75,107.69,0.6089
2024-01-03 03:00:00,0.8877,3.929,14.497,0.10959,312.7,45262.69,40.73,2368.51,108.11,0.6091
2024-01-03 04:00:00,0.8885,3.97,15.762,0.10932,314.7,45183.45,40.69,2370.5,107.97,0.6125
2024-01-03 05:00:00,0.9038,4.066,15.888,0.10936,317.0,45172.13,40.8,2376.94,108.33,0.6145
2024-01-03 06:00:00,0.8982,4.0,15.554,0.10934,319.5,45326.93,41.05,2375.34,109.26,0.6145
2024-01-03 07:00:00,0.8839,3.957,15.373,0.10903,316.8,45011.77,40.68,2361.64,107.81,0.6095
2024-01-03 08:00:00,0.8903,4.033,15.289,0.10951,318.7,45200.0,40.95,2370.5,108.33,0.6137
2024-01-03 09:00:00,0.8872,4.037,15.214,0.10973,330.2,45344.67,41.13,2376.01,108.97,0.6164
2024-01-03 10:00:00,0.8818,3.987,15.31,0.10938,331.5,45151.91,40.99,2364.58,107.28,0.6142
2024-01-03 11:00:00,0.8518,3.818,14.903,0.10745,323.0,43702.88,39.32,2307.68,103.42,0.5954
2024-01-03 12:00:00,0.8046,3.665,14.63,0.10492,316.2,42789.38,37.73,2248.55,100.31,0.562
2024-01-03 13:00:00,0.809,3.475,13.963,0.10438,312.8,42529.4,36.85,2223.79,98.43,0.5571
2024-01-03 14:00:00,0.7896,3.439,13.954,0.10402,309.6,42179.99,36.02,2193.77,96.57,0.5455
2024-01-03 15:00:00,0.8292,3.613,14.004,0.10528,316.9,43000.01,37.14,2240.4,102.06,0.565
2024-01-03 16:00:00,0.8155,3.605,14.455,0.10516,319.4,42992.67,36.85,2231.4,99.6,0.566
2024-01-03 17:00:00,0.829,3.709,14.97,0.10478,318.0,42906.0,36.48,2223.3,97.75,0.5595
2024-01-03 18:00:00,0.8129,3.617,14.459,0.10443,312.7,42255.72,35.94,2198.23,96.84,0.5485
2024-01-03 19:00:00,0.833,3.623,14.9,0.10475,314.0,42596.67,36.22,2206.53,97.38,0.5546
2024-01-03 20:00:00,0.8354,3.818,15.373,0.10554,316.8,42721.02,37.14,2218.28,99.62,0.5609
2024-01-03 21:00:00,0.864,3.892,15.069,0.10624,318.4,42917.62,37.32,2226.03,100.26,0.5627
2024-01-03 22:00:00,0.8447,3.831,14.565,0.10619,316.6,42749.68,36.71,2205.39,98.81,0.5588
2024-01-03 23:00:00,0.8437,3.771,14.398,0.10675,315.8,42845.23,36.8,2209.72,98.52,0.5569
2024-01-04 00:00:00,0.8536,3.73,14.918,0.10732,313.7,42874.01,36.85,2210.64,100.11,0.5601
2024-01-04 01:00:00,0.8273,3.656,14.264,0.1071,311.5,42708.01,36.29,2205.92,98.37,0.5517
2024-01-04 02:00:00,0.8387,3.716,14.459,0.10753,315.2,43138.49,37.11,2231.59,100.9,0.5603
2024-01-04 03:00:00,0.8491,3.703,14.336,0.10777,317.2,43102.8,36.99,2231.08,101.1,0.56
2024-01-04 04:00:00,0.8685,3.685,14.369,0.10802,318.7,43149.99,37.02,2237.88,100.56,0.5628
2024-01-04 05:00:00,0.8553,3.697,14.381,0.10808,320.6,43183.74,36.99,2235.93,101.21,0.5623
2024-01-04 06:00:00,0.8432,3.661,14.494,0.1081,321.1,43155.46,37.17,2238.8,100.73,0.5622
2024-01-04 07:00:00,0.8249,3.615,14.377,0.10753,318.5,42763.08,36.59,2221.85,98.88,0.5557
2024-01-04 08:00:00,0.8268,3.634,13.931,0.10733,320.1,42849.66,36.61,2215.95,98.06,0.5577
2024-01-04 09:00:00,0.8247,3.693,13.777,0.10713,321.8,43007.74,36.75,2223.4,98.49,0.5626
2024-01-04 10:00:00,0.8135,3.649,13.749,0.10674,318.7,43073.26,36.68,2222.39,98.3,0.5666
2024-01-04 11:00:00,0.8213,3.69,14.012,0.10677,316.9,43176.32,37.03,2228.14,98.51,0.5579
2024-01-04 12:00:00,0.8207,3.724,14.116,0.10682,317.3,43378.12,37.36,2235.99,99.4,0.5624
2024-01-04 13:00:00,0.8211,3.721,14.266,0.10708,318.1,43346.68,37.19,2238.29,99.94,0.5625
2024-01-04 14:00:00,0.8452,3.835,14.415,0.10739,321.3,43676.07,37.95,2273.25,102.3,0.5696
2024-01-04 15:00:00,0.8523,3.927,14.76,0.10737,319.7,44051.1,39.3,2276.87,103.66,0.5746
2024-01-04 16:00:00,0.8377,3.849,14.386,0.10708,318.4,43915.71,38.76,2269.58,102.02,0.5685
2024-01-04 17:00:00,0.8452,3.853,14.347,0.10708,318.3,43990.01,38.82,2274.72,103.08,0.5708
2024-01-04 18:00:00,0.844,3.884,14.133,0.10715,320.1,44048.96,38.82,2273.76,103.67,0.5702
2024-01-04 19:00:00,0.8463,3.986,14.05,0.10686,318.2,43956.48,38.78,2274.27,105.16,0.572
2024-01-04 20:00:00,0.8498,3.942,14.12,0.10711,320.4,44113.68,38.73,2273.4,106.3,0.5723
2024-01-04 21:00:00,0.8541,3.948,14.042,0.10701,321.3,44430.86,38.62,2273.17,105.59,0.5711
2024-01-04 22:00:00,0.8489,3.919,14.034,0.10709,321.7,44318.0,38.56,2270.0,104.78,0.5704
