Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
2024-01-01 00:00:00,57.39,57.78,57.35,57.47,2220.747,2024-01-01 00:29:59.999,127879.41367,708,1045.439,60194.69578,0
2024-01-01 00:30:00,57.43,58.06,57.42,58.04,2203.383,2024-01-01 00:59:59.999,127424.48943,771,1284.766,74312.19726,0
2024-01-01 01:00:00,58.03,58.24,57.95,58.15,1400.779,2024-01-01 01:29:59.999,81367.71397,367,691.364,40147.04279,0
2024-01-01 01:30:00,58.11,58.49,58.06,58.37,2996.125,2024-01-01 01:59:59.999,174580.39162,719,1482.949,86421.25483,0
2024-01-01 02:00:00,58.38,58.46,58.2,58.27,1217.037,2024-01-01 02:29:59.999,70993.02221,279,724.482,42262.69879,0
2024-01-01 02:30:00,58.26,58.37,57.95,58.08,2704.759,2024-01-01 02:59:59.999,157068.03534,524,1354.913,78714.71737,0
2024-01-01 03:00:00,58.08,58.1,57.39,57.42,1583.653,2024-01-01 03:29:59.999,91374.79713,555,722.299,41660.27423,0
2024-01-01 03:30:00,57.43,57.58,57.11,57.24,3477.716,2024-01-01 03:59:59.999,199233.88996,783,1183.548,67834.07236,0
2024-01-01 04:00:00,57.2,57.33,56.56,56.97,2367.444,2024-01-01 04:29:59.999,134718.44526,874,915.56,52107.34169,0
2024-01-01 04:30:00,56.94,57.08,56.81,57.01,1660.794,2024-01-01 04:59:59.999,94567.89116,468,645.346,36754.36395,0
2024-01-01 05:00:00,56.99,57.22,56.85,57.06,810.29,2024-01-01 05:29:59.999,46259.05792,272,248.406,14183.46137,0
2024-01-01 05:30:00,57.05,57.59,57.03,57.24,2459.471,2024-01-01 05:59:59.999,140933.45187,810,1419.635,81349.39791,0
2024-01-01 06:00:00,57.27,57.55,57.1,57.3,2906.891,2024-01-01 06:29:59.999,166490.09059,517,1741.619,99695.67846,0
2024-01-01 06:30:00,57.26,57.76,57.26,57.72,1298.881,2024-01-01 06:59:59.999,74761.43563,500,665.907,38366.2433,0
2024-01-01 07:00:00,57.7,57.76,57.35,57.6,1829.599,2024-01-01 07:29:59.999,105373.84204,464,652.282,37557.53542,0
2024-01-01 07:30:00,57.62,57.94,57.54,57.9,1260.967,2024-01-01 07:59:59.999,72735.19851,372,563.514,32531.85202,0
2024-01-01 08:00:00,57.9,57.97,57.61,57.63,845.78,2024-01-01 08:29:59.999,48933.91765,267,632.826,36619.88692,0
2024-01-01 08:30:00,57.62,57.69,57.38,57.63,2146.827,2024-01-01 08:59:59.999,123375.97151,402,1169.957,67222.22016,0
2024-01-01 09:00:00,57.67,57.92,57.65,57.89,935.312,2024-01-01 09:29:59.999,54033.97541,290,632.38,36537.16747,0
2024-01-01 09:30:00,57.91,58.13,57.91,58.02,2607.928,2024-01-01 09:59:59.999,151386.183,762,1380.887,80160.83445,0
2024-01-01 10:00:00,58.04,58.25,58.0,58.03,1050.255,2024-01-01 10:29:59.999,61052.67334,446,426.216,24779.39607,0
2024-01-01 10:30:00,58.08,58.28,58.04,58.2,1355.382,2024-01-01 10:59:59.999,78846.15644,377,576.733,33561.95268,0
2024-01-01 11:00:00,58.21,58.38,58.17,58.27,897.086,2024-01-01 11:29:59.999,52281.9243,266,458.987,26748.1943,0
2024-01-01 11:30:00,58.27,58.51,58.19,58.49,739.013,2024-01-01 11:59:59.999,43117.54404,235,464.899,27139.60853,0
2024-01-01 12:00:00,58.49,58.58,58.17,58.21,1739.126,2024-01-01 12:29:59.999,101525.83605,434,977.218,57023.33203,0
2024-01-01 12:30:00,58.21,58.65,58.21,58.5,2036.142,2024-01-01 12:59:59.999,119062.22024,453,1314.691,76848.19412,0
2024-01-01 13:00:00,58.51,59.24,58.38,59.0,3469.611,2024-01-01 13:29:59.999,204274.41819,1130,2065.231,121635.75703,0
2024-01-01 13:30:00,59.01,60.25,58.98,60.05,7466.007,2024-01-01 13:59:59.999,444980.21103,2122,5201.942,309983.17989,0
2024-01-01 14:00:00,60.02,60.37,59.25,59.6,8264.786,2024-01-01 14:29:59.999,494177.81705,2744,3992.185,238744.32198,0
2024-01-01 14:30:00,59.61,60.36,59.55,59.83,5827.898,2024-01-01 14:59:59.999,349941.36003,1774,2603.213,156381.37367,0
2024-01-01 15:00:00,59.85,60.18,59.63,60.18,2069.89,2024-01-01 15:29:59.999,123937.35684,583,1089.454,65293.97713,0
2024-01-01 15:30:00,60.16,60.44,60.13,60.26,3517.1,2024-01-01 15:59:59.999,211894.35996,991,1608.072,96879.95454,0
2024-01-01 16:00:00,60.3,60.82,60.2,60.52,4728.054,2024-01-01 16:29:59.999,285837.85428,1267,2260.384,136807.59566,0
2024-01-01 16:30:00,60.51,61.31,60.42,61.11,5515.791,2024-01-01 16:59:59.999,335701.55903,1924,2988.403,181973.29326,0
2024-01-01 17:00:00,61.12,61.86,60.88,61.82,4305.343,2024-01-01 17:29:59.999,264608.52643,1592,2555.727,157053.65465,0
2024-01-01 17:30:00,61.82,61.82,60.89,61.53,4758.676,2024-01-01 17:59:59.999,291387.87153,1588,1933.228,118285.14128,0
2024-01-01 18:00:00,61.46,62.21,61.14,62.04,4414.047,2024-01-01 18:29:59.999,272655.7425,1476,2766.242,171112.07458,0
2024-01-01 18:30:00,62.01,62.34,61.66,61.84,4012.16,2024-01-01 18:59:59.999,248598.47435,1016,1984.232,122991.35537,0
2024-01-01 19:00:00,61.85,61.93,61.62,61.92,1512.44,2024-01-01 19:29:59.999,93402.56637,449,665.152,41107.60027,0
2024-01-01 19:30:00,61.94,62.14,61.84,61.89,1884.112,2024-01-01 19:59:59.999,116795.38917,525,748.385,46382.38908,0
2024-01-01 20:00:00,61.92,62.09,61.49,61.65,2354.952,2024-01-01 20:29:59.999,145509.38049,813,768.315,47465.86743,0
2024-01-01 20:30:00,61.7,61.77,61.37,61.51,2365.829,2024-01-01 20:59:59.999,145510.51849,620,1077.887,66280.42108,0
2024-01-01 21:00:00,61.53,61.56,61.0,61.03,1275.149,2024-01-01 21:29:59.999,78070.67432,472,456.901,27980.83918,0
2024-01-01 21:30:00,61.03,61.14,60.28,60.94,5991.538,2024-01-01 21:59:59.999,363955.9497,1941,2394.223,145549.56758,0
2024-01-01 22:00:00,60.94,61.0,60.59,60.84,1118.058,2024-01-01 22:29:59.999,67989.64033,418,401.297,24407.50256,0
2024-01-01 22:30:00,60.86,61.25,60.86,61.19,2490.589,2024-01-01 22:59:59.999,152014.49922,635,1912.97,116763.03284,0
2024-01-01 23:00:00,61.19,61.36,61.08,61.21,1682.081,2024-01-01 23:29:59.999,102959.65052,599,671.952,41130.39024,0
2024-01-01 23:30:00,61.19,61.3,61.09,61.24,1506.87,2024-01-01 23:59:59.999,92211.15006,426,478.941,29310.56528,0
2024-01-02 00:00:00,61.28,61.8,60.67,61.4,3668.103,2024-01-02 00:29:59.999,224391.6099,1621,1844.988,112982.64338,0
2024-01-02 00:30:00,61.41,61.91,61.41,61.69,3435.344,2024-01-02 00:59:59.999,212017.45668,918,1967.453,121428.85108,0
2024-01-02 01:00:00,61.61,61.9,61.26,61.66,3413.794,2024-01-02 01:29:59.999,210199.97525,883,1599.229,98515.90089,0
2024-01-02 01:30:00,61.71,61.81,61.34,61.8,1918.834,2024-01-02 01:59:59.999,118206.19016,506,1264.604,77964.67708,0
2024-01-02 02:00:00,61.79,61.99,61.54,61.97,2145.472,2024-01-02 02:29:59.999,132451.95899,548,1299.473,80234.15593,0
2024-01-02 02:30:00,61.99,62.0,61.69,61.8,2040.15,2024-01-02 02:59:59.999,126171.95026,557,877.152,54215.96667,0
2024-01-02 03:00:00,61.82,61.86,61.11,61.32,3170.275,2024-01-02 03:29:59.999,194539.67417,1001,1245.11,76403.0817,0
2024-01-02 03:30:00,61.32,61.48,61.05,61.38,4525.099,2024-01-02 03:59:59.999,277180.39205,844,1562.488,95756.59405,0
2024-01-02 04:00:00,61.4,61.45,61.12,61.4,1544.63,2024-01-02 04:29:59.999,94615.3258,395,612.006,37503.62487,0
2024-01-02 04:30:00,61.41,61.41,61.05,61.31,1560.39,2024-01-02 04:59:59.999,95480.4096,451,779.696,47693.79617,0
