Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
2024-01-01 00:00:00,11.65,11.7,11.64,11.68,4199.24,2024-01-01 00:29:59.999,49026.1398,400,1679.67,19626.2194,0
2024-01-01 00:30:00,11.68,11.73,11.68,11.68,1128.97,2024-01-01 00:59:59.999,13214.2111,143,325.24,3807.7784,0
2024-01-01 01:00:00,11.69,11.73,11.69,11.69,1796.84,2024-01-01 01:29:59.999,21029.5974,125,1399.11,16373.4992,0
2024-01-01 01:30:00,11.72,11.75,11.68,11.69,2955.67,2024-01-01 01:59:59.999,34601.8517,153,860.68,10077.8648,0
2024-01-01 02:00:00,11.69,11.72,11.67,11.69,1132.71,2024-01-01 02:29:59.999,13244.7311,100,415.86,4864.7832,0
2024-01-01 02:30:00,11.68,11.7,11.63,11.67,1503.51,2024-01-01 02:59:59.999,17530.9867,118,490.27,5718.88,0
2024-01-01 03:00:00,11.67,11.67,11.46,11.53,4603.03,2024-01-01 03:29:59.999,53196.5297,455,1202.66,13891.2022,0
2024-01-01 03:30:00,11.54,11.59,11.45,11.48,8998.86,2024-01-01 03:59:59.999,103854.6042,410,6086.02,70302.1336,0
2024-01-01 04:00:00,11.48,11.53,11.31,11.33,13072.29,2024-01-01 04:29:59.999,148633.5394,745,6475.46,73634.2612,0
2024-01-01 04:30:00,11.34,11.43,11.34,11.42,4842.48,2024-01-01 04:59:59.999,55120.7123,886,1032.49,11748.7976,0
2024-01-01 05:00:00,11.42,11.47,11.39,11.4,3289.8,2024-01-01 05:29:59.999,37594.1149,515,687.18,7853.6953,0
2024-01-01 05:30:00,11.42,11.45,11.35,11.4,1820.09,2024-01-01 05:59:59.999,20754.1261,244,844.69,9635.1138,0
2024-01-01 06:00:00,11.4,11.56,11.4,11.47,4142.54,2024-01-01 06:29:59.999,47586.2459,418,2789.45,32027.053,0
2024-01-01 06:30:00,11.47,11.48,11.43,11.44,8365.91,2024-01-01 06:59:59.999,95797.7128,323,5234.41,59935.8886,0
2024-01-01 07:00:00,11.43,11.47,11.35,11.36,5152.48,2024-01-01 07:29:59.999,58849.9407,283,2817.9,32196.8001,0
2024-01-01 07:30:00,11.36,11.4,11.35,11.37,1536.76,2024-01-01 07:59:59.999,17482.1517,102,297.02,3379.0896,0
2024-01-01 08:00:00,11.38,11.4,11.34,11.34,2367.22,2024-01-01 08:29:59.999,26883.7585,136,1043.44,11853.9501,0
2024-01-01 08:30:00,11.35,11.36,11.33,11.36,1106.64,2024-01-01 08:59:59.999,12559.2019,96,579.92,6582.4155,0
2024-01-01 09:00:00,11.35,11.4,11.34,11.37,3147.11,2024-01-01 09:29:59.999,35765.8567,162,2399.17,27265.6315,0
2024-01-01 09:30:00,11.37,11.45,11.36,11.44,4209.62,2024-01-01 09:59:59.999,48105.1114,199,3464.41,39590.0549,0
2024-01-01 10:00:00,11.45,11.51,11.4,11.4,9276.57,2024-01-01 10:29:59.999,106381.7927,327,6190.37,71026.2918,0
2024-01-01 10:30:00,11.4,11.45,11.39,11.43,1019.66,2024-01-01 10:59:59.999,11647.9045,77,559.4,6395.0533,0
2024-01-01 11:00:00,11.44,11.5,11.42,11.44,3603.05,2024-01-01 11:29:59.999,41275.9056,203,2245.81,25735.9628,0
2024-01-01 11:30:00,11.45,11.49,11.44,11.49,1233.23,2024-01-01 11:59:59.999,14131.9918,127,823.88,9441.5811,0
2024-01-01 12:00:00,11.49,11.53,11.47,11.48,1178.23,2024-01-01 12:29:59.999,13561.8403,103,945.55,10885.4437,0
2024-01-01 12:30:00,11.49,11.54,11.48,11.49,2348.26,2024-01-01 12:59:59.999,27048.2469,137,676.23,7788.879,0
2024-01-01 13:00:00,11.48,11.54,11.48,11.52,852.79,2024-01-01 13:29:59.999,9813.3706,75,483.24,5564.6319,0
2024-01-01 13:30:00,11.52,11.61,11.52,11.6,2684.93,2024-01-01 13:59:59.999,31078.9548,191,1716.31,19882.2574,0
2024-01-01 14:00:00,11.59,11.59,11.5,11.55,5123.71,2024-01-01 14:29:59.999,59171.492,279,1377.85,15907.2173,0
2024-01-01 14:30:00,11.56,11.58,11.52,11.54,1576.86,2024-01-01 14:59:59.999,18211.8542,133,733.87,8478.2203,0
2024-01-01 15:00:00,11.54,11.62,11.53,11.61,1384.44,2024-01-01 15:29:59.999,16009.2079,137,854.94,9888.9039,0
2024-01-01 15:30:00,11.61,11.65,11.57,11.65,1715.15,2024-01-01 15:59:59.999,19919.667,162,1171.05,13602.9637,0
2024-01-01 16:00:00,11.66,11.75,11.61,11.66,11260.21,2024-01-01 16:29:59.999,131508.8089,634,3403.52,39844.2808,0
2024-01-01 16:30:00,11.66,11.68,11.59,11.64,3863.94,2024-01-01 16:59:59.999,44934.6656,275,1401.65,16313.3588,0
2024-01-01 17:00:00,11.65,11.66,11.57,11.64,3918.36,2024-01-01 17:29:59.999,45477.2305,328,1890.1,21939.6444,0
2024-01-01 17:30:00,11.63,11.66,11.59,11.66,1000.61,2024-01-01 17:59:59.999,11630.1152,99,400.74,4661.8368,0
2024-01-01 18:00:00,11.66,11.75,11.65,11.73,2501.13,2024-01-01 18:29:59.999,29342.1777,149,1939.65,22762.9412,0
2024-01-01 18:30:00,11.73,11.73,11.67,11.68,4641.52,2024-01-01 18:59:59.999,54259.2405,217,2246.37,26269.9201,0
2024-01-01 19:00:00,11.69,11.73,11.61,11.73,5488.39,2024-01-01 19:29:59.999,64013.0121,400,1885.54,22017.8422,0
2024-01-01 19:30:00,11.73,11.76,11.7,11.75,4541.92,2024-01-01 19:59:59.999,53268.9696,267,3118.91,36582.5946,0
2024-01-01 20:00:00,11.75,11.77,11.67,11.67,4348.71,2024-01-01 20:29:59.999,50909.6785,332,2085.3,24409.2344,0
2024-01-01 20:30:00,11.68,11.68,11.64,11.66,1563.17,2024-01-01 20:59:59.999,18228.4738,184,726.51,8477.3307,0
