timestamp,RDNT/USDT_2024_30m,XVS/USDT_2024_30m,COMP/USDT_2024_30m,AAVE/USDT_2024_30m,QI/USDT_2024_30m,TRU/USDT_2024_30m
2024-01-01 00:00:00,0.3093,11.68,57.47,109.83,0.01946,0.0572
2024-01-01 00:30:00,0.3104,11.68,58.04,110.42,0.01959,0.05742
2024-01-01 01:00:00,0.3108,11.69,58.15,111.06,0.01953,0.05775
2024-01-01 01:30:00,0.3123,11.69,58.37,111.45,0.0195,0.05782
2024-01-01 02:00:00,0.3116,11.69,58.27,111.18,0.01921,0.05783
2024-01-01 02:30:00,0.3091,11.67,58.08,110.32,0.01928,0.05759
2024-01-01 03:00:00,0.3038,11.53,57.42,109.22,0.01898,0.05676
2024-01-01 03:30:00,0.304,11.48,57.24,108.73,0.01894,0.0565
2024-01-01 04:00:00,0.3022,11.33,56.97,108.31,0.0188,0.05604
2024-01-01 04:30:00,0.3043,11.42,57.01,108.77,0.01886,0.05607
2024-01-01 05:00:00,0.3023,11.4,57.06,108.8,0.01879,0.05655
2024-01-01 05:30:00,0.3015,11.4,57.24,108.48,0.01885,0.05602
2024-01-01 06:00:00,0.3021,11.47,57.3,108.98,0.01886,0.05601
2024-01-01 06:30:00,0.3037,11.44,57.72,109.05,0.01893,0.0558
2024-01-01 07:00:00,0.3033,11.36,57.6,109.52,0.01895,0.05563
2024-01-01 07:30:00,0.3041,11.37,57.9,109.62,0.01907,0.05598
2024-01-01 08:00:00,0.3024,11.34,57.63,109.94,0.01904,0.05636
2024-01-01 08:30:00,0.3032,11.36,57.63,109.82,0.01909,0.05596
2024-01-01 09:00:00,0.3041,11.37,57.89,109.6,0.01918,0.05596
2024-01-01 09:30:00,0.3056,11.44,58.02,109.98,0.01933,0.05617
2024-01-01 10:00:00,0.3037,11.4,58.03,110.13,0.01945,0.05596
2024-01-01 10:30:00,0.3045,11.43,58.2,110.27,0.01933,0.05684
2024-01-01 11:00:00,0.3057,11.44,58.27,110.31,0.01948,0.05751
2024-01-01 11:30:00,0.3064,11.49,58.49,110.67,0.0194,0.05786
2024-01-01 12:00:00,0.3049,11.48,58.21,110.79,0.01937,0.05856
2024-01-01 12:30:00,0.3057,11.49,58.5,111.23,0.01951,0.05938
2024-01-01 13:00:00,0.3071,11.52,59.0,111.43,0.01947,0.05905
2024-01-01 13:30:00,0.307,11.6,60.05,111.15,0.01951,0.06017
2024-01-01 14:00:00,0.3049,11.55,59.6,111.2,0.01917,0.06083
2024-01-01 14:30:00,0.3052,11.54,59.83,110.47,0.0192,0.05986
2024-01-01 15:00:00,0.3067,11.61,60.18,110.95,0.01923,0.05998
2024-01-01 15:30:00,0.309,11.65,60.26,112.46,0.01952,0.06038
2024-01-01 16:00:00,0.3086,11.66,60.52,112.34,0.01949,0.06018
2024-01-01 16:30:00,0.3082,11.64,61.11,112.43,0.02015,0.0606
2024-01-01 17:00:00,0.3094,11.64,61.82,112.19,0.01993,0.06047
2024-01-01 17:30:00,0.3097,11.66,61.53,112.66,0.01989,0.06051
2024-01-01 18:00:00,0.3139,11.73,62.04,113.2,0.01996,0.06094
2024-01-01 18:30:00,0.3167,11.68,61.84,113.57,0.02025,0.06067
2024-01-01 19:00:00,0.316,11.73,61.92,113.94,0.02061,0.06095
2024-01-01 19:30:00,0.3176,11.75,61.89,113.83,0.02068,0.06078
2024-01-01 20:00:00,0.3174,11.67,61.65,113.78,0.0208,0.06043
2024-01-01 20:30:00,0.3159,11.66,61.51,114.12,0.02095,0.06035
2024-01-01 21:00:00,0.3159,11.57,61.03,113.22,0.02089,0.06009
2024-01-01 21:30:00,0.3163,11.64,60.94,113.91,0.02093,0.06025
2024-01-01 22:00:00,0.3144,11.62,60.84,114.21,0.02069,0.06076
2024-01-01 22:30:00,0.3155,11.67,61.19,114.5,0.02091,0.06069
2024-01-01 23:00:00,0.3181,11.71,61.21,115.32,0.02166,0.06083
2024-01-01 23:30:00,0.3187,11.71,61.24,116.17,0.02198,0.06041
2024-01-02 00:00:00,0.323,11.74,61.4,115.85,0.02168,0.06014
2024-01-02 00:30:00,0.3254,11.86,61.69,118.01,0.02174,0.06118
2024-01-02 01:00:00,0.3261,11.94,61.66,119.1,0.02166,0.06094
2024-01-02 01:30:00,0.3264,12.01,61.8,119.3,0.02121,0.06111
2024-01-02 02:00:00,0.326,12.03,61.97,118.79,0.02117,0.06091
2024-01-02 02:30:00,0.3242,12.04,61.8,119.36,0.02138,0.06072
2024-01-02 03:00:00,0.3238,12.0,61.32,117.63,0.02129,0.06082
2024-01-02 03:30:00,0.3248,12.04,61.38,118.02,0.02137,0.06075
2024-01-02 04:00:00,0.3251,12.06,61.4,118.56,0.02154,0.06147
