timestamp,BNSOL/USDT_2025_1H,SOL/USDT_2025_1H
2025-01-01 00:00:00,197.0,192.54
2025-01-01 01:00:00,195.5,190.7
2025-01-01 02:00:00,196.2,191.59
2025-01-01 03:00:00,194.8,190.43
2025-01-01 04:00:00,194.0,189.47
2025-01-01 05:00:00,194.7,190.15
2025-01-01 06:00:00,194.7,190.3
2025-01-01 07:00:00,194.6,190.06
2025-01-01 08:00:00,194.0,189.4
2025-01-01 09:00:00,193.5,189.18
2025-01-01 10:00:00,194.6,190.24
2025-01-01 11:00:00,195.9,191.36
2025-01-01 12:00:00,195.6,190.95
2025-01-01 13:00:00,194.9,190.25
2025-01-01 14:00:00,195.4,190.88
2025-01-01 15:00:00,196.4,191.91
2025-01-01 16:00:00,195.2,190.51
2025-01-01 17:00:00,195.0,190.64
2025-01-01 18:00:00,196.1,191.68
2025-01-01 19:00:00,197.9,193.1
2025-01-01 20:00:00,198.9,194.36
2025-01-01 21:00:00,199.1,194.69
2025-01-01 22:00:00,199.2,194.53
2025-01-01 23:00:00,198.9,194.28
2025-01-02 00:00:00,201.0,196.25
2025-01-02 01:00:00,202.4,197.71
2025-01-02 02:00:00,204.1,199.41
2025-01-02 03:00:00,203.4,198.54
2025-01-02 04:00:00,209.2,204.47
2025-01-02 05:00:00,209.4,204.62
2025-01-02 06:00:00,210.4,205.36
2025-01-02 07:00:00,210.6,205.91
2025-01-02 08:00:00,211.8,206.8
2025-01-02 09:00:00,212.4,207.38
2025-01-02 10:00:00,211.7,206.98
2025-01-02 11:00:00,213.6,208.51
2025-01-02 12:00:00,213.2,208.39
2025-01-02 13:00:00,212.8,208.17
2025-01-02 14:00:00,213.1,208.2
2025-01-02 15:00:00,211.4,206.77
2025-01-02 16:00:00,212.0,207.45
2025-01-02 17:00:00,211.0,206.05
2025-01-02 18:00:00,211.1,206.44
2025-01-02 19:00:00,211.2,206.69
2025-01-02 20:00:00,211.8,206.82
2025-01-02 21:00:00,211.2,206.54
2025-01-02 22:00:00,211.4,206.6
2025-01-02 23:00:00,212.9,208.31
2025-01-03 00:00:00,212.1,207.15
2025-01-03 01:00:00,211.6,206.86
2025-01-03 02:00:00,211.6,206.87
2025-01-03 03:00:00,212.9,208.05
2025-01-03 04:00:00,212.8,207.72
2025-01-03 05:00:00,213.7,208.87
2025-01-03 06:00:00,212.6,207.77
2025-01-03 07:00:00,212.7,207.95
2025-01-03 08:00:00,214.3,209.36
2025-01-03 09:00:00,216.2,211.2
2025-01-03 10:00:00,216.2,211.13
2025-01-03 11:00:00,219.7,214.51
2025-01-03 12:00:00,218.4,213.4
2025-01-03 13:00:00,217.9,212.92
2025-01-03 14:00:00,223.0,218.3
2025-01-03 15:00:00,222.2,217.36
2025-01-03 16:00:00,222.9,217.7
2025-01-03 17:00:00,222.2,217.39
2025-01-03 18:00:00,223.1,218.12
2025-01-03 19:00:00,222.0,217.1
2025-01-03 20:00:00,221.0,216.05
2025-01-03 21:00:00,221.2,216.34
2025-01-03 22:00:00,222.1,217.06
2025-01-03 23:00:00,223.2,217.99
2025-01-04 00:00:00,222.0,217.0
2025-01-04 01:00:00,222.7,217.38
2025-01-04 02:00:00,222.3,217.47
2025-01-04 03:00:00,221.7,216.97
2025-01-04 04:00:00,221.8,216.88
2025-01-04 05:00:00,222.4,217.23
2025-01-04 06:00:00,222.9,217.63
2025-01-04 07:00:00,221.7,216.71
2025-01-04 08:00:00,220.7,215.72
2025-01-04 09:00:00,220.9,215.83
2025-01-04 10:00:00,221.0,215.66
2025-01-04 11:00:00,221.5,216.45
2025-01-04 12:00:00,222.3,217.04
2025-01-04 13:00:00,222.3,217.03
2025-01-04 14:00:00,220.9,215.88
2025-01-04 15:00:00,219.3,214.32
2025-01-04 16:00:00,219.4,214.4
2025-01-04 17:00:00,220.6,215.75
2025-01-04 18:00:00,220.5,215.54
2025-01-04 19:00:00,220.6,215.58
2025-01-04 20:00:00,221.3,216.43
2025-01-04 21:00:00,220.9,216.06
2025-01-04 22:00:00,222.0,217.2
2025-01-04 23:00:00,221.6,216.67
2025-01-05 00:00:00,222.1,217.04
2025-01-05 01:00:00,220.7,215.71
2025-01-05 02:00:00,222.1,217.08
2025-01-05 03:00:00,223.0,217.96
2025-01-05 04:00:00,223.2,218.01
2025-01-05 05:00:00,221.8,216.4
2025-01-05 06:00:00,221.7,216.63
2025-01-05 07:00:00,221.4,216.47
2025-01-05 08:00:00,220.2,215.17
2025-01-05 09:00:00,218.2,213.19
2025-01-05 10:00:00,219.0,214.08
2025-01-05 11:00:00,218.8,213.93
2025-01-05 12:00:00,218.5,213.61
2025-01-05 13:00:00,217.4,212.59
2025-01-05 14:00:00,217.9,213.29
2025-01-05 15:00:00,218.6,213.59
2025-01-05 16:00:00,217.4,212.47
2025-01-05 17:00:00,217.4,212.65
2025-01-05 18:00:00,217.5,212.47
2025-01-05 19:00:00,217.9,212.79
2025-01-05 20:00:00,218.1,213.01
2025-01-05 21:00:00,219.0,213.85
2025-01-05 22:00:00,219.3,214.22
2025-01-05 23:00:00,218.6,213.41
2025-01-06 00:00:00,217.2,212.16
2025-01-06 01:00:00,219.7,214.67
2025-01-06 02:00:00,220.7,215.6
2025-01-06 03:00:00,220.7,215.61
2025-01-06 04:00:00,221.2,215.85
2025-01-06 05:00:00,220.7,215.57
2025-01-06 06:00:00,220.2,214.94
2025-01-06 07:00:00,220.4,215.22
2025-01-06 08:00:00,219.2,214.02
2025-01-06 09:00:00,219.6,214.4
2025-01-06 10:00:00,220.0,215.03
2025-01-06 11:00:00,221.4,216.26
2025-01-06 12:00:00,221.9,216.82
2025-01-06 13:00:00,223.8,218.7
2025-01-06 14:00:00,226.0,221.05
2025-01-06 15:00:00,226.7,221.62
2025-01-06 16:00:00,225.9,220.85
2025-01-06 17:00:00,223.9,218.72
2025-01-06 18:00:00,224.1,218.84
2025-01-06 19:00:00,225.3,220.0
2025-01-06 20:00:00,223.7,218.54
2025-01-06 21:00:00,223.0,217.85
2025-01-06 22:00:00,223.9,218.54
2025-01-06 23:00:00,223.6,218.22
2025-01-07 00:00:00,222.8,217.78
2025-01-07 01:00:00,223.2,218.11
2025-01-07 02:00:00,221.8,216.59
2025-01-07 03:00:00,222.7,217.34
2025-01-07 04:00:00,221.9,216.18
2025-01-07 05:00:00,221.8,216.51
2025-01-07 06:00:00,221.6,216.36
2025-01-07 07:00:00,221.4,216.04
2025-01-07 08:00:00,221.7,216.6
2025-01-07 09:00:00,220.3,215.1
2025-01-07 10:00:00,219.9,214.88
2025-01-07 11:00:00,219.3,214.06
2025-01-07 12:00:00,218.4,213.49
2025-01-07 13:00:00,219.2,213.85
2025-01-07 14:00:00,217.0,211.64
2025-01-07 15:00:00,212.9,207.76
2025-01-07 16:00:00,212.4,207.55
2025-01-07 17:00:00,211.5,206.43
2025-01-07 18:00:00,209.9,205.06
2025-01-07 19:00:00,209.6,204.56
2025-01-07 20:00:00,209.2,204.36
2025-01-07 21:00:00,207.0,202.12
2025-01-07 22:00:00,208.6,203.71
2025-01-07 23:00:00,207.1,202.17
2025-01-08 00:00:00,207.2,202.62
2025-01-08 01:00:00,205.7,201.26
2025-01-08 02:00:00,204.9,200.11
2025-01-08 03:00:00,203.4,198.67
2025-01-08 04:00:00,201.7,196.97
2025-01-08 05:00:00,200.6,196.1
2025-01-08 06:00:00,198.0,193.45
2025-01-08 07:00:00,200.4,195.71
2025-01-08 08:00:00,201.9,197.36
2025-01-08 09:00:00,200.6,195.96
2025-01-08 10:00:00,201.9,197.21
2025-01-08 11:00:00,200.3,195.5
2025-01-08 12:00:00,199.7,195.06
2025-01-08 13:00:00,201.8,197.14
2025-01-08 14:00:00,202.4,197.73
2025-01-08 15:00:00,202.2,197.8
2025-01-08 16:00:00,199.2,194.68
2025-01-08 17:00:00,197.7,193.2
2025-01-08 18:00:00,198.5,193.95
2025-01-08 19:00:00,199.0,194.32
2025-01-08 20:00:00,200.4,195.76
2025-01-08 21:00:00,199.8,195.04
2025-01-08 22:00:00,202.6,197.84
2025-01-08 23:00:00,202.3,197.48
2025-01-09 00:00:00,202.4,197.9
2025-01-09 01:00:00,202.5,197.78
2025-01-09 02:00:00,201.9,197.13
2025-01-09 03:00:00,199.1,194.35
2025-01-09 04:00:00,200.1,195.38
2025-01-09 05:00:00,199.1,194.29
2025-01-09 06:00:00,198.1,193.41
2025-01-09 07:00:00,194.7,190.11
2025-01-09 08:00:00,195.7,191.14
2025-01-09 09:00:00,196.1,191.66
2025-01-09 10:00:00,195.8,191.41
2025-01-09 11:00:00,195.7,191.18
2025-01-09 12:00:00,194.8,190.33
2025-01-09 13:00:00,190.1,185.5
2025-01-09 14:00:00,193.4,188.78
2025-01-09 15:00:00,196.9,192.22
2025-01-09 16:00:00,196.5,191.86
2025-01-09 17:00:00,192.0,187.3
2025-01-09 18:00:00,193.1,188.45
2025-01-09 19:00:00,190.3,185.89
2025-01-09 20:00:00,189.6,185.15
2025-01-09 21:00:00,189.2,184.77
2025-01-09 22:00:00,190.5,185.92
2025-01-09 23:00:00,189.6,184.95
2025-01-10 00:00:00,191.0,186.41
2025-01-10 01:00:00,192.2,187.56
2025-01-10 02:00:00,192.8,188.3
2025-01-10 03:00:00,193.9,189.14
2025-01-10 04:00:00,193.6,189.04
2025-01-10 05:00:00,194.5,189.9
2025-01-10 06:00:00,195.6,191.07
2025-01-10 07:00:00,196.3,191.78
2025-01-10 08:00:00,196.6,192.05
2025-01-10 09:00:00,196.7,191.99
2025-01-10 10:00:00,197.3,192.65
2025-01-10 11:00:00,196.6,191.97
2025-01-10 12:00:00,196.4,191.84
2025-01-10 13:00:00,191.0,186.51
2025-01-10 14:00:00,192.0,187.58
2025-01-10 15:00:00,191.7,187.28
2025-01-10 16:00:00,189.2,184.72
2025-01-10 17:00:00,196.2,191.61
2025-01-10 18:00:00,194.5,190.02
2025-01-10 19:00:00,194.7,190.22
2025-01-10 20:00:00,191.8,187.44
2025-01-10 21:00:00,192.1,187.74
2025-01-10 22:00:00,192.5,188.09
2025-01-10 23:00:00,192.2,187.68
2025-01-11 00:00:00,192.7,188.25
2025-01-11 01:00:00,190.8,186.38
2025-01-11 02:00:00,191.3,186.72
2025-01-11 03:00:00,190.7,186.37
2025-01-11 04:00:00,190.4,185.78
2025-01-11 05:00:00,190.7,186.21
2025-01-11 06:00:00,190.7,186.13
2025-01-11 07:00:00,190.8,186.24
2025-01-11 08:00:00,190.3,185.59
2025-01-11 09:00:00,189.7,185.09
2025-01-11 10:00:00,189.8,185.16
2025-01-11 11:00:00,191.3,186.69
2025-01-11 12:00:00,191.4,186.91
2025-01-11 13:00:00,191.1,186.54
2025-01-11 14:00:00,192.3,187.91
2025-01-11 15:00:00,191.4,186.95
2025-01-11 16:00:00,191.9,187.21
2025-01-11 17:00:00,191.1,186.62
2025-01-11 18:00:00,192.3,187.65
2025-01-11 19:00:00,192.3,187.75
2025-01-11 20:00:00,194.9,190.41
2025-01-11 21:00:00,195.9,191.01
2025-01-11 22:00:00,193.2,188.31
2025-01-11 23:00:00,192.8,188.09
2025-01-12 00:00:00,192.0,187.35
2025-01-12 01:00:00,192.3,187.59
2025-01-12 02:00:00,192.9,188.39
2025-01-12 03:00:00,191.8,187.31
2025-01-12 04:00:00,191.5,186.81
2025-01-12 05:00:00,191.2,186.68
