timestamp,BNSOL/USDT_2025_1m,SOL/USDT_2025_1m
2025-01-01 00:00:00,194.0,189.71
2025-01-01 00:01:00,194.0,189.71
2025-01-01 00:02:00,194.5,190.07
2025-01-01 00:03:00,194.4,189.86
2025-01-01 00:04:00,194.5,189.85
2025-01-01 00:05:00,194.7,190.14
2025-01-01 00:06:00,194.4,190.04
2025-01-01 00:07:00,194.5,190.05
2025-01-01 00:08:00,194.7,190.08
2025-01-01 00:09:00,194.6,190.02
2025-01-01 00:10:00,194.5,189.92
2025-01-01 00:11:00,194.5,190.0
2025-01-01 00:12:00,194.6,190.13
2025-01-01 00:13:00,194.7,190.29
2025-01-01 00:14:00,195.0,190.51
2025-01-01 00:15:00,195.0,190.54
2025-01-01 00:16:00,195.5,190.85
2025-01-01 00:17:00,195.5,190.88
2025-01-01 00:18:00,195.6,191.01
2025-01-01 00:19:00,195.5,191.0
2025-01-01 00:20:00,195.6,191.2
2025-01-01 00:21:00,195.6,190.93
2025-01-01 00:22:00,195.4,190.76
2025-01-01 00:23:00,195.3,190.85
2025-01-01 00:24:00,195.3,190.66
2025-01-01 00:25:00,195.2,190.68
2025-01-01 00:26:00,195.1,190.51
2025-01-01 00:27:00,195.1,190.46
2025-01-01 00:28:00,195.1,190.58
2025-01-01 00:29:00,195.3,190.72
2025-01-01 00:30:00,195.5,190.94
2025-01-01 00:31:00,195.8,191.19
2025-01-01 00:32:00,196.0,191.3
2025-01-01 00:33:00,195.8,191.25
2025-01-01 00:34:00,195.9,191.24
2025-01-01 00:35:00,196.2,191.43
2025-01-01 00:36:00,196.1,191.37
2025-01-01 00:37:00,196.1,191.32
2025-01-01 00:38:00,196.0,191.53
2025-01-01 00:39:00,196.1,191.45
2025-01-01 00:40:00,196.0,191.5
2025-01-01 00:41:00,195.8,191.31
2025-01-01 00:42:00,195.8,191.2
2025-01-01 00:43:00,195.8,191.22
2025-01-01 00:44:00,195.8,191.28
2025-01-01 00:45:00,195.8,191.25
2025-01-01 00:46:00,195.8,191.47
2025-01-01 00:47:00,196.2,191.57
2025-01-01 00:48:00,196.3,191.71
2025-01-01 00:49:00,196.4,191.71
2025-01-01 00:50:00,196.5,191.94
2025-01-01 00:51:00,196.5,192.03
2025-01-01 00:52:00,196.5,191.92
2025-01-01 00:53:00,196.4,191.98
2025-01-01 00:54:00,196.5,192.16
2025-01-01 00:55:00,196.5,192.06
2025-01-01 00:56:00,196.5,192.12
2025-01-01 00:57:00,196.5,192.35
2025-01-01 00:58:00,197.1,192.5
2025-01-01 00:59:00,197.0,192.54
2025-01-01 01:00:00,197.1,192.33
2025-01-01 01:01:00,197.0,192.44
2025-01-01 01:02:00,197.0,192.22
2025-01-01 01:03:00,196.8,192.13
2025-01-01 01:04:00,196.8,192.07
2025-01-01 01:05:00,196.2,191.59
2025-01-01 01:06:00,196.1,191.51
2025-01-01 01:07:00,196.1,191.61
2025-01-01 01:08:00,196.1,191.61
2025-01-01 01:09:00,196.0,191.76
2025-01-01 01:10:00,196.0,191.8
2025-01-01 01:11:00,196.0,191.83
2025-01-01 01:12:00,196.3,191.72
2025-01-01 01:13:00,196.3,191.7
2025-01-01 01:14:00,196.2,191.66
2025-01-01 01:15:00,196.0,191.37
2025-01-01 01:16:00,196.0,191.28
2025-01-01 01:17:00,195.6,191.04
2025-01-01 01:18:00,195.6,191.02
2025-01-01 01:19:00,195.6,191.01
2025-01-01 01:20:00,195.7,191.07
2025-01-01 01:21:00,195.7,191.13
2025-01-01 01:22:00,195.9,191.19
2025-01-01 01:23:00,195.9,190.78
2025-01-01 01:24:00,195.9,191.01
2025-01-01 01:25:00,195.8,191.18
2025-01-01 01:26:00,195.6,191.12
2025-01-01 01:27:00,195.8,191.25
2025-01-01 01:28:00,195.7,191.14
2025-01-01 01:29:00,195.7,191.17
2025-01-01 01:30:00,195.6,191.4
2025-01-01 01:31:00,196.1,191.35
2025-01-01 01:32:00,195.6,191.24
2025-01-01 01:33:00,195.6,191.23
2025-01-01 01:34:00,195.8,191.43
2025-01-01 01:35:00,195.9,191.42
2025-01-01 01:36:00,195.9,191.5
2025-01-01 01:37:00,195.9,191.53
2025-01-01 01:38:00,195.9,191.55
2025-01-01 01:39:00,196.0,191.35
2025-01-01 01:40:00,196.0,191.46
2025-01-01 01:41:00,196.0,191.48
2025-01-01 01:42:00,196.0,191.38
2025-01-01 01:43:00,195.9,191.35
2025-01-01 01:44:00,195.8,191.21
2025-01-01 01:45:00,195.7,191.08
2025-01-01 01:46:00,195.8,191.13
2025-01-01 01:47:00,195.7,191.03
2025-01-01 01:48:00,195.7,191.07
2025-01-01 01:49:00,195.6,191.2
2025-01-01 01:50:00,195.3,190.8
2025-01-01 01:51:00,195.3,190.84
2025-01-01 01:52:00,195.0,190.61
2025-01-01 01:53:00,195.0,190.73
2025-01-01 01:54:00,195.0,190.48
2025-01-01 01:55:00,195.0,190.55
2025-01-01 01:56:00,194.9,190.46
2025-01-01 01:57:00,195.1,190.68
2025-01-01 01:58:00,195.4,190.86
2025-01-01 01:59:00,195.5,190.7
2025-01-01 02:00:00,195.5,190.85
2025-01-01 02:01:00,195.6,190.97
