Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
2024-01-01 00:00:00,42240.4,42500.0,42237.61,42394.3,0.09203,2024-01-01 00:29:59.999,3899.1819671,41,0.0318,1347.5765352,0
2024-01-01 00:30:00,42316.29,42444.16,42316.29,42444.16,0.09156,2024-01-01 00:59:59.999,3881.3902235,22,0.08211,3480.9356485,0
2024-01-01 01:00:00,42421.9,42450.57,42401.7,42431.64,0.02938,2024-01-01 01:29:59.999,1246.9991841,16,0.02324,986.5122313,0
2024-01-01 01:30:00,42500.0,42696.36,42484.17,42616.9,0.02221,2024-01-01 01:59:59.999,945.9378057,32,0.0085,361.6889112,0
2024-01-01 02:00:00,42523.3,42523.3,42449.0,42458.23,0.01096,2024-01-01 02:29:59.999,465.4892461,19,0.0,0.0,0
2024-01-01 02:30:00,42497.82,42544.78,42497.82,42544.78,0.00189,2024-01-01 02:59:59.999,80.3434234,4,0.00047,19.9960433,0
2024-01-01 03:00:00,42493.64,42500.69,42337.12,42339.03,0.04628,2024-01-01 03:29:59.999,1962.97061,75,0.00018,7.6501242,0
2024-01-01 03:30:00,42336.98,42347.1,42206.62,42230.03,0.20657,2024-01-01 03:59:59.999,8744.6903201,53,0.17744,7512.791244,0
2024-01-01 04:00:00,42249.8,42313.62,42144.9,42211.03,0.15847,2024-01-01 04:29:59.999,6693.950178,50,0.11922,5038.0422109,0
2024-01-01 04:30:00,42211.05,42306.43,42211.05,42306.43,0.02386,2024-01-01 04:59:59.999,1007.8963361,38,0.0,0.0,0
2024-01-01 05:00:00,42313.59,42313.59,42224.64,42224.64,0.01319,2024-01-01 05:29:59.999,557.5960711,17,0.00125,52.877089,0
2024-01-01 05:30:00,42222.62,42222.62,42112.12,42112.12,0.00981,2024-01-01 05:59:59.999,413.7875319,17,0.0,0.0,0
2024-01-01 06:00:00,42180.4,42273.85,42178.34,42229.69,0.08147,2024-01-01 06:29:59.999,3443.0945477,23,0.06108,2582.0813348,0
2024-01-01 06:30:00,42271.48,42355.33,42271.48,42328.2,0.00684,2024-01-01 06:59:59.999,289.3974011,14,0.00094,39.8087524,0
2024-01-01 07:00:00,42339.42,42410.0,42339.42,42410.0,0.02264,2024-01-01 07:29:59.999,959.4246818,27,0.00917,388.7159878,0
2024-01-01 07:30:00,42445.9,42473.48,42385.9,42456.83,0.289,2024-01-01 07:59:59.999,12272.136577,37,0.27999,11890.0716774,0
2024-01-01 08:00:00,42456.83,42488.76,42408.5,42488.76,0.34212,2024-01-01 08:29:59.999,14520.6049568,38,0.29322,12445.0829009,0
2024-01-01 08:30:00,42435.86,42488.76,42408.03,42488.76,0.04036,2024-01-01 08:59:59.999,1712.4811536,15,0.00037,15.7206112,0
2024-01-01 09:00:00,42500.0,42617.49,42488.01,42595.32,0.05186,2024-01-01 09:29:59.999,2206.9538355,26,0.03625,1542.4477894,0
2024-01-01 09:30:00,42605.02,42614.92,42572.99,42602.71,0.01583,2024-01-01 09:59:59.999,674.2552825,7,0.01465,624.0041002,0
2024-01-01 10:00:00,42615.77,42631.61,42607.89,42631.61,0.02159,2024-01-01 10:29:59.999,919.9873135,9,0.02159,919.9873135,0
2024-01-01 10:30:00,42614.85,42711.76,42614.85,42677.06,0.00191,2024-01-01 10:59:59.999,81.5010065,5,0.00144,61.472027,0
2024-01-01 11:00:00,42690.89,42713.3,42604.73,42607.79,0.06719,2024-01-01 11:29:59.999,2865.20909,13,0.00127,54.180259,0
2024-01-01 11:30:00,42601.67,42639.54,42569.47,42639.54,0.07355,2024-01-01 11:59:59.999,3133.8903074,18,0.07271,3098.1172228,0
2024-01-01 12:00:00,42674.48,42674.48,42594.63,42621.87,0.13226,2024-01-01 12:29:59.999,5636.8722502,15,0.09578,4080.3482327,0
2024-01-01 12:30:00,42646.18,42713.31,42640.97,42640.97,0.2937,2024-01-01 12:59:59.999,12539.5931478,15,0.26583,11350.3939344,0
2024-01-01 13:00:00,42640.96,42695.52,42609.62,42689.44,0.00943,2024-01-01 13:29:59.999,402.2946315,17,0.00876,373.7163658,0
2024-01-01 13:30:00,42655.1,42706.96,42655.1,42706.96,0.00828,2024-01-01 13:59:59.999,353.3434048,13,0.00828,353.3434048,0
2024-01-01 14:00:00,42706.93,42706.93,42537.16,42537.16,0.01224,2024-01-01 14:29:59.999,521.1474036,11,0.00469,199.9416973,0
2024-01-01 14:30:00,42576.94,42637.66,42570.31,42595.31,0.01666,2024-01-01 14:59:59.999,709.4178162,10,0.00961,409.2513174,0
2024-01-01 15:00:00,42580.01,42683.2,42578.93,42683.2,0.29938,2024-01-01 15:29:59.999,12759.5565054,26,0.29938,12759.5565054,0
2024-01-01 15:30:00,42665.84,42808.58,42577.22,42793.01,0.09286,2024-01-01 15:59:59.999,3960.2703168,46,0.04485,1913.0252454,0
2024-01-01 16:00:00,42790.86,42891.11,42717.49,42749.01,0.04566,2024-01-01 16:29:59.999,1954.3328506,24,0.00471,201.6710673,0
2024-01-01 16:30:00,42737.82,42803.74,42721.25,42741.13,0.07196,2024-01-01 16:59:59.999,3078.8861489,18,0.06961,2978.4768122,0
2024-01-01 17:00:00,42747.04,42791.37,42697.54,42763.32,0.04339,2024-01-01 17:29:59.999,1855.126904,33,0.00761,325.5094485,0
2024-01-01 17:30:00,42737.28,42844.91,42685.42,42844.91,0.02916,2024-01-01 17:59:59.999,1245.8871921,23,0.01476,631.0184758,0
2024-01-01 18:00:00,42801.12,43181.43,42801.11,43151.81,0.24369,2024-01-01 18:29:59.999,10501.192165,159,0.0906,3901.2537921,0
2024-01-01 18:30:00,43099.21,43168.69,43028.16,43127.69,0.02425,2024-01-01 18:59:59.999,1044.946778,38,0.00772,332.8741272,0
2024-01-01 19:00:00,43130.38,43300.0,43102.77,43300.0,0.01872,2024-01-01 19:29:59.999,808.2310132,28,0.01145,494.6699063,0
2024-01-01 19:30:00,43300.0,43821.18,43209.38,43529.21,1.11027,2024-01-01 19:59:59.999,48293.428545,249,0.7917,34473.7950968,0
2024-01-01 20:00:00,43527.78,43777.7,43527.41,43650.79,0.37037,2024-01-01 20:29:59.999,16180.5516827,138,0.21729,9501.3690356,0
2024-01-01 20:30:00,43686.12,43879.39,43622.09,43698.0,2.01118,2024-01-01 20:59:59.999,88041.3249636,127,1.97549,86480.5165873,0
2024-01-01 21:00:00,43691.91,43798.83,43661.23,43661.23,0.06475,2024-01-01 21:29:59.999,2830.1402366,33,0.01274,557.1405595,0
2024-01-01 21:30:00,43581.08,43647.97,43517.2,43628.73,0.02496,2024-01-01 21:59:59.999,1088.218713,9,0.01029,448.922084,0
