timestamp,BTC/USDT,ETH/USDT,XRP/USDT,LTC/USDT,BCH/USDT
2024-02-23,50744.15,2922.24,0.5342,68.8,264.7
2024-02-24,51568.22,2992.62,0.545,70.41,267.7
2024-02-25,51728.85,3112.59,0.5425,70.16,267.9
2024-02-26,54476.47,3175.94,0.5506,71.93,274.7
2024-02-27,57037.34,3242.36,0.5861,73.97,292.8
2024-02-28,62432.1,3383.1,0.575,74.48,296.4
2024-02-29,61130.98,3340.09,0.5867,79.92,297.6
2024-03-01,62387.9,3433.43,0.6013,84.87,316.3
2024-03-02,61987.28,3421.4,0.6442,94.49,501.1
2024-03-03,63113.97,3487.81,0.6271,90.7,470.5
2024-03-04,68245.71,3627.76,0.6477,88.95,473.5
2024-03-05,63724.01,3553.65,0.5912,81.93,401.0
2024-03-06,66074.04,3818.59,0.6121,85.87,415.8
2024-03-07,66823.17,3868.76,0.627,88.0,432.1
2024-03-08,68124.19,3883.36,0.62,88.32,436.5
2024-03-09,68313.27,3905.21,0.6197,90.67,432.2
2024-03-10,68955.88,3878.47,0.608,87.43,423.4
2024-03-11,72078.1,4064.8,0.723,103.86,448.4
2024-03-12,71452.01,3979.96,0.688,97.52,435.0
2024-03-13,73072.41,4004.79,0.6891,97.24,442.5
2024-03-14,71388.94,3881.7,0.669,94.08,440.5
2024-03-15,69499.85,3742.19,0.6342,89.75,416.7
2024-03-16,65300.63,3523.09,0.6031,84.12,388.6
2024-03-17,68393.48,3644.71,0.6191,85.93,402.6
2024-03-18,67609.99,3520.46,0.6453,86.77,401.0
2024-03-19,61937.4,3158.64,0.5845,78.45,358.8
2024-03-20,67840.51,3516.53,0.6107,84.65,410.0
2024-03-21,65501.27,3492.85,0.6404,85.75,414.4
2024-03-22,63796.64,3336.35,0.6115,83.4,431.4
2024-03-23,63990.01,3329.53,0.6167,85.26,455.9
2024-03-24,67209.99,3454.98,0.6325,89.65,485.1
2024-03-25,69880.01,3590.42,0.6406,90.58,487.4
2024-03-26,69988.0,3587.33,0.6317,95.77,479.3
2024-03-27,69469.99,3501.19,0.6118,93.55,539.1
2024-03-28,70780.6,3560.49,0.6244,94.11,567.4
2024-03-29,69850.54,3509.74,0.6301,109.06,620.6
2024-03-30,69582.18,3505.64,0.6212,102.84,597.6
2024-03-31,71280.01,3645.29,0.6292,105.01,678.7
2024-04-01,69649.8,3503.8,0.611,99.2,647.6
2024-04-02,65463.99,3278.96,0.5854,106.75,639.0
2024-04-03,65963.28,3310.83,0.5742,98.33,592.8
2024-04-04,68487.79,3327.4,0.5935,98.38,665.4
2024-04-05,67820.62,3317.85,0.5871,97.82,657.3
2024-04-06,68896.0,3351.59,0.593,101.6,693.9
2024-04-07,69360.39,3454.2,0.5944,101.21,684.8
2024-04-08,71620.0,3694.61,0.6147,103.27,681.4
2024-04-09,69146.0,3506.39,0.6141,97.53,671.8
2024-04-10,70631.08,3545.64,0.6172,96.71,629.2
2024-04-11,70006.23,3502.52,0.6086,98.78,614.2
2024-04-12,67116.52,3237.43,0.5468,86.08,533.2
2024-04-13,63924.51,3007.01,0.4788,77.33,479.6
2024-04-14,65661.84,3155.11,0.5033,79.72,525.7
2024-04-15,63419.99,3101.99,0.4977,78.1,508.3
2024-04-16,63793.39,3084.22,0.4965,79.94,486.9
2024-04-17,61277.37,2985.41,0.4951,80.19,463.9
2024-04-18,63470.08,3064.4,0.5025,80.75,483.0
2024-04-19,63818.01,3056.46,0.503,80.87,476.8
2024-04-20,64940.59,3155.79,0.5288,85.04,515.4
2024-04-21,64941.15,3147.67,0.5246,84.16,502.2
2024-04-22,66819.32,3200.2,0.556,85.39,522.7
2024-04-23,66414.0,3219.46,0.5445,85.02,505.0
2024-04-24,64289.59,3140.8,0.5275,83.25,479.4
2024-04-25,64498.34,3155.8,0.5254,83.78,478.1
2024-04-26,63770.01,3131.3,0.5261,88.1,482.4
2024-04-27,63461.98,3255.56,0.5179,83.88,477.1
2024-04-28,63118.62,3263.45,0.5103,83.99,470.5
2024-04-29,63866.0,3216.73,0.5151,83.51,465.1
2024-04-30,60672.0,3014.05,0.5006,79.49,434.1
2024-05-01,58364.97,2972.46,0.5175,80.17,424.8
2024-05-02,59060.61,2986.19,0.518,80.02,429.0
2024-05-03,62882.01,3102.61,0.5317,81.85,452.6
2024-05-04,63892.04,3117.23,0.5302,81.66,462.8
2024-05-05,64012.0,3136.41,0.5296,81.32,469.0
2024-05-06,63165.19,3062.6,0.5402,80.79,473.1
2024-05-07,62312.08,3005.69,0.5245,80.84,470.9
2024-05-08,61193.03,2974.21,0.5171,81.7,448.2
2024-05-09,63074.01,3036.23,0.5209,83.08,454.8
2024-05-10,60799.99,2909.99,0.5022,80.22,426.6
2024-05-11,60825.99,2912.45,0.5059,81.39,429.5
2024-05-12,61483.99,2929.29,0.4993,81.41,433.0
2024-05-13,62940.08,2950.99,0.5053,80.62,437.5
2024-05-14,61577.49,2881.93,0.5002,78.79,429.1
2024-05-15,66206.5,3032.55,0.5188,82.45,463.7
2024-05-16,65235.21,2944.7,0.5157,82.43,444.8
2024-05-17,67024.0,3092.01,0.5234,84.14,466.5
2024-05-18,66915.2,3122.94,0.5213,83.84,475.4
2024-05-19,66274.01,3071.19,0.5096,82.4,484.9
2024-05-20,71446.62,3661.78,0.5377,88.64,517.9
2024-05-21,70148.34,3789.6,0.537,88.26,515.0
2024-05-22,69166.62,3737.73,0.5268,85.78,499.0
2024-05-23,67969.65,3783.61,0.5289,85.45,491.2
2024-05-24,68549.99,3728.28,0.536,85.0,494.9
2024-05-25,69290.57,3749.26,0.5416,84.98,493.6
2024-05-26,68507.67,3826.47,0.5283,83.9,484.0
2024-05-27,69436.43,3894.22,0.534,85.24,489.6
2024-05-28,68398.39,3844.69,0.5287,83.44,470.4
2024-05-29,67652.42,3767.43,0.5238,83.59,465.8
2024-05-30,68352.17,3747.91,0.5186,84.42,465.1
2024-05-31,67540.01,3762.29,0.5176,83.21,454.8
2024-06-01,67766.85,3815.82,0.5187,83.48,463.5
2024-06-02,67765.63,3780.91,0.5135,83.11,458.3
2024-06-03,68809.9,3767.06,0.5199,82.82,464.9
2024-06-04,70537.84,3810.23,0.5257,83.65,477.0
2024-06-05,71108.0,3865.99,0.5258,85.44,495.2
2024-06-06,70799.06,3813.46,0.5215,84.19,496.1
2024-06-07,69355.6,3678.32,0.4991,80.13,477.6
2024-06-08,69310.46,3681.57,0.4926,79.97,469.5
2024-06-09,69648.14,3706.4,0.4986,80.49,474.6
2024-06-10,69540.0,3667.85,0.4969,79.66,469.1
2024-06-11,67314.24,3497.33,0.4802,77.32,446.2
2024-06-12,68263.99,3560.12,0.4916,78.5,454.2
2024-06-13,66773.01,3469.4,0.4769,79.15,431.7
2024-06-14,66043.99,3481.8,0.4746,77.61,422.9
2024-06-15,66228.25,3568.74,0.4908,79.23,430.1
2024-06-16,66676.87,3624.41,0.4891,78.98,428.4
2024-06-17,66504.33,3511.46,0.5047,76.59,419.7
