pair,pvalue,score
XRPUSDT_2024_5m & DOTUSDT_2024_5m,0.00013929184287726158,-5.03934128772058
DOGEUSDT_2024_5m & LTCUSDT_2024_5m,0.0009398414222104445,-4.569352646743172
XRPUSDT_2024_5m & AAVEUSDT_2024_5m,0.001235876121894167,-4.4975919099414545
XRPUSDT_2024_5m & XLMUSDT_2024_5m,0.0014178868251308928,-4.461095074154889
QNTUSDT_2024_5m & XLMUSDT_2024_5m,0.0014571601025933415,-4.453796390893903
QNTUSDT_2024_5m & XRPUSDT_2024_5m,0.0027346497814575346,-4.281613714045276
XRPUSDT_2024_5m & ADAUSDT_2024_5m,0.0030473459661710333,-4.251167937346904
DOGEUSDT_2024_5m & BCHUSDT_2024_5m,0.007801979617092272,-3.974646406417273
LTCUSDT_2024_5m & MKRUSDT_2024_5m,0.009555840552925614,-3.911730044486726
NEXOUSDT_2024_5m & BTCUSDT_2024_5m,0.025105368471082547,-3.5914407725896402
SHIBUSDT_2024_5m & LTCUSDT_2024_5m,0.02520492050411957,-3.590046558951114
BCHUSDT_2024_5m & MKRUSDT_2024_5m,0.04264112827936183,-3.3973905443626435
BCHUSDT_2024_5m & LTCUSDT_2024_5m,0.04841457631286845,-3.3483920476865556
