pair,pvalue,score
CRVUSDT_2024_5m & XRPUSDT_2024_5m,2.7371018288052224e-06,-5.894147200568977
SANDUSDT_2024_5m & XRPUSDT_2024_5m,1.7770847324771322e-05,-5.501815054569405
AXSUSDT_2024_5m & XRPUSDT_2024_5m,3.736289960479351e-05,-5.33917620982265
ATOMUSDT_2024_5m & XRPUSDT_2024_5m,5.2263021238314314e-05,-5.2642368278166565
AXSUSDT_2024_5m & DOTUSDT_2024_5m,8.734897055942003e-05,-5.1475779827403825
SANDUSDT_2024_5m & XLMUSDT_2024_5m,0.00015557886829159153,-5.013357306187756
CRVUSDT_2024_5m & XLMUSDT_2024_5m,0.00023394273178265545,-4.916316788344229
ALGOUSDT_2024_5m & XRPUSDT_2024_5m,0.0007314283027449181,-4.633973105245394
GALAUSDT_2024_5m & LTCUSDT_2024_5m,0.0008995858697892176,-4.580708652026861
ATOMUSDT_2024_5m & XLMUSDT_2024_5m,0.0011874748148811237,-4.50814195405611
MANAUSDT_2024_5m & XRPUSDT_2024_5m,0.0011890411361660466,-4.507794305974833
IOTAUSDT_2024_5m & XLMUSDT_2024_5m,0.0014884955896554745,-4.448103126166709
XTZUSDT_2024_5m & XLMUSDT_2024_5m,0.0015546643298848892,-4.436438801177613
ALGOUSDT_2024_5m & DOTUSDT_2024_5m,0.0015640842466166142,-4.434815952440391
XTZUSDT_2024_5m & XRPUSDT_2024_5m,0.0017139037292581475,-4.410157895903452
FETUSDT_2024_5m & SHIBUSDT_2024_5m,0.0017349516341270321,-4.4068555424613525
FETUSDT_2024_5m & DOGEUSDT_2024_5m,0.0019078671258296617,-4.3810523336206675
IOTAUSDT_2024_5m & XRPUSDT_2024_5m,0.0020525888659392376,-4.361073207704574
SEIUSDT_2024_5m & ADAUSDT_2024_5m,0.0031449019089018967,-4.242257226483921
ATOMUSDT_2024_5m & ADAUSDT_2024_5m,0.0032277196414525447,-4.2348899731648215
SEIUSDT_2024_5m & QNTUSDT_2024_5m,0.004142713819150099,-4.163344772194655
FETUSDT_2024_5m & LTCUSDT_2024_5m,0.004150707032696427,-4.162786331036918
FILUSDT_2024_5m & XRPUSDT_2024_5m,0.004606709743626954,-4.132449907096982
THETAUSDT_2024_5m & SHIBUSDT_2024_5m,0.005123563584355527,-4.101214906488033
MANAUSDT_2024_5m & DOTUSDT_2024_5m,0.005340138777663978,-4.088973192917252
THETAUSDT_2024_5m & LTCUSDT_2024_5m,0.005834960544801443,-4.062615301325838
IOTAUSDT_2024_5m & ADAUSDT_2024_5m,0.0060359827306133524,-4.05248359639449
SANDUSDT_2024_5m & DOTUSDT_2024_5m,0.007614400135182766,-3.9821111154097037
IOTAUSDT_2024_5m & DOTUSDT_2024_5m,0.007621039884977249,-3.981844073070321
MANAUSDT_2024_5m & XLMUSDT_2024_5m,0.009009357517536811,-3.9301367906894
FILUSDT_2024_5m & DOTUSDT_2024_5m,0.009027774766792425,-3.9295003615152293
LDOUSDT_2024_5m & PAXGUSDT_2024_5m,0.010431543363884934,-3.884111592784534
APTUSDT_2024_5m & XRPUSDT_2024_5m,0.010868082946807666,-3.871109381482187
HBARUSDT_2024_5m & ETCUSDT_2024_5m,0.011592139257977044,-3.850536072395203
CRVUSDT_2024_5m & ADAUSDT_2024_5m,0.011756151049348344,-3.8460352110281417
AVAXUSDT_2024_5m & XRPUSDT_2024_5m,0.011932424487406565,-3.8412596917609787
HBARUSDT_2024_5m & VETUSDT_2024_5m,0.0122886428185867,-3.8317975233175443
SEIUSDT_2024_5m & XRPUSDT_2024_5m,0.014516234239218502,-3.777609657775318
FLOWUSDT_2024_5m & XRPUSDT_2024_5m,0.017891932047392704,-3.7080754735219537
HBARUSDT_2024_5m & LTCUSDT_2024_5m,0.02086710684182975,-3.655752344369726
HBARUSDT_2024_5m & NEXOUSDT_2024_5m,0.022449944131250968,-3.6305139568736333
HBARUSDT_2024_5m & SHIBUSDT_2024_5m,0.02276710982090472,-3.6256431793943107
AXSUSDT_2024_5m & XLMUSDT_2024_5m,0.02293804501569835,-3.623042401860523
TIAUSDT_2024_5m & PAXGUSDT_2024_5m,0.022945181459834933,-3.622934186062269
ATOMUSDT_2024_5m & QNTUSDT_2024_5m,0.024061471880921375,-3.6063547472149216
JTOUSDT_2024_5m & BCHUSDT_2024_5m,0.025414272849412126,-3.587130007371644
XTZUSDT_2024_5m & QNTUSDT_2024_5m,0.0259458084536823,-3.579816858338727
XTZUSDT_2024_5m & DOTUSDT_2024_5m,0.02748090558587794,-3.5593961475990357
CRVUSDT_2024_5m & DOTUSDT_2024_5m,0.02817943121028999,-3.55042627648522
