timestamp,AXSUSDT_2024_5m,SANDUSDT_2024_5m,MANAUSDT_2024_5m
2024-10-01 00:00:00,5.052,0.2687,0.3019
2024-10-01 00:05:00,5.05,0.269,0.3029
2024-10-01 00:10:00,5.036,0.2693,0.3033
2024-10-01 00:15:00,5.003,0.268,0.3016
2024-10-01 00:20:00,5.0,0.2676,0.3013
2024-10-01 00:25:00,5.038,0.2694,0.3032
2024-10-01 00:30:00,5.023,0.2695,0.3034
2024-10-01 00:35:00,5.033,0.2705,0.3042
2024-10-01 00:40:00,5.035,0.2713,0.3051
2024-10-01 00:45:00,5.052,0.272,0.3061
2024-10-01 00:50:00,5.052,0.2726,0.3067
2024-10-01 00:55:00,5.032,0.2733,0.307
2024-10-01 01:00:00,5.036,0.274,0.3076
2024-10-01 01:05:00,5.062,0.2738,0.3075
2024-10-01 01:10:00,5.07,0.2735,0.3073
2024-10-01 01:15:00,5.067,0.2733,0.3075
2024-10-01 01:20:00,5.073,0.2737,0.3079
2024-10-01 01:25:00,5.09,0.2744,0.308
2024-10-01 01:30:00,5.087,0.2741,0.3075
2024-10-01 01:35:00,5.084,0.2734,0.3071
2024-10-01 01:40:00,5.084,0.2735,0.3074
2024-10-01 01:45:00,5.08,0.2731,0.3073
2024-10-01 01:50:00,5.05,0.2724,0.3064
2024-10-01 01:55:00,5.06,0.2728,0.3069
2024-10-01 02:00:00,5.057,0.2721,0.3054
2024-10-01 02:05:00,5.069,0.2722,0.3056
2024-10-01 02:10:00,5.056,0.2714,0.3049
2024-10-01 02:15:00,5.069,0.272,0.3057
2024-10-01 02:20:00,5.068,0.2725,0.3063
2024-10-01 02:25:00,5.074,0.2728,0.3069
2024-10-01 02:30:00,5.068,0.273,0.3069
2024-10-01 02:35:00,5.067,0.2728,0.3066
2024-10-01 02:40:00,5.072,0.2732,0.3073
2024-10-01 02:45:00,5.065,0.2729,0.3066
2024-10-01 02:50:00,5.077,0.2732,0.3071
2024-10-01 02:55:00,5.094,0.2736,0.308
2024-10-01 03:00:00,5.094,0.2735,0.3081
2024-10-01 03:05:00,5.113,0.2744,0.3086
2024-10-01 03:10:00,5.133,0.2751,0.3096
2024-10-01 03:15:00,5.143,0.2753,0.3097
2024-10-01 03:20:00,5.133,0.2752,0.3099
2024-10-01 03:25:00,5.132,0.2744,0.3091
2024-10-01 03:30:00,5.133,0.2747,0.3096
2024-10-01 03:35:00,5.139,0.2752,0.3102
2024-10-01 03:40:00,5.151,0.2756,0.311
2024-10-01 03:45:00,5.146,0.2759,0.311
2024-10-01 03:50:00,5.138,0.2756,0.3105
2024-10-01 03:55:00,5.143,0.2756,0.3108
2024-10-01 04:00:00,5.137,0.2757,0.3108
2024-10-01 04:05:00,5.132,0.2752,0.3106
2024-10-01 04:10:00,5.119,0.275,0.3101
2024-10-01 04:15:00,5.132,0.276,0.3111
2024-10-01 04:20:00,5.135,0.2754,0.3107
2024-10-01 04:25:00,5.133,0.2756,0.3107
2024-10-01 04:30:00,5.141,0.2762,0.3114
2024-10-01 04:35:00,5.161,0.2772,0.3122
2024-10-01 04:40:00,5.149,0.2769,0.3113
2024-10-01 04:45:00,5.15,0.2766,0.3116
2024-10-01 04:50:00,5.15,0.2767,0.3116
2024-10-01 04:55:00,5.142,0.2765,0.3113
2024-10-01 05:00:00,5.134,0.2759,0.3107
2024-10-01 05:05:00,5.123,0.2753,0.3101
2024-10-01 05:10:00,5.114,0.2746,0.3098
2024-10-01 05:15:00,5.118,0.2749,0.31
2024-10-01 05:20:00,5.121,0.275,0.3102
2024-10-01 05:25:00,5.116,0.2747,0.3095
2024-10-01 05:30:00,5.118,0.2748,0.3099
2024-10-01 05:35:00,5.112,0.2744,0.3094
2024-10-01 05:40:00,5.113,0.2743,0.3095
2024-10-01 05:45:00,5.117,0.2744,0.3095
2024-10-01 05:50:00,5.114,0.2744,0.3097
2024-10-01 05:55:00,5.12,0.2748,0.3102
2024-10-01 06:00:00,5.13,0.2756,0.3108
2024-10-01 06:05:00,5.134,0.2763,0.3112
2024-10-01 06:10:00,5.13,0.2763,0.311
2024-10-01 06:15:00,5.144,0.2767,0.3119
2024-10-01 06:20:00,5.151,0.277,0.3124
2024-10-01 06:25:00,5.153,0.2772,0.3126
2024-10-01 06:30:00,5.157,0.2771,0.3122
2024-10-01 06:35:00,5.163,0.2775,0.3121
2024-10-01 06:40:00,5.164,0.2773,0.3123
2024-10-01 06:45:00,5.162,0.2777,0.3123
2024-10-01 06:50:00,5.169,0.2781,0.3128
2024-10-01 06:55:00,5.187,0.2785,0.3134
2024-10-01 07:00:00,5.187,0.2785,0.3132
2024-10-01 07:05:00,5.172,0.2776,0.3129
2024-10-01 07:10:00,5.175,0.2776,0.3131
2024-10-01 07:15:00,5.172,0.2771,0.3126
2024-10-01 07:20:00,5.176,0.2775,0.3131
2024-10-01 07:25:00,5.185,0.2776,0.3137
2024-10-01 07:30:00,5.179,0.2778,0.3138
2024-10-01 07:35:00,5.191,0.2785,0.3143
2024-10-01 07:40:00,5.188,0.2782,0.3142
2024-10-01 07:45:00,5.187,0.2779,0.3138
2024-10-01 07:50:00,5.18,0.2773,0.3134
2024-10-01 07:55:00,5.176,0.2777,0.3136
2024-10-01 08:00:00,5.182,0.2781,0.3139
2024-10-01 08:05:00,5.173,0.2773,0.313
2024-10-01 08:10:00,5.174,0.277,0.313
2024-10-01 08:15:00,5.18,0.2773,0.3132
2024-10-01 08:20:00,5.176,0.2768,0.3129
2024-10-01 08:25:00,5.178,0.277,0.3125
2024-10-01 08:30:00,5.177,0.2774,0.3128
2024-10-01 08:35:00,5.173,0.277,0.3123
2024-10-01 08:40:00,5.16,0.2766,0.3116
2024-10-01 08:45:00,5.158,0.2765,0.3113
2024-10-01 08:50:00,5.166,0.2767,0.3121
2024-10-01 08:55:00,5.156,0.2767,0.3121
2024-10-01 09:00:00,5.173,0.2771,0.3127
2024-10-01 09:05:00,5.181,0.2779,0.3132
2024-10-01 09:10:00,5.185,0.2782,0.313
2024-10-01 09:15:00,5.174,0.2779,0.3127
2024-10-01 09:20:00,5.176,0.2775,0.3127
2024-10-01 09:25:00,5.169,0.2774,0.3126
2024-10-01 09:30:00,5.158,0.2773,0.3119
2024-10-01 09:35:00,5.158,0.2772,0.3119
2024-10-01 09:40:00,5.158,0.2775,0.3116
2024-10-01 09:45:00,5.165,0.2777,0.3116
2024-10-01 09:50:00,5.167,0.2781,0.3121
2024-10-01 09:55:00,5.16,0.2777,0.3117
2024-10-01 10:00:00,5.162,0.2776,0.3117
2024-10-01 10:05:00,5.157,0.2772,0.3114
2024-10-01 10:10:00,5.159,0.2772,0.3113
2024-10-01 10:15:00,5.161,0.2777,0.3119
2024-10-01 10:20:00,5.155,0.2775,0.3115
2024-10-01 10:25:00,5.164,0.2777,0.3118
2024-10-01 10:30:00,5.158,0.2778,0.3121
2024-10-01 10:35:00,5.165,0.2782,0.3123
2024-10-01 10:40:00,5.169,0.2785,0.3123
2024-10-01 10:45:00,5.178,0.2783,0.3126
2024-10-01 10:50:00,5.184,0.2782,0.3127
2024-10-01 10:55:00,5.186,0.2785,0.3129
2024-10-01 11:00:00,5.185,0.2784,0.3127
2024-10-01 11:05:00,5.186,0.2786,0.3125
2024-10-01 11:10:00,5.195,0.2789,0.313
